Entry Name K12	Entry Name BL21(DE3)	Category	Description	Protein Length	Unique Peptides 301	Unique Spectra 301	Total #spectra 301	Unique Peptides 303	Unique Spectra 303	Total #spectra 303	Unique Peptides 11	Unique Spectra 11	Total #spectra 11	Unique Peptides 12	Unique Spectra 12	Total #spectra 12	Unique Peptides 13	Unique Spectra 13	Total #spectra 13	Unique Peptides MS6_11	Unique Spectra MS6_11	Total #spectra MS6_11	Unique Peptides MS6_12	Unique Spectra MS6_12	Total #spectra MS6_12	Unique Peptides MS6_13	Unique Spectra MS6_13	Total #spectra  MS6_13		Unique Peptides MS5_11	Unique Spectra MS5_11	Total #spectra MS5_11	Unique Peptides MS5_12	Unique Spectra MS5_12	Total #spectra MS5_12	Unique Peptides MS5_13	Unique Spectra MS5_13	Total #spectra  MS5_13	
RS18_ECOLI	C6ECE7	A	30S ribosomal protein S18	75	3	3	3	3	3	5	3	3	3				1	1	1	4	5	5	4	4	5	2	2	2		3	4	10	3	4	12	4	5	14	
RS3_ECOLI	C6EGF2	A	30S ribosomal protein S3	233	13	16	25	12	14	25	15	17	17	12	14	14	15	17	18	12	14	18	11	12	15	13	15	19		9	12	22	10	13	24	9	12	21	
RS2_ECOLI	C6EAB6	A	30S ribosomal protein S2	241	7	8	13	9	9	16	5	6	8	5	5	6	6	7	9	5	5	7	5	6	9	8	8	11		12	19	33	14	19	35	15	19	40	
RPOC_ECOLI	C6EE31	A	DNA-directed RNA polymerase (EC 2.7.7.6)	1407	8	8	11	9	9	15	7	7	7	3	3	3	5	5	5	10	10	14	7	7	10	9	9	12		13	14	20	14	15	24	20	21	33	
RL17_ECOLI	C6EGH2	A	50S ribosomal protein L17	127	2	2	3	2	2	3				2	2	2	1	1	1	3	3	5	1	1	1	3	3	3		5	5	13	4	4	20	4	5	13	
RS13_ECOLI	C6EGG8	A	30S ribosomal protein S13	118	5	7	9	7	8	13	6	7	7	5	6	6	6	7	7	5	5	8	6	6	9	5	6	7		4	5	10	3	4	7	5	7	14	
YDIJ_ECOLI	C6ECR9	A	FAD linked oxidase domain protein (Predicted FAD-linked oxidoreductase)	1018	9	9	13	10	10	14	8	9	9	6	6	6	9	10	11	8	8	8	8	8	9	9	9	18		3	3	3	2	2	4	4	4	5	
RL10_ECOLI	C6EE34	A	50S ribosomal protein L10	165	4	4	6	4	4	7	3	3	3	3	3	3	2	2	2	4	4	6	4	4	4	4	4	7		9	10	20	9	10	22	9	10	26	
RL1_ECOLI	C6EE35	A	50S ribosomal protein L1	234	3	3	4	3	3	4	3	3	3	3	3	3	4	4	4	3	3	3	3	3	4	3	3	5		7	8	16	8	10	21	9	10	23	
ARND_ECOLI	C6E9U4	A	Polysaccharide deacetylase (Putative uncharacterized protein yfbH)	296	5	5	6	5	5	6	3	3	3	2	2	2	3	3	3	3	3	4	3	3	3	4	4	5		2	2	2	2	2	2	3	3	3	
GATZ_ECOLI	C6EAL5	A	D-tagatose-bisphosphate aldolase, class II, non-catalytic subunit (Putative tagatose 6-phosphate kinase 1)	420	3	3	3	2	2	2	4	4	4	3	3	3	4	4	4	2	2	3	1	1	2	2	2	4		3	3	10	3	3	7	3	3	6	
RS4_ECOLI	C6EGH0	A	30S ribosomal protein S4	206	5	6	10	6	7	12	7	7	7	6	6	6	7	7	7	2	2	2	2	2	2	2	2	3		5	6	8	4	5	8	6	7	9	
LACI_ECOLI	C6EJI7	A	Transcriptional regulator, LacI family	363	10	10	16	7	8	10	9	9	9	9	9	9	7	7	7	10	11	13	6	6	7	7	7	8		11	13	31	10	11	22	12	14	41	
HEMG_ECOLI	C6EF48	A	Protoporphyrin oxidase, flavoprotein (EC 1.3.3.4) (Protoporphyrinogen oxidase) (EC 1.3.3.4)	181	2	2	3				1	1	1				1	1	1				1	1	1	2	2	2		2	2	2	2	2	2	3	3	3	
RL20_ECOLI	C6ECP1	A	50S ribosomal protein L20	118	3	3	4	5	5	7	6	6	6	6	6	6	6	6	6	4	4	5	4	4	5	4	4	5		2	2	2	2	2	2	1	1	1	
ACCD_ECOLI	C6ELD7	A	Acetyl-CoA carboxylase subunit beta (EC 6.4.1.2) (Acetyl-CoA carboxylase, carboxyl transferase, beta subunit)	304				1	1	2										1	1	1	1	1	2	1	1	2		3	4	4	4	5	5	5	8	12	
RS9_ECOLI	C6EH02	A	30S ribosomal protein S9	130	2	2	2	1	1	1	1	1	1	2	2	2	2	2	2				2	2	2	1	1	1		3	3	3	3	3	4	3	3	4	
RL11_ECOLI	C6EE36	A	50S ribosomal protein L11	142				1	1	2				1	1	1	2	2	2	1	1	1	1	1	1	1	1	1		2	2	9	2	2	9	2	2	10	
RL15_ECOLI	C6EGG5	A	50S ribosomal protein L15	144	6	6	8	7	7	8	3	3	3	2	2	2	2	2	2	4	4	5	5	5	7	4	4	5		8	9	18	8	9	21	8	9	18	
RL2_ECOLI	C6EGE9	A	50S ribosomal protein L2	273	7	7	9	6	7	10	6	6	6	5	6	6	4	5	6	5	6	7	4	5	6	4	5	6		8	12	28	9	12	33	9	12	30	
RL18_ECOLI	C6EGG2	A	50S ribosomal protein L18	117	1	1	1				2	2	2	2	2	2							1	1	1	1	1	1		3	4	4	2	3	3	4	5	9	
RS12_ECOLI	C6EGC2	A	30S ribosomal protein S12	124	3	3	3	2	2	2										2	2	2	2	2	2	2	2	2		4	4	6	4	4	6	3	3	4	
RL5_ECOLI	C6EGF8	A	50S ribosomal protein L5	179	10	12	19	8	10	14	4	5	5	3	3	3	5	6	7	2	3	6	2	2	4	2	3	5		7	10	15	6	8	14	6	7	14	
RS14_ECOLI	C6EGF9	A	30S ribosomal protein S14 (Ribosomal protein S14)	101	2	2	3	3	3	4	2	3	3	2	2	2	2	2	2	3	4	5	3	3	4	2	2	3		1	2	4	1	2	4	1	1	3	
MUKB_ECOLI	C6EI58	A	Chromosome partition protein mukB (Structural maintenance of chromosome-related protein)	1486	2	2	2	1	1	1	1	1	1							2	2	2	2	2	2	2	2	2		1	1	1	1	1	1	2	2	2	
RS21_ECOLI	C6EHT0	A	30S ribosomal protein S21	71				1	1	1	1	1	1							1	1	1	1	1	1	1	1	1		4	4	4	3	4	5	4	5	6	
FADI_ECOLI	C6ELB2	A	3-ketoacyl-CoA thiolase (EC 2.3.1.16) (ACSs) (Acetyl-CoA acyltransferase) (Acyl-CoA ligase) (Beta-ketothiolase) (Fatty acid oxidation complex subunit beta)	436				3	3	3	1	1	1										1	1	1	1	1	1		1	1	2	2	2	6	2	2	3	
FADJ_ECOLI	C6ELB3	A	Fatty acid oxidation complex subunit alpha	714	2	2	2	1	1	1	1	1	1				1	1	1							2	2	2		1	2	2	1	2	4	1	2	3	
