Accession	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Gene names (OLN)	Gene names (OLN)	Entry name	Subcellular locations	Protein existence	Protein family	Protein names	Gene Ontology ID	Keywords	Length	Gene location
P42906	agaA		b3135	JW5527	AGAA_ECOLI		Uncertain	NagA family	Putative N-acetylgalactosamine-6-phosphate deacetylase (EC 3.5.1.-)	"GO:0005975; GO:0016787"	"Carbohydrate metabolism; Complete proteome; Hydrolase"	167	
P76205	arpB		b4494	JW5278 JW1710	ARPB_ECOLI		Uncertain		Putative ankyrin repeat protein B		"ANK repeat; Complete proteome; Repeat"	632	
P36943	eaeH		b0297	JW0291	EAEH_ECOLI		Uncertain	Intimin/invasin family	Putative attaching and effacing protein homolog	GO:0007155	"Complete proteome; Signal"	295	
P75901	efeU	ycdN	b4490	JW5141 JW1002	EFEU_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Uncertain	Oxidase-dependent Fe transporter (OFeT) (TC 9.A.10.1) family	Putative ferrous iron permease efeU (Putative Fe(2+) ion permease efeU)	"GO:0016021; GO:0006826; GO:0005886; GO:0055085"	"Cell inner membrane; Cell membrane; Complete proteome; Ion transport; Iron; Iron transport; Membrane; Transmembrane; Transmembrane helix; Transport"	276	
P75681	fbpB	afuB	b0263	JW0255	FBPB_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Uncertain	Binding-protein-dependent transport system permease family, FbpB subfamily	Putative ferric transport system permease protein fbpB (Fragment)	"GO:0016021; GO:0006826; GO:0005886; GO:0005215"	"Cell inner membrane; Cell membrane; Complete proteome; Ion transport; Iron; Iron transport; Membrane; Transmembrane; Transmembrane helix; Transport"	115	
Q47153	fhiA		b0229	JW5811	FHIA_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Uncertain	FHIPEP (flagella/HR/invasion proteins export pore) family	Putative protein fhiA	"GO:0016021; GO:0005886; GO:0009306"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Protein transport; Transmembrane; Transmembrane helix; Transport"	579	
P33898	gapC		b4493	JW1413 JW5906	G3P3_ECOLI	Cytoplasm. 	Uncertain	Glyceraldehyde-3-phosphate dehydrogenase family	Putative glyceraldehyde-3-phosphate dehydrogenase C (GAPDH-C) (EC 1.2.1.12)	"GO:0051287; GO:0005737; GO:0004365; GO:0006096; GO:0055114"	"Complete proteome; Cytoplasm; Glycolysis; NAD; Oxidoreductase"	333	
P31450	glvG		b4556		GLVG_ECOLI		Uncertain	Glycosyl hydrolase 4 family	Putative 6-phospho-alpha-glucosidase (EC 3.2.1.122)	"GO:0005975; GO:0050081; GO:0046872"	"Carbohydrate metabolism; Complete proteome; Glycosidase; Hydrolase; Manganese; Metal-binding; NAD"	212	
P28697	htgA	htpY	b0012	JW5001	HTGA_ECOLI		Uncertain		Putative uncharacterized protein htgA (Heat shock protein htpY)		Complete proteome	196	
P0CF60	insD8		b1578	JW1570	INSD8_ECOLI		Uncertain		Putative transposase insD for insertion element IS2E	"GO:0003677; GO:0015074; GO:0006310; GO:0032196"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	218	
P75680	insO1		b0257	JW0247	INSO1_ECOLI		Uncertain		Putative transposase insO for insertion sequence element IS911A	GO:0032196	"Complete proteome; Transposable element; Transposition"	141	
Q47718	insO2		b4285		INSO2_ECOLI		Uncertain		Putative transposase insO for insertion sequence element IS911B	"GO:0003677; GO:0015074; GO:0006310; GO:0032196"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	198	
P39347	intB		b4271	JW4227	INTB_ECOLI		Uncertain	'phage' integrase family	Putative prophage P4 integrase (Int(P4))	"GO:0003677; GO:0015074; GO:0006310"	"Complete proteome; DNA integration; DNA recombination"	396	
P76323	intG		b1936		INTG_ECOLI		Uncertain	'phage' integrase family	Putative lambdoid prophage defective integrase	"GO:0015074; GO:0006310"	"Complete proteome; DNA integration; DNA recombination"	92	
P76168	intQ		b1579	JW1571	INTQ_ECOLI		Uncertain	'phage' integrase family	Putative lambdoid prophage Qin defective integrase (Fragment)	"GO:0003677; GO:0015074; GO:0006310; GO:0005515"	"Complete proteome; DNA integration; DNA recombination"	385	
P77184	lomR		b4570	JW5884 JW5904	LOMR_ECOLI		Uncertain	Ail/ompX/pagC/lom family	Putative protein lomR	"GO:0009279; GO:0016021"	Complete proteome	164	
P0ADF0	fruL		b0079		LPFS_ECOLI		Uncertain		Putative fruR/shl operon leader peptide		Complete proteome	28	
P0ADF3	rhoL		b3782	JW3755	LPRH_ECOLI		Uncertain		Putative rho operon leader peptide	GO:0031555	Complete proteome	33	
Q47154	mbhA		b0230	JW5812	MBHA_ECOLI		Uncertain		Putative protein mbhA	GO:0009279	Complete proteome	211	
P33369	mdtQ	yohG yohH	b2139	JW5838 JW5358	MDTQ_ECOLI	"Cell outer membrane; Lipid-anchor. "	Uncertain	Outer membrane factor (OMF) (TC 1.B.17) family	Putative multidrug resistance outer membrane protein mdtQ	"GO:0009279; GO:0016021; GO:0008289; GO:0005886; GO:0046677; GO:0005215"	"Antibiotic resistance; Cell membrane; Cell outer membrane; Complete proteome; Lipoprotein; Membrane; Palmitate; Signal; Transmembrane; Transmembrane beta strand"	478	
P33345	yehH	molR	b4499		MOLR_ECOLI		Uncertain		Putative molybdate metabolism regulator	"GO:0005515; GO:0006974"	Complete proteome	1264	
P21420	nmpC	phmA	b0553		NMPC_ECOLI	"Cell outer membrane; Multi-pass membrane protein. "	Uncertain	Gram-negative porin family	Putative outer membrane porin protein nmpC	"GO:0009279; GO:0006811; GO:0005886; GO:0046930; GO:0015288"	"Cell membrane; Cell outer membrane; Complete proteome; Ion transport; Membrane; Porin; Signal; Transmembrane; Transmembrane beta strand; Transport"	365	
P31061	nohA		b1548	JW1541	NOHA_ECOLI		Uncertain		Putative prophage Qin DNA-packaging protein NU1 homolog	GO:0000166	Complete proteome	189	
Q46790	pbl		b2854		PBL_ECOLI	Periplasm. 	Uncertain	IagB/ipgF/P19 family	Putative peptidoglycan-binding-like protein	GO:0042597	"Complete proteome; Periplasm; Signal"	158	
P16683	phnE		b4104	JW4065	PHNE_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Uncertain	Binding-protein-dependent transport system permease family	Putative phosphonates transport system permease protein phnE	"GO:0042917; GO:0042916; GO:0005887"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Phosphonate transport; Transmembrane; Transmembrane helix; Transport"	259	
P76611	pinH		b2648	JW5423	PINH_ECOLI		Uncertain	Site-specific recombinase resolvase family	Putative DNA-invertase from prophage CP4-44 (Fragment)	"GO:0003677; GO:0015074; GO:0006310; GO:0000150"	"Complete proteome; DNA integration; DNA invertase; DNA recombination; DNA-binding"	79	
P42905	agaW		b3134		PTPC2_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Uncertain		Putative N-acetylgalactosamine permease IIC component 2 (EIIC-Aga') (PTS system N-acetylgalactosamine-specific EIIC component 2)	"GO:0016021; GO:0009401; GO:0005886"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Phosphotransferase system; Sugar transport; Transmembrane; Transmembrane helix; Transport"	133	
P31452	glvC		b3683	JW3660	PTXC_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Uncertain		Putative permease IIC component glvC (PTS system EIIC component)	"GO:0016021; GO:0009401; GO:0005886; GO:0008982; GO:0005351"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Phosphotransferase system; Sugar transport; Transmembrane; Transmembrane helix; Transport"	368	
P13960	repA1				REA1_ECOLI		Uncertain		Putative defective replication initiation protein (RepFIC replication initiation protein) (Fragment)	"GO:0006260; GO:0006276"	"Complete proteome; DNA replication; Plasmid; Plasmid copy control"	91	Plasmid F
P75718	renD		b0542	JW0530	REND_ECOLI		Uncertain		Putative defective protein ren from DLP12 prophage		Complete proteome	100	
P28369	prfH		b0236	JW0226	RFH_ECOLI		Uncertain	Prokaryotic/mitochondrial release factor family	Putative peptide chain release factor homolog (RF-H)	"GO:0005515; GO:0003747"	"Complete proteome; Protein biosynthesis"	166	
P24211	rhsE		b1456	JW1451	RHSE_ECOLI		Uncertain	RHS family	Putative protein rhsE		Complete proteome	682
P0CG19	rph		b3643	JW3618	RNPH_ECOLI		Inferred from homology	RNase PH family	Inactive ribonuclease PH (RNase PH) (EC 2.7.7.56) (tRNA nucleotidyltransferase)	"GO:0000175; GO:0000049; GO:0009022; GO:0008033; GO:0004549"	"Complete proteome; Nucleotidyltransferase; Transferase; tRNA processing"	228
P77551	rzpR		b1362	JW5212	RZPR_ECOLI		Uncertain		Putative Rz endopeptidase from lambdoid prophage Rac (EC 3.4.-.-) (Fragment)	"GO:0019835; GO:0042742; GO:0008233"	"Antimicrobial; Bacteriolytic enzyme; Complete proteome; Hydrolase; Protease"	147
P33227	stfE		b1157	JW5172	STFE_ECOLI		Uncertain	Tail fiber family	Putative protein stfE (Side tail fiber protein homolog from lambdoid prophage e14) (Fragment)		"Complete proteome; Fiber protein; Repeat"	166
P77699	tfaD		b0561		TFAD_ECOLI		Uncertain	Tfa family	Putative tail fiber assembly protein homolog from lambdoid prophage DLP12		Complete proteome	247
P77326	tfaS		b2353	JW5383	TFAS_ECOLI		Uncertain	Tfa family	Putative tail fiber assembly protein homolog from prophage CPS-53		Complete proteome	114
A5A627	tisB	ysdB	b4618	JW3649	TISB_ECOLI	"Cell inner membrane; Single-pass membrane protein. "	Evidence at transcript level		Small toxic protein tisB (LexA-regulated protein tisB)	"GO:0016021; GO:0005886"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	29
P75971			b1142	JW1128	Y1142_ECOLI	"Cell membrane; Multi-pass membrane protein. "	Uncertain		Putative uncharacterized protein b1142	"GO:0016021; GO:0005886"	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	103
P11291			b3808	JW3780	Y3808_ECOLI		Uncertain		Putative uncharacterized protein b3808 (CyaX) (O161)		Complete proteome	161
Q47719			b4286	JW4246	Y4286_ECOLI		Uncertain		Putative uncharacterized protein b4286	"GO:0005488; GO:0003824"	Complete proteome	137
P39220	yabP		b4659	JW0055	YABP_ECOLI		Uncertain		Putative uncharacterized protein yabP		Complete proteome	216
Q2EEP9	yafF		b4503	JW0208	YAFF_ECOLI		Uncertain		Putative uncharacterized protein yafF		Complete proteome	62
P77354	yafU		b0218	JW0207	YAFU_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Uncertain		Putative inner membrane protein yafU	"GO:0016021; GO:0005886"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	112
P77169	yagJ		b0276	JW0270	YAGJ_ECOLI		Uncertain		Putative uncharacterized protein yagJ		Complete proteome	243
P75684	yagP		b4694	JW0276	YAGP_ECOLI		Uncertain		Uncharacterized protein yagP		Complete proteome	136
Q2EEQ3	yahH		b0322	JW5893	YAHH_ECOLI		Uncertain		Putative uncharacterized protein yahH		Complete proteome	106
P77199	yaiT		b4580	JW0362 JW5051	YAIT_ECOLI		Uncertain		Putative uncharacterized protein yaiT	"GO:0007155; GO:0019867"	"Complete proteome; Signal"	968
P75697	yaiX	yaiF	b4579	JW0350 JW5814	YAIX_ECOLI		Uncertain	Transferase hexapeptide repeat family	Putative uncharacterized acetyltransferase yaiX (EC 2.3.1.-)	GO:0008415	"Acyltransferase; Complete proteome; Repeat; Transferase"	230
P33669	ybbD		b0501	JW0489	YBBD_ECOLI	"Membrane; Single-pass membrane protein. "	Uncertain		Putative uncharacterized protein ybbD	GO:0016021	"Complete proteome; Membrane; Transmembrane; Transmembrane helix"	86
P75717	ybcC		b0539	JW0526	YBCC_ECOLI		Uncertain		Putative uncharacterized protein ybCC	"GO:0003677; GO:0004518"	Complete proteome	87
P77528	ybcD		b4508		YBCD_ECOLI		Uncertain	Phage P protein family	Putative uncharacterized protein ybcD	"GO:0006270; GO:0005515"	Complete proteome	78
P77460	ybcY		b0562	JW0551	YBCY_ECOLI		Uncertain		Putative uncharacterized protein ybcY	GO:0008168	Complete proteome	194
P39874	ybeM		b4581	JW0620 JW0621	YBEM_ECOLI		Uncertain	UPF0012 family	Putative UPF0012 hydrolase ybeM (EC 3.5.-.-)	"GO:0016810; GO:0006807"	"Complete proteome; Hydrolase"	262
P37003	ybfG		b0691	JW5094 JW5095	YBFG_ECOLI		Uncertain		Putative uncharacterized protein ybfG		Complete proteome	216
P39901	ybfI		b4636		YBFI_ECOLI		Uncertain		Putative uncharacterized protein ybfI	"GO:0003677; GO:0005622; GO:0006355; GO:0006350; GO:0000156; GO:0000160"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	65
P75741	ybfL		b0705	JW0695	YBFL_ECOLI		Uncertain	Transposase 11 family	Putative protein ybfL (H repeat-associated protein in rhsC-phrB intergenic region) (ORF-H2)	"GO:0003677; GO:0004803; GO:0006313"	Complete proteome	378
P77779	ybfO		b0703	JW0692	YBFO_ECOLI		Uncertain	RHS family	Putative uncharacterized protein ybfO		"Complete proteome; Repeat"	477
Q2EEQ8	ybfQ		b4514	JW0694	YBFQ_ECOLI		Uncertain		Putative defective transposase ybfQ		Complete proteome	84
P76000	ycgI	ymgH	b4521	JW1162 JW5179	YCGI_ECOLI		Uncertain		Putative uncharacterized protein ycgI	GO:0007155	Complete proteome	147
P30192	ychG		b4573	JW1227 JW5883	YCHG_ECOLI		Uncertain		Putative uncharacterized protein ychG	"GO:0003677; GO:0004803; GO:0006313"	Complete proteome	299
P76023	ychS		b1228	JW5881	YCHS_ECOLI		Uncertain		Putative uncharacterized protein ychS		Complete proteome	91
P77481	ycjV	ymjB	b4524	JW1311 JW5203	YCJV_ECOLI		Uncertain	ABC transporter superfamily	Putative uncharacterized ABC transporter ATP-binding protein ycjV	"GO:0005524; GO:0043190; GO:0016887; GO:0016820"	"ATP-binding; Complete proteome; Nucleotide-binding; Transport"	360
P76066	ydaW		b1361	JW5211	YDAW_ECOLI		Uncertain		Putative uncharacterized protein ydaW		Complete proteome	203
P76069	ydaY		b1366	JW1360	YDAY_ECOLI		Uncertain		Putative uncharacterized protein ydaY	GO:0005515	Complete proteome	119
P33666	ydbA		b4492	JW5802 JW1402	YDBA_ECOLI		Uncertain		Putative uncharacterized protein ydbA		Complete proteome	2003
P76123	yddK		b1471	JW1467	YDDK_ECOLI		Uncertain		Putative uncharacterized protein yddK	GO:0005515	"Complete proteome; Leucine-rich repeat; Repeat"	318
P77519	yddL		b1472	JW1468	YDDL_ECOLI		Uncertain		Putative uncharacterized protein yddL	"GO:0016020; GO:0005215"	"Complete proteome; Signal"	96
P32051	ydeK	orfT	b1510	JW1503	YDEK_ECOLI	"Cell membrane; Lipid-anchor. "	Uncertain		Uncharacterized lipoprotein ydeK (ORFT)	GO:0005886	"Cell membrane; Complete proteome; Lipoprotein; Membrane; Palmitate; Signal"	1325
P76137	ydeT		b1505	JW1499	YDET_ECOLI		Uncertain		Putative uncharacterized protein ydet	"GO:0016020; GO:0005215"	Complete proteome	382
P77286	ydeU		b1509	JW1502	YDEU_ECOLI		Uncertain		Uncharacterized protein ydeU	GO:0019867	Complete proteome	466
Q47138	ydfE		b1577	JW1568	YDFE_ECOLI		Uncertain		Putative uncharacterized protein ydfE (ORF6) (Fragment)		Complete proteome	255
P77228	ydfJ		b4600	JW1536	YDFJ_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Uncertain	Major facilitator superfamily, Sugar transporter (TC 2.A.1.1) family	Putative inner membrane metabolite transport protein ydfJ	"GO:0016021; GO:0005886; GO:0015293"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Symport; Transmembrane; Transmembrane helix; Transport"	427
P76164	ydfW		b1567	JW1559	YDFW_ECOLI		Uncertain		Uncharacterized protein ydfW in Qin prophage region		Complete proteome	75
P76165	ydfX		b1568	JW1560	YDFX_ECOLI		Uncertain		Uncharacterized protein ydfX		Complete proteome	96
P76321	yedN		b4495		YEDN_ECOLI		Uncertain		Putative uncharacterized protein yedN		Complete proteome	173
