Locus	Gene Symbol	Common Name	EC Number	5' End	3' End	DNA molecule	
ECK0001:JW4367:b0001	thrL	thr operon leader peptide	 	190	255	Chromosome Escherichia coli W3110	
ECK0005:JW0004:b0005	yaaX	hypothetical protein	 	5234	5530	Chromosome Escherichia coli W3110	
ECK0011:JW0010:b0011	yaaW	conserved hypothetical protein	 	11356	10643	Chromosome Escherichia coli W3110	
ECK0012:JW5001:b0012	htgA	hypothetical protein	 	10830	11315	Chromosome Escherichia coli W3110	
ECK0015:JW0014:b0015	dnaJ	chaperone Hsp40, co-chaperone with DnaK	 	14168	15298	Chromosome Escherichia coli W3110	
ECK0020:JW0018:b0019	nhaA	sodium-proton antiporter	 	17489	18655	Chromosome Escherichia coli W3110	
ECK0048:JW0046:b0047	kefC	potassium:proton antiporter	 	47769	49631	Chromosome Escherichia coli W3110	
ECK0056:JW0054:b0055	djlA	DnaJ-like protein, membrane anchored	 	57364	58179	Chromosome Escherichia coli W3110	
ECK0058:JW0056:b0057	yabQ	hypothetical protein	 	59121	59279	Chromosome Escherichia coli W3110	
ECK0068:JW0066:b0067	thiP	fused subunits of thiamin transporter and membrane components of ABC superfamily	 	74521	72911	Chromosome Escherichia coli W3110	
ECK0084:JW0081:b0083	ftsL	membrane bound cell division protein at septum containing leucine zipper motif	 	91032	91397	Chromosome Escherichia coli W3110	
ECK0090:JW0087:b0089	ftsW	integral membrane protein involved in stabilising FstZ ring during cell division	 	98403	99647	Chromosome Escherichia coli W3110	
ECK0096:JW0093:b0095	ftsZ	GTP-binding tubulin-like cell division protein	 	105305	106456	Chromosome Escherichia coli W3110	
ECK0114:JW0111:b0115	aceF	pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2	 	125695	127587	Chromosome Escherichia coli W3110	
ECK0116:JW0113:b0117	yacH	hypothetical protein	 	131260	129407	Chromosome Escherichia coli W3110	
ECK0127:JW0124:b0128	yadH	predicted transporter subunit	 	143702	144472	Chromosome Escherichia coli W3110	
ECK0136:JW0133:b0137	yadL	predicted fimbrial-like adhesin protein	 	152231	151626	Chromosome Escherichia coli W3110	
ECK0148:JW0145:b0149	mrcB	fused glycosyl transferase and transpeptidase	 	164730	167264	Chromosome Escherichia coli W3110	
ECK0152:JW0149:b0153	fhuB	fused subunits of iron-hydroxamate transporter and membrane components of ABC superfamily transporter	 	171462	173444	Chromosome Escherichia coli W3110	
ECK0154:JW5012:b0155	clcA	chloride channel, voltage-gated	 	175107	176528	Chromosome Escherichia coli W3110	
ECK0156:JW0153:b0157	yadS	conserved inner membrane protein	 	177624	177001	Chromosome Escherichia coli W3110	
ECK0160:JW0157:b0161	degP	serine endoprotease (protease Do), membrane-associated	 	180884	182308	Chromosome Escherichia coli W3110	
ECK0177:JW0173:b0178	hlpA	periplasmic chaperone	 	200482	200967	Chromosome Escherichia coli W3110	
ECK0184:JW0180:b0185	accA	acetylCoA carboxylase, carboxytransferase, alpha subunit	 	208621	209580	Chromosome Escherichia coli W3110	
ECK0186:JW0182:b0187	yaeR	predicted lyase	 	211877	212266	Chromosome Escherichia coli W3110	
ECK0187:JW0183:b0188	tilS	tRNA(Ile)-lysidine synthetase	 	212331	213629	Chromosome Escherichia coli W3110	
ECK0196:JW0192:b0196	rcsF	predicted outer membrane protein, signal	 	219995	219591	Chromosome Escherichia coli W3110	
ECK0198:JW0194:b0198	metI	DL-methionine transporter subunit	 	221621	220968	Chromosome Escherichia coli W3110	
ECK0218:JW0207:b0218	yafU	predicted inner membrane protein	 	239084	238746	Chromosome Escherichia coli W3110	
ECK0230:JW5811:b0229	 	flagellar system protein, promoterless fragment	 	250070	248358	Chromosome Escherichia coli W3110	
ECK0231:JW5812:b0230	 	flagellar system protein, promoterless fragment	 	250072	250827	Chromosome Escherichia coli W3110	
ECK0241:JW0230:b0240	crl	DNA-binding transcriptional regulator	 	257829	258230	Chromosome Escherichia coli W3110	
ECK0273:JW0265:b0272	yagI	predicted DNA-binding transcriptional regulator	 	288386	287628	Chromosome Escherichia coli W3110	
ECK0279:JW0274:b0280	yagN	hypothetical protein	 	294803	294363	Chromosome Escherichia coli W3110	
ECK0350:JW5046:b0353	mhpT	predicted 3-hydroxyphenylpropionic transporter	 	374683	375894	Chromosome Escherichia coli W3110	
ECK0356:JW0350:b0359	 	predicted acyl transferase	 	380283	380068	Chromosome Escherichia coli W3110	
ECK0379:JW5054:b0384	psiF	conserved hypothetical protein	 	402505	402825	Chromosome Escherichia coli W3110	
ECK0390:JW0386:b0396	araJ	predicted transporter	 	411705	410521	Chromosome Escherichia coli W3110	
ECK0391:JW0387:b0397	sbcC	exonuclease, dsDNA, ATP-dependent	 	414977	411831	Chromosome Escherichia coli W3110	
ECK0396:JW5055:b0402	proY	predicted cryptic proline transporter	 	420210	421583	Chromosome Escherichia coli W3110	
ECK0427:JW0423:b0433	ampG	muropeptide transporter	 	452769	451294	Chromosome Escherichia coli W3110	
ECK0434:JW0430:b0440	hupB	HU, DNA-binding transcriptional regulator, beta subunit	 	460675	460947	Chromosome Escherichia coli W3110	
ECK0436:JW0432:b0442	ybaV	conserved hypothetical protein	 	463161	463532	Chromosome Escherichia coli W3110	
ECK0445:JW0441:b0451	amtB	ammonium transporter	 	472190	473476	Chromosome Escherichia coli W3110	
ECK0447:JW0443:b0453	ybaY	predicted outer membrane lipoprotein	 	474603	475175	Chromosome Escherichia coli W3110	
ECK0457:JW0452:b0463	acrA	multidrug efflux system	 	484843	483650	Chromosome Escherichia coli W3110	
ECK0462:JW0457:b0468	ybaN	conserved inner membrane protein	 	490106	490483	Chromosome Escherichia coli W3110	
ECK0465:JW0460:b0471	ybaB	conserved hypothetical protein	 	493300	493629	Chromosome Escherichia coli W3110	
ECK0472:JW0467:b0478	ybaL	predicted transporter with NAD(P)-binding Rossmann-fold domain	 	502462	500786	Chromosome Escherichia coli W3110	
ECK0473:JW0468:b0479	fsr	predicted fosmidomycin efflux system	 	503920	502700	Chromosome Escherichia coli W3110	
ECK0480:JW0475:b0486	ybaT	predicted transporter	 	511800	513092	Chromosome Escherichia coli W3110	
ECK0482:JW5065:b0488	ybbJ	conserved inner membrane protein	 	514080	513625	Chromosome Escherichia coli W3110	
ECK0485:JW5066:b0491	ybbM	predicted inner membrane protein	 	515807	516586	Chromosome Escherichia coli W3110	
ECK0490:JW0485:b0496	ybbP	predicted inner membrane protein	 	519640	522054	Chromosome Escherichia coli W3110	
ECK0492:JW0487:b0498	ybbC	lipoprotein, putative	 	526805	527173	Chromosome Escherichia coli W3110	
ECK0494:JW0489:b0500	ybbD	hypothetical protein	 	527864	528124	Chromosome Escherichia coli W3110	
ECK0503:JW0498:b0510	ybbV	hypothetical protein	 	536720	536998	Chromosome Escherichia coli W3110	
ECK0516:JW0512:b0523	purE	N5-carboxyaminoimidazole ribonucleotide mutase	 	552323	551814	Chromosome Escherichia coli W3110	
ECK0523:JW0519:b0530	sfmA	predicted fimbrial-like adhesin protein	 	557435	557977	Chromosome Escherichia coli W3110	
ECK0532:JW0527:b450	 	DLP12 prophage region predicted replication protein fragment	 	565674	565910	Chromosome Escherichia coli W3110	
ECK0544:JW5078:b0553	 	DLP12 prophage region truncated outer membrane porin	 	576108	574981	Chromosome Escherichia coli W3110	
ECK0553:JW5815:b056	 	DLP12 prophage region predicted tail fiber assembly protein	 	580757	581320	Chromosome Escherichia coli W3110	
ECK0562:JW5082:b0570	cusS	sensory histidine kinase in two-component regulatory system with CusR, senses copper ions	 	593993	592551	Chromosome Escherichia coli W3110	
ECK0575:JW5085:b0583	entD	phosphopantetheinyltransferase component of enterobactin synthase multienzyme complex	 	609311	608682	Chromosome Escherichia coli W3110	
ECK0582:JW0581:b058	fepG	iron-enterobactin transporter subunit	 	620411	619419	Chromosome Escherichia coli W3110	
ECK0583:JW0582:b0590	fepD	iron-enterobactin transporter subunit	 	621412	620408	Chromosome Escherichia coli W3110	
ECK0584:JW0583:b0591	ybdA	predicted transporter	 	621523	622773	Chromosome Escherichia coli W3110	
ECK0589:JW0588:b0596	entA	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	 	627774	628520	Chromosome Escherichia coli W3110	
ECK0610:JW0609:b0617	citD	citrate lyase, acyl carrier (gamma) subunit	 	650006	649710	Chromosome Escherichia coli W3110	
ECK0618:JW0620:b0625	ybeH	hypothetical protein	 	658453	658680	Chromosome Escherichia coli W3110	
ECK0620:JW0622:b0627	tatE	TatABCE protein translocation system subunit	 	659369	659572	Chromosome Escherichia coli W3110	
ECK0626:JW0628:b0633	rlpA	minor lipoprotein	 	665612	664524	Chromosome Escherichia coli W3110	
ECK0627:JW0629:b0634	mrdB	cell wall shape-determining protein	 	666735	665623	Chromosome Escherichia coli W3110	
ECK0634:JW0636:b0641	rlpB	minor lipoprotein	 	672608	672027	Chromosome Escherichia coli W3110	
ECK0651:JW0656:b0659	ybeY	conserved hypothetical protein	 	692763	692296	Chromosome Escherichia coli W3110	
ECK0667:JW0665:b0679	nagE	fused N-acetyl glucosamine specific PTS enzyme IICBA components	 	704366	706312	Chromosome Escherichia coli W3110	
ECK0673:JW5816:b0685	ybfE	LexA regulated protein	 	712320	712027	Chromosome Escherichia coli W3110	
ECK0687:JW0687:b4513	kdpF	potassium ion accessory transporter subunit	 	729243	729154	Chromosome Escherichia coli W3110	
ECK0694:JW0695:b0705	 	predicted transposase	 	737322	738383	Chromosome Escherichia coli W3110	
ECK0717:JW0718:b0729	sucD	succinyl-CoA synthetase, NAD(P)-binding, alpha subunit	 	764602	765471	Chromosome Escherichia coli W3110	
ECK0719:JW0720:b0731	mngA	fused 2-O-a-mannosyl-D-glycerate specific PTS enzyme IIABC components	 	766406	768382	Chromosome Escherichia coli W3110	
ECK0728:JW0729:b0739	tolA	membrane anchored protein in TolA-TolQ-TolR complex	 	776764	778029	Chromosome Escherichia coli W3110	
ECK0742:JW0736:b0753	ybgS	conserved hypothetical protein	 	785739	785359	Chromosome Escherichia coli W3110	
ECK0751:JW5102:b0762	ybhT	hypothetical protein	 	795195	795344	Chromosome Escherichia coli W3110	
ECK0753:JW0747:b0764	modB	molybdate transporter subunit	 	796284	796973	Chromosome Escherichia coli W3110	
ECK0765:JW0759:b0776	bioF	8-amino-7-oxononanoate synthase	 	810803	811957	Chromosome Escherichia coli W3110	
ECK0776:JW0770:b0787	ybhM	conserved inner membrane protein	 	821215	821928	Chromosome Escherichia coli W3110	
ECK0777:JW0771:b0788	ybhN	conserved inner membrane protein	 	822920	821964	Chromosome Escherichia coli W3110	
ECK0780:JW0774:b0791	ybhQ	predicted inner membrane protein	 	825052	825462	Chromosome Escherichia coli W3110	
ECK0784:JW0779:b0795	ybhG	predicted membrane fusion protein (MFP) component of efflux pump, membrane anchor	 	830394	829396	Chromosome Escherichia coli W3110	
ECK0785:JW0780:b0796	ybiH	predicted DNA-binding transcriptional regulator	 	831065	830394	Chromosome Escherichia coli W3110	
ECK0791:JW0787:b0802	ybiJ	hypothetical protein	 	838347	838087	Chromosome Escherichia coli W3110	
ECK0799:JW0795:b0810	glnP	glutamine transporter subunit	 	847541	846882	Chromosome Escherichia coli W3110	
ECK0808:JW0802:b0818	ybiR	predicted transporter	 	854069	855187	Chromosome Escherichia coli W3110	
ECK0821:JW0815:b0831	yliC	predicted peptide transporter subunit	 	871389	872309	Chromosome Escherichia coli W3110	
ECK0826:JW0820:b0836	yliH	conserved hypothetical protein	 	878670	879053	Chromosome Escherichia coli W3110	
ECK0828:JW0822:b0838	yliJ	predicted glutathione S-transferase	 	880902	880276	Chromosome Escherichia coli W3110	
ECK0835:JW0829:b0845	ybjJ	predicted transporter	 	887761	886553	Chromosome Escherichia coli W3110	
ECK0841:JW0834:b0850	ybjC	predicted inner membrane protein	 	891335	891622	Chromosome Escherichia coli W3110	
ECK0848:JW0841:b0857	potI	putrescine transporter subunit	 	897506	898351	Chromosome Escherichia coli W3110	
ECK0866:JW0859:b0875	aqpZ	aquaporin	 	916469	915774	Chromosome Escherichia coli W3110	
ECK0901:JW0893:b0910	cmk	cytidylate kinase	 	961623	962306	Chromosome Escherichia coli W3110	
ECK0902:JW0894:b0911	rpsA	30S ribosomal subunit protein S1	 	962417	964090	Chromosome Escherichia coli W3110	
ECK0911:JW0903:b0920	ycbC	conserved inner membrane protein	 	973823	973044	Chromosome Escherichia coli W3110	
ECK0940:JW0932:b0949	uup	fused predicted transporter subunits and ATP-binding components of ABC superfamily	 	1010386	1012293	Chromosome Escherichia coli W3110	
ECK0949:JW0941:b0958	sulA	SOS cell division inhibitor	 	1021341	1020832	Chromosome Escherichia coli W3110	
ECK0966:JW0957:b0975	hyaD	protein involved in processing of HyaA and HyaB proteins	 	1036192	1036779	Chromosome Escherichia coli W3110	
ECK0978:JW5133:b0987	ymcD	hypothetical protein	 	1050166	1049861	Chromosome Escherichia coli W3110	
ECK1000:JW0994:b1009	rarA	predicted hydrolase	 	1072187	1071387	Chromosome Escherichia coli W3110	
