Entry Name	Total #Tryptic Peptides	# Detectable Tryptic Peptides	Detectable(%)	mean m/z	mean gravy	mean mass
Q6BF86	2	1		1487.8569125	1.053125	3570.85659
P37388	21	12		822.550303981481	0.243333894455218	1740.48002333333
P75616	12	6		627.064063703704	-1.41258741258741	1449.21550333333
P64485	6	3		1255.35568833333	1.67138888888889	2510.71137666667
P00805	19	11		818.567158555556	-0.093595377232157	1816.80411727273
P00904	15	11		954.121657017544	-0.028635795167097	2164.46487727273
P02916	18	8		739.6043625	-0.585214285714286	1479.208725
P02924	26	14		677.210712291667	-0.140821866625438	1356.10225857143
P02932	24	12		804.841401794872	-0.819890797859548	1674.18379666667
P02943	18	9		1084.10367402778	-0.29046083795709	2275.72573
P03959	10	3		1044.16161	0.540536398467433	2108.48554666667
P04816	22	11		724.233303974359	-0.0713035493170774	1629.71159545455
P05050	17	12		825.438965131579	-0.0901607178697006	1772.37918583333
P05824	20	11		769.581115436905	-0.372075605680869	1807.71744727273
P07021	13	7		917.021581111111	-0.198479437229437	1924.5157
P07102	21	12		858.30343547619	0.149812751986385	1728.79677333333
P08370	12	7		920.534920208333	0.1455880574452	1828.34215
P08371	18	8		790.738781875	0.126171626984127	1741.25707375
P08550	11	8		961.887959375	0.938527112255561	2094.857145
P09836	18	10		859.459059404762	0.367882872846108	1750.295815
P0A6E9	18	9		682.581729545455	-0.0274881545469782	1762.71266222222
P0A754	11	7		862.4729539375	-0.208122552051124	2573.25700571429
P0A7H3	29	10		936.427528888889	-0.123639087301587	1866.234814
P0A8S5	11	5		973.809269722222	0.306085231193927	1982.983442
P0A8X4	22	10		757.756854090909	-0.0640056479468245	1542.604291
P0A996	27	16		684.236286208333	-0.247280545954941	1300.886408125
P0A9C0	23	13		806.391744403509	-0.0153509738125123	1614.42478461538
P0AA47	10	4		1009.10623133333	0.124564544650751	2315.671085
P0AA49	14	9		837.63251	0.705941435585398	1735.70813777778
P0AA63	13	7		951.713483333333	0.409784013605442	2116.26546285714
P0AA99	23	12		775.326508333333	-0.317422633947196	1755.20726916667
P0AAD2	12	5		1040.83604972222	0.951733354704591	2950.933766
P0AAD8	10	5		1038.2734647619	0.751033210649	2231.756424
P0AAE5	13	6		959.000642083333	0.967877184543851	2042.61508
P0AAE8	8	2		1364.768035	1.11630434782609	3679.420865
P0AAK7	26	10		775.58976051282	0.0629213184476342	1604.355244
P0AAL3	26	15		668.612160588235	-0.0993781423255107	1363.53723066667
P0AAL6	20	9		913.1588005	0.0874613570885314	1902.65519888889
P0AAM1	16	11		934.156230185185	0.48708846889105	2277.67468545454
P0AAP1	17	6		784.506537037037	-0.542486772486772	1828.90382
P0AAX6	6	2		1407.10825833333	0.1	3669.818305
P0AAY4	4	3		981.042590071429	0.295555555555556	3165.61156
P0AAZ0	12	7		815.085903958333	0.793213952247566	1744.51557571429
P0AB40	7	3		1050.00283708333	0.201010101010101	2384.22875
P0AB85	19	12		748.170081666667	-0.202743813791726	1571.4497075
P0ABG1	15	4		1170.04972138889	1.2041059997607	3242.2192925
P0ABH4	9	3		1097.12159333333	1.5270202020202	3095.42740333333
P0ABK7	13	4		680.5924475	-0.455	1361.184895
P0ABK9	26	12		801.35385712963	-0.521401073911155	1628.18634916667
P0ABL3	12	4		881.55301875	-0.466454545454545	2115.727245
P0ABL5	26	10		687.437709166667	-0.753955026455027	1506.378776
P0ABT8	15	9		1151.67559111111	1.0429445594663	2303.35118222222
P0ABV2	10	8		814.491472348485	-0.0169618055555556	1875.18675125
P0AC26	9	5		984.799312	0.768313742306528	3114.180596
P0AC55	16	6		667.77688	0.29966688110651	1335.55376
P0ACJ5	14	9		749.2048255	-0.0195147078336734	1558.78230333333
P0ACN2	13	6		869.930699285714	0.263244011320637	1735.24118166667
P0ACV2	24	10		914.035638095238	0.0336057059555511	1963.153475
P0ACX0	8	4		1257.64609233333	1.5500728021978	2652.1845125
P0AD03	20	10		1007.17937488095	0.244734384630423	2241.256663
P0AD17	8	6		977.928420233333	0.458681509462759	2976.03178333333
P0AD19	14	5		1160.64151261905	0.956207792207792	2926.96516
P0AD59	12	9		841.410527435898	0.125004409171076	1730.17876888889
P0ADD2	9	5		1053.73767916667	0.686452081252081	2348.21493
P0ADD5	17	10		877.159790944445	0.0827518258186924	2206.422779
