Join Name	emPAI 5 Methods	BL21(DE3) OLC	K12 Entry Name	BL21(DE3) OLC	K12 Accession
253773763	"1,72 | 1,81 | 2,21;0,07 | 0,14 | 0,5; | 2,21 | ;2,32 | 0,44 | 1,54;0,31 |  | 0,59"	ECBD_2383	OMPA_ECOLI	C6EI25_ECOBD	P0A910
253774014	"3,62 | 2,29 | 4,97;0,09 |  | 0,18;3,54 |  | 5,92;2,29 | 6,08 | 4,97;2,38 |  | 2,82"	ECBD_2638	OMPA_ECOLI	C6EI25_ECOBD	P0A910
253774042	"1,64 | 2,65 | 2,65;0,12 |  | ;3,29 | 6,55 | 2,36;2,65 | 2,95 | 1,86;1,64 | 2,95 | 2,36"	ECBD_2666	OMPF_ECOLI	C6EI53_ECOBD	P02931
253773366	"3,09 | 67,19 | 22,73;0,2 |  | ;46,96 | 4,81 | 15,69;1,87 | 136,83 | 22,73;10,74 | 15,69 | 7,26"	ECBD_1968	LPP_ECOLI	C6ECS8_ECOBD	P69776
253771754	"0,33 | 1,10 | 1,69; | 0,96 | ;0,42 | 0,07 | 0,48;0,11 | 0,15 | 0,33"	ECBD_0328	PHSM_ECOLI	C6EFF7_ECOBD	P00490
253775592	"2,88 | 5,23 | 4,82; | 0,09 | 0,3;0,31 | 3,15 | 0,4;3,44 | 0,72 | 2,62;0,61 | 0,15 | 0,50"	ECBD_4257	RHO_ECOLI	C6EG30_ECOBD	P0AG30
253775338	"0,78 | 1,78 | 1,78;0,09 |  | ;3,08 | 1,45 | 1,96;1,30 | 3,08 | 1,30;2,59 | 1,02 | 3,94"	ECBD_3999	LAMB_ECOLI	C6EDY6_ECOBD	P02943
253772127	"0,81 | 0,71 | 0,71; |  | 0,48;1,44 | 0,71 | 0,81;0,92 | 1,04 | 0,61;0,27 | 0,27 | 0,43"	ECBD_0704	TOLC_ECOLI	C6EHV8_ECOBD	P02930
253775172	"6,02 | 14,32 | 7,54; | 0,07 | 0,03; | 7,54 | 0,48;2,22 | 1,18 | 3,76; |  | 0,22"	ECBD_3831	RL9_ECOLI	C6ECE6_ECOBD	P0A7R1
253775384	"0,44 | 1,03 | 0,44; | 0,14 | 0,07; | 0,24 | 0,04; | 0,19 | 0,57; |  | 0,11"	ECBD_4046	RPOB_ECOLI	C6EE32_ECOBD	P0A8V2
253773794	"1,75 | 0,90 | 1,75; | 1,09 | 0,1;1,09 |  | 1,09; |  | 0,10"	ECBD_2414	KPRS_ECOLI	C6EGQ9_ECOBD	P0A717
253774914	"0,43 | 0,77 | 0,71; |  | 0,15;0,2 | 0,43 | 1,63;0,38 | 1,28 | 0,38;1,20 | 0,77 | "	ECBD_3561	LPTD_ECOLI	C6EAZ9_ECOBD	P31554
253775386	"1,39 | 4,70 | 2,38; |  | 0,04; | 1,84 | ; |  | 1,01;0,19 | 0,19 | 0,42"	ECBD_4048	RL10_ECOLI	C6EE34_ECOBD	P0A7J3
253771859	"3,37 | 2,18 | 4,99; |  | 0,07;1,58 | 4,39 | 1,32;1,32 |  | 1,58; | 0,52 | "	ECBD_0434	RL2_ECOLI	C6EGE9_ECOBD	P60422
253771871	"3,35 | 4,12 | 4,12; | 0,28 | ; | 5,03 | 0,63;3,35 | 0,39 | 2,70;0,18 |  | "	ECBD_0446	RL6_ECOLI	C6EGG1_ECOBD	P0AG55
