Accession	Gene names	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Gene names (OLN)	Entry name	Subcellular locations	Protein existence	Protein family	Protein names	Gene Ontology ID	Keywords	Length	Gene location
P05100	tag b3549 JW3518	tag		b3549 JW3518	3MG1_ECOLI		Evidence at protein level		DNA-3-methyladenine glycosylase 1 (EC 3.2.2.20) (3-methyladenine-DNA glycosylase I, constitutive) (TAG I) (DNA-3-methyladenine glycosidase I) (DNA-3-methyladenine glycosylase I)	"GO:0008725; GO:0006284; GO:0046872; GO:0005515"	"3D-structure; Complete proteome; DNA damage; DNA repair; Direct protein sequencing; Hydrolase; Metal-binding; Zinc"	187	
P04395	alkA aidA b2068 JW2053	alkA	aidA	b2068 JW2053	3MG2_ECOLI		Evidence at protein level	Alkylbase DNA glycosidase alkA family	DNA-3-methyladenine glycosylase 2 (EC 3.2.2.21) (3-methyladenine-DNA glycosylase II, inducible) (TAG II) (DNA-3-methyladenine glycosidase II) (DNA-3-methyladenine glycosylase II)	"GO:0003677; GO:0006307; GO:0003905; GO:0006284; GO:0005737; GO:0005515"	"3D-structure; Complete proteome; DNA damage; DNA repair; Direct protein sequencing; Hydrolase"	282	
P00350	gnd b2029 JW2011	gnd		b2029 JW2011	6PGD_ECOLI		Evidence at protein level	6-phosphogluconate dehydrogenase family	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	"GO:0019521; GO:0050661; GO:0055114; GO:0006098; GO:0004616; GO:0042803"	"3D-structure; Complete proteome; Gluconate utilization; NADP; Oxidoreductase; Pentose shunt"	468	
C4ZXT8	pgl BWG_0619	pgl		BWG_0619	6PGL_ECOBW		Inferred from homology	Cycloisomerase 2 family	6-phosphogluconolactonase (6-P-gluconolactonase) (EC 3.1.1.31)	"GO:0017057; GO:0006006"	"Acetylation; Carbohydrate metabolism; Complete proteome; Glucose metabolism; Hydrolase"	331	
B1X797	pgl ECDH10B_0835	pgl		ECDH10B_0835	6PGL_ECODH		Inferred from homology	Cycloisomerase 2 family	6-phosphogluconolactonase (6-P-gluconolactonase) (EC 3.1.1.31)	"GO:0017057; GO:0006006"	"Acetylation; Carbohydrate metabolism; Complete proteome; Glucose metabolism; Hydrolase"	331	
P52697	pgl ybhE b0767 JW0750	pgl	ybhE	b0767 JW0750	6PGL_ECOLI		Evidence at protein level	Cycloisomerase 2 family	6-phosphogluconolactonase (6-P-gluconolactonase) (Pgl) (EC 3.1.1.31)	"GO:0017057; GO:0006006"	"3D-structure; Acetylation; Carbohydrate metabolism; Complete proteome; Glucose metabolism; Hydrolase"	331	
C4ZSX9	aaeA BWG_2942	aaeA		BWG_2942	AAEA_ECOBW	"Cell inner membrane; Single-pass membrane protein. "	Evidence at transcript level	Membrane fusion protein (MFP) (TC 8.A.1) family	p-hydroxybenzoic acid efflux pump subunit AaeA (pHBA efflux pump protein A)	"GO:0016021; GO:0005886; GO:0009306; GO:0008565"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	310	
B1XHL3	aaeA ECDH10B_3418	aaeA		ECDH10B_3418	AAEA_ECODH	"Cell inner membrane; Single-pass membrane protein. "	Evidence at transcript level	Membrane fusion protein (MFP) (TC 8.A.1) family	p-hydroxybenzoic acid efflux pump subunit AaeA (pHBA efflux pump protein A)	"GO:0016021; GO:0005886; GO:0009306; GO:0008565"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	310	
P46482	aaeA yhcQ b3241 JW3210	aaeA	yhcQ	b3241 JW3210	AAEA_ECOLI	"Cell inner membrane; Single-pass membrane protein. "	Evidence at transcript level	Membrane fusion protein (MFP) (TC 8.A.1) family	p-hydroxybenzoic acid efflux pump subunit AaeA (pHBA efflux pump protein A)	"GO:0046942; GO:0016021; GO:0005886; GO:0009306; GO:0008565; GO:0042221"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	310	
C4ZSX8	aaeB BWG_2941	aaeB		BWG_2941	AAEB_ECOBW	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at transcript level	Aromatic acid exporter ArAE (TC 2.A.85) family	p-hydroxybenzoic acid efflux pump subunit AaeB (pHBA efflux pump protein B)	"GO:0016021; GO:0005886; GO:0006810"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	655	
P46481	aaeB yhcP b3240 JW3209	aaeB	yhcP	b3240 JW3209	AAEB_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Aromatic acid exporter ArAE (TC 2.A.85) family	p-hydroxybenzoic acid efflux pump subunit AaeB (pHBA efflux pump protein B)	"GO:0046942; GO:0016021; GO:0005886; GO:0042221"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	655	
P67662	aaeR yhcS b3243 JW3212	aaeR	yhcS	b3243 JW3212	AAER_ECOLI		Predicted		HTH-type transcriptional activator AaeR	"GO:0003677; GO:0006355; GO:0003700; GO:0006350; GO:0016563"	"Activator; Complete proteome; DNA-binding; Transcription; Transcription regulation"	309	
C4ZSY0	aaeX BWG_2943	aaeX		BWG_2943	AAEX_ECOBW	"Cell membrane; Multi-pass membrane protein. "	Evidence at transcript level	AaeX family	Protein AaeX	"GO:0016021; GO:0005886"	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	67	
B1XHL4	aaeX ECDH10B_3419	aaeX		ECDH10B_3419	AAEX_ECODH	"Cell membrane; Multi-pass membrane protein. "	Evidence at transcript level	AaeX family	Protein AaeX	"GO:0016021; GO:0005886"	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	67	
P46478	aaeX yhcR b3242 JW5541	aaeX	yhcR	b3242 JW5541	AAEX_ECOLI	"Cell membrane; Multi-pass membrane protein. "	Evidence at transcript level	AaeX family	Protein AaeX	"GO:0016021; GO:0005886"	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	67	
C4ZZY9	aas BWG_2572	aas		BWG_2572	AAS_ECOBW	"Cell inner membrane; Multi-pass membrane protein. "	Inferred from homology	"2-acyl-GPE acetyltransferase family; ATP-dependent AMP-binding enzyme family"	"Bifunctional protein aas [Includes: 2-acylglycerophosphoethanolamine acyltransferase (EC 2.3.1.40) (2-acyl-GPE acyltransferase) (Acyl-[acyl-carrier-protein]--phospholipid O-acyltransferase); Acyl-[acyl-carrier-protein] synthetase (EC 6.2.1.20) (Acyl-ACP synthetase) (Long-chain-fatty-acid--[acyl-carrier-protein] ligase)]"	"GO:0005524; GO:0008779; GO:0016021; GO:0008922; GO:0005886"	"ATP-binding; Acyltransferase; Cell inner membrane; Cell membrane; Complete proteome; Ligase; Membrane; Multifunctional enzyme; Nucleotide-binding; Transferase; Transmembrane; Transmembrane helix"	719
B1XDP2	aas ECDH10B_3006	aas		ECDH10B_3006	AAS_ECODH	"Cell inner membrane; Multi-pass membrane protein. "	Inferred from homology	"2-acyl-GPE acetyltransferase family; ATP-dependent AMP-binding enzyme family"	"Bifunctional protein aas [Includes: 2-acylglycerophosphoethanolamine acyltransferase (EC 2.3.1.40) (2-acyl-GPE acyltransferase) (Acyl-[acyl-carrier-protein]--phospholipid O-acyltransferase); Acyl-[acyl-carrier-protein] synthetase (EC 6.2.1.20) (Acyl-ACP synthetase) (Long-chain-fatty-acid--[acyl-carrier-protein] ligase)]"	"GO:0005524; GO:0008779; GO:0016021; GO:0008922; GO:0005886"	"ATP-binding; Acyltransferase; Cell inner membrane; Cell membrane; Complete proteome; Ligase; Membrane; Multifunctional enzyme; Nucleotide-binding; Transferase; Transmembrane; Transmembrane helix"	719
P31119	aas b2836 JW2804	aas		b2836 JW2804	AAS_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	"2-acyl-GPE acetyltransferase family; ATP-dependent AMP-binding enzyme family"	"Bifunctional protein aas [Includes: 2-acylglycerophosphoethanolamine acyltransferase (EC 2.3.1.40) (2-acyl-GPE acyltransferase) (Acyl-[acyl-carrier-protein]--phospholipid O-acyltransferase); Acyl-[acyl-carrier-protein] synthetase (EC 6.2.1.20) (Acyl-ACP synthetase) (Long-chain-fatty-acid--[acyl-carrier-protein] ligase)]"	"GO:0005524; GO:0008779; GO:0006631; GO:0016021; GO:0008922; GO:0008654; GO:0005886"	"ATP-binding; Acyltransferase; Cell inner membrane; Cell membrane; Complete proteome; Ligase; Membrane; Multifunctional enzyme; Nucleotide-binding; Transferase; Transmembrane; Transmembrane helix"	719
P00509	aspC b0928 JW0911	aspC		b0928 JW0911	AAT_ECOLI	Cytoplasm. 	Evidence at protein level	Class-I pyridoxal-phosphate-dependent aminotransferase family	Aspartate aminotransferase (AspAT) (EC 2.6.1.1) (Transaminase A)	"GO:0004069; GO:0033585; GO:0004838; GO:0006532; GO:0005829; GO:0016212; GO:0042803; GO:0030170"	"3D-structure; Aminotransferase; Complete proteome; Cytoplasm; Direct protein sequencing; Pyridoxal phosphate; Transferase"	396
C4ZVI3	ydcW BWG_1269	ydcW		BWG_1269	ABDH_ECOBW		Inferred from homology	Aldehyde dehydrogenase family, Gamma-aminobutyraldehyde dehydrogenase subfamily	Gamma-aminobutyraldehyde dehydrogenase (EC 1.2.1.19) (1-pyrroline dehydrogenase) (4-aminobutanal dehydrogenase) (ABALDH)	"GO:0051287; GO:0019145; GO:0055114; GO:0009447"	"Complete proteome; NAD; Oxidoreductase"	474
B1XDF5	ydcW ECDH10B_1574	ydcW		ECDH10B_1574	ABDH_ECODH		Inferred from homology	Aldehyde dehydrogenase family, Gamma-aminobutyraldehyde dehydrogenase subfamily	Gamma-aminobutyraldehyde dehydrogenase (EC 1.2.1.19) (1-pyrroline dehydrogenase) (4-aminobutanal dehydrogenase) (ABALDH)	"GO:0051287; GO:0019145; GO:0055114; GO:0009447"	"Complete proteome; NAD; Oxidoreductase"	474
P77674	ydcW b1444 JW1439	ydcW		b1444 JW1439	ABDH_ECOLI		Evidence at protein level	Aldehyde dehydrogenase family, Gamma-aminobutyraldehyde dehydrogenase subfamily	Gamma-aminobutyraldehyde dehydrogenase (EC 1.2.1.19) (1-pyrroline dehydrogenase) (4-aminobutanal dehydrogenase) (ABALDH)	"GO:0051287; GO:0019145; GO:0055114; GO:0009447"	"3D-structure; Complete proteome; NAD; Oxidoreductase"	474
P77357	abgA ydaJ b1338 JW5205	abgA	ydaJ	b1338 JW5205	ABGA_ECOLI		Evidence at protein level	Peptidase M20 family	Aminobenzoyl-glutamate utilization protein A	"GO:0016787; GO:0005515"	"Complete proteome; Hydrolase"	436
P76052	abgB ydaI b1337 JW1331 ECK1333	abgB	ydaI	b1337 JW1331	ABGB_ECOLI		Evidence at protein level		Aminobenzoyl-glutamate utilization protein B	"GO:0016787; GO:0005515"	Complete proteome	481
P77744	abgR b1339 JW1333	abgR		b1339 JW1333	ABGR_ECOLI		Evidence at protein level		HTH-type transcriptional regulator AbgR	"GO:0003677; GO:0006355; GO:0003700"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	302
P46133	abgT ydaH b1336 JW5822 ECK1332	abgT	ydaH	b1336 JW5822	ABGT_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level		Aminobenzoyl-glutamate transport protein	"GO:0006865; GO:0016021; GO:0005886"	"Amino-acid transport; Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	508
P75747	abrB ybgN b0715 JW5097 ECK0704	abrB	ybgN	b0715 JW5097	ABRB_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Inferred from homology	AbrB family	Protein AbrB (AidB regulator)	"GO:0016021; GO:0005886"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	348
