Entry name (Uniprot)	Accession (UNIPROT)	Gene	Locus_Tag	Subcellular Location(this study)	Name of deletion Island (Posfai 2006)	Mobile Element	Mobile from paper	Pseudogene/Mobile Element Notes	Common Core	Deletion	Subcellular Location (UNIPROT)	Subcellular Location (EchoLOCATION)	1st Secr Sys	2nd Secr Sys	Uniprot Link	Total Length (aa)	Gene_Type	Left End	Right End	Strand	Comments/Annotation	Description (UNIPROT)
INSL1_ECOLI	P0CF91	insL-1	b0016	A	MD13	2	2	"Insertion Sequence;Insertion Element ;Transposase"		del-MD13		-			P0CF91	370	CDS	15445	16557	+	note: Predicted inner membrane in Bensel	Putative transposase InsL for insertion sequence element IS186A
HOKC_ECOLI	P0ACG4	hokC	b4412	G		0	0			del-MD13		Cytoplasmic	SEC		P0ACG4	50	CDS	16751	16903	-		Uncharacterized protein yqeI
MOKC_ECOLI	P33236	mokC	b0018	B	MD13	0	2			del-MD13		Cytoplasmic	SEC		P33236	69	CDS	16751	16960	-		Regulatory protein mokC
NHAA_ECOLI	P13738	nhaA	b0019	B	MD13	0	2			del-MD13	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	SEC		P13738	388	CDS	17489	18655	+		Na(+)/H(+) antiporter nhaA (Sodium/proton antiporter nhaA)
NHAR_ECOLI	P0A9G2	nhaR	b0020	A	MD13	0	2		Common Core	del-MD13	Periplasm. 	Membrane anchored >EXP<			P0A9G2	301	CDS	18715	19620	+		Transcriptional activator protein nhaR (Na(+)/H(+) antiporter regulatory protein)
INSB1_ECOLI	P0CF25	insB-1	b0021	A	MD13	2	2	"Insertion Element ;Transposase"		del-MD13		-			P0CF25	167	CDS	19811	20314	-	new id	Insertion element IS1 1 protein insB (IS1a)
INSA1_ECOLI	P0CF07	insA-1	b0022	A	MD13	2	2	Insertion Element 		del-MD13	"Cell inner membrane; Multi-pass membrane protein. "	Cytoplasmic			P0CF07	91	CDS	20233	20508	-	new id	Insertion element IS1 1 protein insA (IS1a)
FHUA_ECOLI	P06971	fhuA	b0150	H	MD41	0	2			del-MD41	"Membrane; Single-pass membrane protein. "	-	SEC	BAM	P06971	747	CDS	167484	169727	+		Uncharacterized protein yohN
FHUC_ECOLI	P07821	fhuC	b0151	F1	MD41	0	2		Common Core	del-MD41	Cytoplasm. 	Cytoplasmic			P07821	265	CDS	169778	170575	+		Iron(3+)-hydroxamate import ATP-binding protein fhuC (EC 3.6.3.34) (Ferric hydroxamate uptake protein C) (Ferrichrome transport ATP-binding protein fhuC) (Iron(III)-hydroxamate import ATP-binding protein fhuC)
FHUD_ECOLI	P07822	fhuD	b0152	G	MD41	0	2		Common Core	del-MD41	Periplasm. 	Periplasmic >EXP<	TAT / SEC		P07822	296	CDS	170575	171465	+	Notes: TAT secretion system Refs: (http://www.jbc.org/content/282/11/8309.abstract)	Iron(3+)-hydroxamate-binding protein fhuD (Ferric hydroxamate uptake protein D) (Ferrichrome-binding periplasmic protein) (Iron(III)-hydroxamate-binding protein fhuD)
FHUB_ECOLI	P06972	fhuB	b0153	B	MD41	0	2			del-MD41	Cytoplasm. 	Cytoplasmic	SEC		P06972	660	CDS	171462	173444	+		Iron(3+)-hydroxamate import system permease protein fhuB (Ferric hydroxamate uptake protein B) (Ferrichrome transport system permease protein fhuB) (Ferrichrome uptake protein fhuB) (Iron(III)-hydroxamate import system permease protein fhuB)
YKFI_ECOLI	P77692	ykfI	b0245	A		2	0	Prophage Integrase (EcoGene)		del-MD1	"Cell inner membrane; Multi-pass membrane protein. "	-			P77692	113	CDS	262552	262893	-		Uncharacterized protein ykfI
YAFW_ECOLI	Q47684	yafW	b0246	A	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1		Cytoplasmic			Q47684	105	CDS	262914	263231	-		Uncharacterized protein yafW
YKFH_ECOLI	Q9XB42	ykfH	b4504	A	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1	"Cell outer membrane; Lipid-anchor. "	-			Q9XB42	73	CDS	263250	263471	-		Uncharacterized protein ykfH
YKFG_ECOLI	Q47685	ykfG	b0247	A	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1	Periplasm. 	-			Q47685	158	CDS	263480	263956	-		UPF0758 protein ykfG
YAFX_ECOLI	P75676	yafX	b0248	A	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1		-			P75676	152	CDS	263972	264430	-		Uncharacterized protein yafX
YKFF_ECOLI	P75677	ykfF	b0249	A	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1		-			P75677	79	CDS	264528	264767	-		UPF0401 protein ykfF
YKFB_ECOLI	P77162	ykfB	b0250	G	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1		Outer membrane Lipoprotein	SEC		P77162	155	CDS	264844	265311	-		Uncharacterized protein ykfB
YAFY_ECOLI	P77365	yafY	b0251	E	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1	"Cell outer membrane; Multi-pass membrane protein. "	Outer Membrane &#223-barrel protein >EXP<	SEC	LOL	P77365	147	CDS	265334	266191	-	Inner mebrane lipoprotein (LipoP prediction)	Uncharacterized lipoprotein yafY
YAFZ_ECOLI	P77206	yafZ	b0252	A	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1	Cytoplasm. 	Cytoplasmic			P77206	273	CDS	266408	267229	-		UPF0380 protein yafZ
YKFA_ECOLI	P75678	ykfA	b0253	A	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1	Periplasm. 	-			P75678	287	CDS	267321	268184	-		Uncharacterized protein ykfA
PERR_ECOLI	Q57083	perR	b0254	A	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1		Cytoplasmic			Q57083	297	CDS	268513	269406	-		HTH-type transcriptional regulator perR (Peroxide resistance protein perR)
INSN1_ECOLI	P75679	insN-1	b0255	A		2	0	"Insertion Sequence;Transposase"		del-MD1	Cytoplasm. 	Cytoplasmic			P75679	134	CDS	269466	269870	+		Transposase insN for insertion sequence element IS911A
INSI1_ECOLI	P0CF88	insI-1	b0256	A	MD1	2	2	"Insertion Sequence;Insertion Element ;Transposase;Rhs Element;Prophage Integrase"		del-MD1		-			P0CF88	383	CDS	269827	270978	+	new id	Transposase InsI for insertion sequence element IS30A
INSO1_ECOLI	P75680	insO-1	b0257	A		2	0	"pseudogene (Uniprot);Insertion Sequence;Transposase"		del-MD1		-			P75680	141	CDS	271054	271479	+		Putative transposase insO for insertion sequence element IS911A
YKFC_ECOLI	Q47688	ykfC	b0258	A		2	0	pseudogene (Uniprot) 		del-MD1		-			Q47688	376	CDS	272071	273216	+		Putative uncharacterized protein ykfC
INSH1_ECOLI	P0CE49	insH-1	b0259	A	MD1	2	2	"Insertion Sequence;Transposase"		del-MD1		Cytoplasmic			P0CE49	338	CDS	273325	274341	-	new id	Transposase insH for insertion sequence element IS5A
MMUP_ECOLI	Q47689	mmuP	b0260	B	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1		-	SEC		Q47689	467	CDS	274549	275952	+		Probable S-methylmethionine permease
MMUM_ECOLI	Q47690	mmuM	b0261	A	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1	Cytoplasm. 	-			Q47690	310	CDS	275939	276871	+		Homocysteine S-methyltransferase (EC 2.1.1.10) (S-methylmethionine:homocysteine methyltransferase)
FBPC_ECOLI	P37009	afuC	b0262	F1	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1		-			P37009	348	CDS	276980	278026	-		Fe(3+) ions import ATP-binding protein FbpC (EC 3.6.3.30)
FBPB_ECOLI	P75681	afuB	b0263	B		2	0	pseudogene (Uniprot) 		del-MD1	Cytoplasm. 	Cytoplasmic	SEC		P75681	115	CDS	278038	278400	-		Putative ferric transport system permease protein fbpB (Fragment)
