EG	GN	ECK	SP	WISC	CG	GI	JW	ASAP	EB	Type	Status	Len	Ori	LeftEnd	RightEnd	Cs	Syn	MN	Description	Comments	MW		EG	GN	ECK	SP	WISC	CG	GI	JW	ASAP	EB	Type	Status	Len	Ori	LeftEnd	RightEnd	Cs	Syn	MN	Description	Comments	MW	
EG10003	cysZ	ECK2408	P0A6J3	b2413	Null	g1788753	JW2406	7953	EB0003	aa	OK	253	Clockwise	2529485	2530246	54.52	Null	Cysteine	Function unknown, upstream of cysK	Null	29305.00		EG10003	cysZ	ECK2408	P0A6J3	b2413	Null	g1788753	JW2406	7953	EB0003	aa	OK	253	Clockwise	2529485	2530246	54.52	Null	Cysteine	Function unknown, upstream of cysK	Null	29305.00	
EG10006	dcuB	ECK4116	P0ABN9	b4123	CG34479	g1790565	JW4084	13503	EB0006	aa	OK	446	Counterclockwise	4345427	4346767	93.66	genF	Dicarboxylate uptake	C4-dicarboxylate transporter, anaerobic	IT (Ion Transporter) superfamily (Prakash, 2003). ST(3) structural class based on hydropathy profile (Lolkema, 2003). DcuB is required for D-tartrate anaerobic transport (Kim, 2007).	47935.26		EG10006	dcuB	ECK4116	P0ABN9	b4123	CG34479	g1790565	JW4084	13503	EB0006	aa	OK	446	Counterclockwise	4345427	4346767	93.66	genF	Dicarboxylate uptake	C4-dicarboxylate transporter, anaerobic	IT (Ion Transporter) superfamily (Prakash, 2003). ST(3) structural class based on hydropathy profile (Lolkema, 2003). DcuB is required for D-tartrate anaerobic transport (Kim, 2007).	47935.26	
EG10008	zraS	ECK3995	P14377	b4003	CG34249	g1790436	JW3967	13088	EB0008	aa	OK	465	Clockwise	4199949	4201346	90.52	hydH	Zn resistance-associated	Two component sensor kinase for ZraP; responsive to Zn(2+) and Pb(2+); autoregulated; regulation of Hyd-3 activity is probably due to crosstalk of overexpressed protein	Null	51031.80		EG10008	zraS	ECK3995	P14377	b4003	CG34249	g1790436	JW3967	13088	EB0008	aa	OK	465	Clockwise	4199949	4201346	90.52	hydH	Zn resistance-associated	Two component sensor kinase for ZraP; responsive to Zn(2+) and Pb(2+); autoregulated; regulation of Hyd-3 activity is probably due to crosstalk of overexpressed protein	Null	51031.80	
EG10052	araA	ECK0063	P08202	b0062	CG1028	g1786248	JW0061	221	EB0050	aa	OK	500	Counterclockwise	66835	68337	1.44	Null	Arabinose	L-Arabinose isomerase; first step in arabinose catabolism; converts L-arabinose to L-ribulose	Null	56073.99		EG10052	araA	ECK0063	P08202	b0062	CG1028	g1786248	JW0061	221	EB0050	aa	OK	500	Counterclockwise	66835	68337	1.44	Null	Arabinose	L-Arabinose isomerase; first step in arabinose catabolism; converts L-arabinose to L-ribulose	Null	56073.99	
EG10053	araB	ECK0064	P08204	b0063	CG1027	g1786249	JW0062	223	EB0051	aa	OK; Verified[1]	566	Counterclockwise	68348	70048	1.47	Null	Arabinose	Ribulokinase	Null	61089.42		EG10053	araB	ECK0064	P08204	b0063	CG1027	g1786249	JW0062	223	EB0051	aa	OK; Verified[1]	566	Counterclockwise	68348	70048	1.47	Null	Arabinose	Ribulokinase	Null	61089.42	
EG10055	araD	ECK0062	P08203	b0061	CG1025	g1786247	JW0060	209	EB0053	aa	OK	231	Counterclockwise	65855	66550	1.42	Null	Arabinose	L-ribulose-5-phosphate 4-epimerase	AraD is a masked class II aldolase.	25518.91		EG10055	araD	ECK0062	P08203	b0061	CG1025	g1786247	JW0060	209	EB0053	aa	OK	231	Counterclockwise	65855	66550	1.42	Null	Arabinose	L-ribulose-5-phosphate 4-epimerase	AraD is a masked class II aldolase.	25518.91	
EG10056	araE	ECK2839	P0AE24	b2841	CG1024	g1789207	JW2809	9319	EB0054	aa	OK	472	Counterclockwise	2978786	2980204	64.20	Null	Arabinose	Low-affinity L-arabinose transport; L-arabinose proton symport	Major Facilitator Superfamily (MFS).	51684.43		EG10056	araE	ECK2839	P0AE24	b2841	CG1024	g1789207	JW2809	9319	EB0054	aa	OK	472	Counterclockwise	2978786	2980204	64.20	Null	Arabinose	Low-affinity L-arabinose transport; L-arabinose proton symport	Major Facilitator Superfamily (MFS).	51684.43	
EG10060	araJ	ECK0390	P23910	b0396	CG29861	g1786595	JW0386	1378	EB0058	aa	OK	394	Counterclockwise	410521	411705	8.85	Null	Arabinose	Function unknown, arabinose inducible; not involved in arabinose uptake or utilization; possible arabinose exporter	Major Facilitator Superfamily (MFS). Ara regulon.	41926.34		EG10060	araJ	ECK0390	P23910	b0396	CG29861	g1786595	JW0386	1378	EB0058	aa	OK	394	Counterclockwise	410521	411705	8.85	Null	Arabinose	Function unknown, arabinose inducible; not involved in arabinose uptake or utilization; possible arabinose exporter	Major Facilitator Superfamily (MFS). Ara regulon.	41926.34	
EG10070	argR	ECK3226	P0A6D0	b3237	CG1011	g1789633	JW3206	10620	EB0068	aa	OK; Verified[0]	156	Clockwise	3382725	3383195	72.91	Rarg;xerA	Arginine	Repressor of Arg regulon; cer-mediated site-specific recombination in plasmid ColE1; hexameric	Null	16994.52		EG10070	argR	ECK3226	P0A6D0	b3237	CG1011	g1789633	JW3206	10620	EB0068	aa	OK; Verified[0]	156	Clockwise	3382725	3383195	72.91	Rarg;xerA	Arginine	Repressor of Arg regulon; cer-mediated site-specific recombination in plasmid ColE1; hexameric	Null	16994.52	
EG10076	aroD	ECK1691	P05194	b1693	CG1005	g1787984	JW1683	5653	EB0074	aa	OK; Verified[0]	252	Clockwise	1772710	1773468	38.21	Null	Aromatic	3-Dehydroquinate dehydratase	Null	27466.65		EG10076	aroD	ECK1691	P05194	b1693	CG1005	g1787984	JW1683	5653	EB0074	aa	OK; Verified[0]	252	Clockwise	1772710	1773468	38.21	Null	Aromatic	3-Dehydroquinate dehydratase	Null	27466.65	
EG10082	aroL	ECK0383	P0A6E1	b0388	CG999	g1786587	JW0379	1353	EB0080	aa	OK; Verified[1]	174	Clockwise	405629	406153	8.74	Null	Aromatic	Shikimate kinase II	Null	19150.83		EG10082	aroL	ECK0383	P0A6E1	b0388	CG999	g1786587	JW0379	1353	EB0080	aa	OK; Verified[1]	174	Clockwise	405629	406153	8.74	Null	Aromatic	Shikimate kinase II	Null	19150.83	
EG10083	aroM	ECK0385	P0AE28	b0390	CG18523	g1786589	JW0381	1357	EB0081	aa	OK	225	Clockwise	406652	407329	8.76	Null	Aromatic	Regulated by aroR, function unknown	Null	24916.91		EG10083	aroM	ECK0385	P0AE28	b0390	CG18523	g1786589	JW0381	1357	EB0081	aa	OK	225	Clockwise	406652	407329	8.76	Null	Aromatic	Regulated by aroR, function unknown	Null	24916.91	
EG10085	ascB	ECK2711	P24240	b2716	CG33236	g1789070	JW2686	8928	EB0083	aa	OK	474	Clockwise	2839012	2840436	61.19	sac	Arbutin, salicin, cellobiose	Cryptic phospho-beta-glucosidase; expressed when AscG is mutated	bglA, bglB and ascB are paralogs.	53934.93		EG10085	ascB	ECK2711	P24240	b2716	CG33236	g1789070	JW2686	8928	EB0083	aa	OK	474	Clockwise	2839012	2840436	61.19	sac	Arbutin, salicin, cellobiose	Cryptic phospho-beta-glucosidase; expressed when AscG is mutated	bglA, bglB and ascB are paralogs.	53934.93	
EG10086	ascF	ECK2710	P24241	b2715	CG33233	g48994906	JW5435	8926	EB0084	aa	OK	485	Clockwise	2837546	2839003	61.16	sac	Arbutin, salicin, cellobiose	PTS system EIIBC enzyme, beta-glucoside phosphotransferase; paralogous to bglF; cryptic unless AscG is mutated	Null	51025.96		EG10086	ascF	ECK2710	P24241	b2715	CG33233	g48994906	JW5435	8926	EB0084	aa	OK	485	Clockwise	2837546	2839003	61.16	sac	Arbutin, salicin, cellobiose	PTS system EIIBC enzyme, beta-glucoside phosphotransferase; paralogous to bglF; cryptic unless AscG is mutated	Null	51025.96	
