K12 Accession_Subcellular Location(this study)	Subcellular Location(this study)	Accession (UNIPROT)	K12 Accession	BL21(DE3) Accession	GOs	Description (Uniprot)	NG001	1DG010_flot	1DG011_flot (L1) wt	1DG011_IMVs (L3) wt
RS2_A	A	P0A7V0	RS2_ECOLI	C6EAB6	A	30S ribosomal protein S2	+ 	+ 	+ 	+ 
RL20_A	A	P0A7L3	RL20_ECOLI	C6ECP1	A	50S ribosomal protein L20	+ 	+ 	+ 	+ 
RPOC_A	A	P0A8T7	RPOC_ECOLI	C6EE31	A	DNA-directed RNA polymerase (EC 2.7.7.6)	+ 	+ 	+ 	+ 
RL10_A	A	P0A7J3	RL10_ECOLI	C6EE34	A	50S ribosomal protein L10	+ 	+ 	+ 	+ 
RL1_A	A	P0A7L0	RL1_ECOLI	C6EE35	A	50S ribosomal protein L1	+ 	+ 	+ 	+ 
RL11_A	A	P0A7J7	RL11_ECOLI	C6EE36	A	50S ribosomal protein L11	+ 	+ 	+ 	+ 
RHLB_A	A	P0A8J8	RHLB_ECOLI	C6EG33	A	ATP-dependent RNA helicase (DEAD/DEAH box helicase domain protein)	+ 	+ 	+ 	+ 
RS7_A	A	P02359	RS7_ECOLI	C6EGC3	A	30S ribosomal protein S7	+ 	+ 	+ 	+ 
RL2_A	A	P60422	RL2_ECOLI	C6EGE9	A	50S ribosomal protein L2	+ 	+ 	+ 	+ 
RL22_A	A	P61175	RL22_ECOLI	C6EGF1	A	50S ribosomal protein L22	+ 	+ 	+ 	+ 
RS3_A	A	P0A7V3	RS3_ECOLI	C6EGF2	A	30S ribosomal protein S3	+ 	+ 	+ 	+ 
RL14_A	A	P0ADY3	RL14_ECOLI	C6EGF6	A	50S ribosomal protein L14	+ 	+ 	+ 	+ 
RL5_A	A	P62399	RL5_ECOLI	C6EGF8	A	50S ribosomal protein L5	+ 	+ 	+ 	+ 
RS14_A	A	P0AG59	RS14_ECOLI	C6EGF9	A	30S ribosomal protein S14 (Ribosomal protein S14)	+ 	+ 	+ 	+ 
RL18_A	A	P0C018	RL18_ECOLI	C6EGG2	A	50S ribosomal protein L18	+ 	+ 	+ 	+ 
