Reference Locus	Reference Common Name	Comparison Locus	Comparison Common Name	Percent Similarity	
b0071	isopropylmalate isomerase subunit	ECBD_3545	3-isopropylmalate dehydratase, small subunit	100.0	
b0773	orf, hypothetical protein	ECBD_2850	PEBP family protein	100.0	
b0464	acrAB operon repressor	ECBD_3192	transcriptional regulator, TetR family	100.0	
b4131	lysine decarboxylase 1	ECBD_3899	Lysine decarboxylase	100.0	
b3165	30S ribosomal subunit protein S15	ECBD_0575	ribosomal protein S15	100.0	
b3384	tryptophan tRNA synthetase	ECBD_0363	tryptophanyl-tRNA synthetase	100.0	
b3791	putative regulator	ECBD_4248	TDP-4-keto-6-deoxy-D-glucose transaminase	100.0	
b3696	putative replicase EC 2.7.-	ECBD_0007	lipoprotein, putative	100.0	
b4006	phosphoribosylaminoimidazolecarboxamideformyltransferase = AICAR formyltransferase; IMP cyclohydrolase	ECBD_4026	phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	100.0	
b2956	putative alpha helix chain	ECBD_0784	protein of unknown function DUF1202	100.0	
b2573	RNA polymerase, sigma-E factor; heat shock and oxidative stress	ECBD_1108	RNA polymerase, sigma-24 subunit, ECF subfamily	100.0	
b2268	orf, hypothetical protein	ECBD_1390	ribonuclease BN	100.0	
b1952	orf, hypothetical protein	ECBD_1693	conserved hypothetical protein	100.0	
b4045	orf, hypothetical protein	ECBD_3988	CsbD family protein	100.0	
b2459	orf, hypothetical protein	ECBD_1231	Cob(I)yrinic acid a,c-diamide adenosyltransferase	100.0	
b1987	transcriptional regulator cys regulon; accessory regulatory circuit affecting cysM	ECBD_1661	transcriptional regulator, LysR family	100.0	
b3556	cold shock protein 7.4, transcriptional activator of hns	ECBD_0180	cold-shock DNA-binding domain protein	100.0	
b0107	putative integral membrane protein involved in biogenesis of fimbriae, protein transport, DNA uptake	ECBD_3512	type II secretion system protein E	100.0	
b2140	putative regulator protein	ECBD_1518	dihydrouridine synthase DuS	100.0	
b0868	putative nucleotide di-P-sugar epimerase or dehydratase	ECBD_2726	NAD-dependent epimerase/dehydratase	100.0	
b1890	proton conductor component of motor; no effect on switching	ECBD_1748	Flagellar motor component-like protein	100.0	
b3885	putative phosphatase	ECBD_4142	HAD-superfamily hydrolase, subfamily IA, variant 3	100.0	
b3077	evolved beta-D-galactosidase, beta subunit; cryptic gene	ECBD_0665	conserved hypothetical protein	100.0	
b3302	50S ribosomal subunit protein L30	ECBD_0449	ribosomal protein L30	100.0	
b1291	putative ATP-binding protein of peptide transport system	ECBD_2326	oligopeptide/dipeptide ABC transporter, ATPase subunit	100.0	
b3179	cell division protein	ECBD_0563	ribosomal RNA large subunit methyltransferase J	100.0	
b0751	required for NMN transport	ECBD_2916	nicotinamide mononucleotide transporter PnuC	100.0	
b1054	heat shock protein	ECBD_2546	lipid A biosynthesis lauroyl (or palmitoleoyl) acyltransferase	100.0	
b0318	putative transcription factor	ECBD_3339	Ankyrin	100.0	
b3965	tRNA (uracil-5-)-methyltransferase	ECBD_4059	tRNA (uracil-5-)-methyltransferase	100.0	
b3041	3,4 dihydroxy-2-butanone-4-phosphate synthase	ECBD_0698	3,4-dihydroxy-2-butanone 4-phosphate synthase	100.0	
b0906	orf, hypothetical protein	ECBD_2689	protein of unknown function DUF421	100.0	
b2793	interacts with secY	ECBD_0936	Syd family protein	100.0	
b3789	glucose-1-phosphate thymidylyltransferase	ECBD_4250	glucose-1-phosphate thymidylyltransferase	100.0	
b0422	exonuclease VII, small subunit	ECBD_3239	exodeoxyribonuclease VII, small subunit	100.0	
b3997	uroporphyrinogen decarboxylase	ECBD_4035	uroporphyrinogen decarboxylase	100.0	
b0829	putative ATP-binding component of a transport system	ECBD_2794	ABC transporter related	100.0	
b1105	orf, hypothetical protein	ECBD_2496	membrane lipoprotein lipid attachment site	100.0	
b4038	orf, hypothetical protein	ECBD_3995	conserved hypothetical protein	100.0	
b3352	putative ATP-binding component of a transport system	ECBD_0396	ABC transporter related	100.0	
b3769	acetolactate synthase II, valine insensitive, small subunit	ECBD_4270	Acetolactate synthase	100.0	
b1410	orf, hypothetical protein	ECBD_2230	conserved hypothetical protein	100.0	
b0912	integration host factor (IHF), beta subunit; site-specific recombination	ECBD_2683	integration host factor, beta subunit	100.0	
b0865	putative enzyme	ECBD_2729	putative lipoprotein	100.0	
b2870	putative carbamoyl transferase	ECBD_0867	carbamoyltransferase YgeW	100.0	
b3264	putative transcriptional regulator	ECBD_0481	transcriptional regulator, TetR family	100.0	
b0884	protein chain initiation factor IF-1	ECBD_2711	translation initiation factor IF-1	100.0	
b3012	orf, hypothetical protein	ECBD_0728	2,5-didehydrogluconate reductase	100.0	
b3373	orf, hypothetical protein	ECBD_0376	Xylose isomerase domain protein TIM barrel	100.0	
b0552	IS5 transposase	ECBD_0756	transposase IS4 family protein	100.0	
b2514	histidine tRNA synthetase	ECBD_1172	histidyl-tRNA synthetase	100.0	
b0022	IS1 protein InsA	ECBD_3078	Insertion element protein	100.0	
b0022	IS1 protein InsA	ECBD_3297	Insertion element protein	100.0	
b0022	IS1 protein InsA	ECBD_3380	Insertion element protein	100.0	
b0022	IS1 protein InsA	ECBD_1569	Insertion element protein	100.0	
b0022	IS1 protein InsA	ECBD_1442	Insertion element protein	100.0	
b0022	IS1 protein InsA	ECBD_0927	Insertion element protein	100.0	
b0022	IS1 protein InsA	ECBD_1062	Insertion element protein	100.0	
b0022	IS1 protein InsA	ECBD_3407	Insertion element protein	100.0	
b0022	IS1 protein InsA	ECBD_3690	Insertion element protein	100.0	
b0022	IS1 protein InsA	ECBD_0298	Insertion element protein	100.0	
b0022	IS1 protein InsA	ECBD_1313	Insertion element protein	100.0	
b0022	IS1 protein InsA	ECBD_3269	Insertion element protein	100.0	
b0022	IS1 protein InsA	ECBD_3683	Insertion element protein	100.0	
b0022	IS1 protein InsA	ECBD_1125	Insertion element protein	100.0	
b0022	IS1 protein InsA	ECBD_3723	Insertion element protein	100.0	
b0022	IS1 protein InsA	ECBD_3032	Insertion element protein	100.0	
