K12 Uniproti Entry name	BL21(DE3) Uniprot Entry name	Curated Subcellular Location
YEBF_ECOLI	C6EBY1_ECOBD	X
SPR_ECOLI	C6EA22_ECOBD	I
MLTD_ECOLI	C6EA79_ECOBD	I
NLPE_ECOLI	C6EA92_ECOBD	I
YEGR_ECOLI	C6EAM3_ECOBD	I
WZA_ECOLI	C6EAP5_ECOBD	I
YEAY_ECOLI	C6EC25_ECOBD	I
OSME_ECOLI	C6ECL9_ECOBD	I
NLPC_ECOLI	C6ECP9_ECOBD	I
BLC_ECOLI	C6ECX4_ECOBD	I
YJEI_ECOLI	C6ECY1_ECOBD	I
MDTP_ECOLI	C6ED44_ECOBD	I
NRFG_ECOLI	C6ED49_ECOBD	I
MLIC_ECOLI	C6EDK6_ECOBD	I
YJBF_ECOLI	C6EDZ7_ECOBD	I
YJAH_ECOLI	C6EE17_ECOBD	I
SLP_ECOLI	C6EEH9_ECOBD	I
YDDW_ECOLI	C6EEM6_ECOBD	I
LOLB_ECOLI	C6EGQ7_ECOBD	I
EMTA_ECOLI	C6EGS4_ECOBD	I
YCFM_ECOLI	C6EGY7_ECOBD	I
YCFL_ECOLI	C6EGY8_ECOBD	I
NLPI_ECOLI	C6EH62_ECOBD	I
FLGH_ECOLI	C6EHD4_ECOBD	I
YCEB_ECOLI	C6EHF0_ECOBD	I
CSGG_ECOLI	C6EHH5_ECOBD	I
YQHH_ECOLI	C6EHX9_ECOBD	I
YCAL_ECOLI	C6EI73_ECOBD	I
AMID_ECOLI	C6EIB4_ECOBD	I
MLTC_ECOLI	C6EIE7_ECOBD	I
MLTA_ECOLI	C6EJ53_ECOBD	I
YBHC_ECOLI	C6EJI8_ECOBD	I
PAL_ECOLI	C6EJJ6_ECOBD	I
YBFN_ECOLI	C6EJQ2_ECOBD	I
MLTB_ECOLI	C6EJT0_ECOBD	I
SMPA_ECOLI	C6EJX6_ECOBD	I
YFIB_ECOLI	C6EJY7_ECOBD	I
YFIL_ECOLI	C6EJZ0_ECOBD	I
YFIO_ECOLI	C6EJZ5_ECOBD	I
YFGL_ECOLI	C6EKJ7_ECOBD	I
YFEY_ECOLI	C6EKS2_ECOBD	I
YAJG_ECOLI	C6EL32_ECOBD	I
MLAA_ECOLI	C6ELA7_ECOBD	I
CUSC_ECOLI	C6EKC9_ECOBD	I
GFCB_ECOLI	C6EHM1_ECOBD	I
GFCE_ECOLI	C6EHM4_ECOBD	I
HSLJ_ECOLI	C6EEW5_ECOBD	I
LPP_ECOLI	C6ECS8_ECOBD	I
LPTE_ECOLI	C6EK52_ECOBD	I
MDTQ_ECOLI	C6EAH3_ECOBD	I
NLPB_ECOLI	C6EKN4_ECOBD	I
NLPD_ECOLI	C6EJC5_ECOBD	I
