ARNF_ECOLI	C6E9U1_ECOBD
CCMD_ECOLI	C6EA02_ECOBD
CVRA_ECOLI	C6EGS6_ECOBD
HOKD_ECOLI	C6EDS9_ECOBD
LDRD_ECOLI	C6EEE4_ECOBD
NUOM_ECOLI	C6E9S5_ECOBD
TSGA_ECOLI	C6EFL2_ECOBD
URAA_ECOLI	C6EKL4_ECOBD
YBDJ_ECOLI	C6EKC1_ECOBD
YCCB_ECOLI	C6EHM8_ECOBD
YHDT_ECOLI	C6EGK3_ECOBD
YNEM_ECOLI	C6EDV2_ECOBD
AAEB_ECOLI	C6EGM0_ECOBD
ABGT_ECOLI	C6EFP7_ECOBD
ABRB_ECOLI	C6EJM3_ECOBD
ACRB_ECOLI	C6EL02_ECOBD
ACTP_ECOLI	C6ED58_ECOBD
ADIC_ECOLI	C6ED09_ECOBD
ADRB_ECOLI	C6EC16_ECOBD
AER_ECOLI	C6EHS4_ECOBD
ALKB_ECOLI	C6E9Y7_ECOBD
ALLP_ECOLI	C6EKV5_ECOBD
ALSC_ECOLI	C6ED37_ECOBD
ALX_ECOLI	C6EHQ7_ECOBD
AMPE_ECOLI	C6EAU6_ECOBD
AMPG_ECOLI	C6EL33_ECOBD
AMTB_ECOLI	C6EL12_ECOBD
ANSP_ECOLI	C6EER0_ECOBD
APPB_ECOLI	C6EHM9_ECOBD
APPC_ECOLI	C6EHN0_ECOBD
AQPZ_ECOLI	C6EIA6_ECOBD
ARAE_ECOLI	C6EJ27_ECOBD
ARAJ_ECOLI	C6ELI8_ECOBD
ARCB_ECOLI	C6EH17_ECOBD
ARCD_ECOLI	C6EDP3_ECOBD
ARGO_ECOLI	C6EII6_ECOBD
ARNT_ECOLI	C6E9U3_ECOBD
AROP_ECOLI	C6EAU5_ECOBD
ARSB_ECOLI	C6EEI2_ECOBD
ARTM_ECOLI	C6EIC0_ECOBD
ARTQ_ECOLI	C6EIB9_ECOBD
ASMA_ECOLI	C6EAP3_ECOBD
ATKA_ECOLI	C6EJN6_ECOBD
ATOE_ECOLI	C6E9X7_ECOBD
ATP6_ECOLI	C6EG65_ECOBD
ATPF_ECOLI	C6EG67_ECOBD
ATPL_ECOLI	C6EG66_ECOBD
ATPZ_ECOLI	C6EG64_ECOBD
BAES_ECOLI	C6EAM7_ECOBD
BARA_ECOLI	C6EJ86_ECOBD
BASS_ECOLI	C6ED12_ECOBD
BCR_ECOLI	C6EA15_ECOBD
BETT_ECOLI	C6ELR7_ECOBD
BIRA_ECOLI	C6EE41_ECOBD
BRNQ_ECOLI	C6ELI3_ECOBD
BTUC_ECOLI	C6ECP6_ECOBD
