Accession (UNIPROT)	Entry Name K12	Entry Name BL21(DE3)	Category	Description	Protein Len	Unique Peptides 301	Unique Spectra 301	Total #spectra 301	Unique Peptides 303	Unique Spectra 303	Total #spectra 303	Unique Peptides 11	Unique Spectra 11	Total #spectra 11	Unique Peptides 12	Unique Spectra 12	Total #spectra 12	Unique Peptides 13	Unique Spectra 13	Total #spectra 13
P31119	AAS_ECOLI	C6EJ32_ECOBD	B	2-acyl-glycerophospho-ethanolamine acyltransferase (EC 2.3.1.40) (EC 6.2.1.20) (AMP-dependent synthetase and ligase)	719	3	3	4	4	5	10	5	5	5	5	5	5	7	7	7
P0A9Q5	ACCD_ECOLI	C6ELD7_ECOBD	A	Acetyl-CoA carboxylase subunit beta (EC 6.4.1.2) (Acetyl-CoA carboxylase, carboxyl transferase, beta subunit)	304				1	1	2									
Q46837	ACFD_ECOLI	C6EID7_ECOBD	E	Lipoprotein AcfD-like protein	1520										1	1	1	2	2	2
P0AE06	ACRA_ECOLI	C6EL01_ECOBD	E	Efflux transporter, RND family, MFP subunit (Multidrug efflux system)	397	23	34	60	24	35	77	20	24	24	17	21	21	18	21	22
P31224	ACRB_ECOLI	C6EL02_ECOBD	B	Multidrug efflux system protein (Transporter, hydrophobe/amphiphile efflux-1 (HAE1) family)	1049	31	36	79	28	35	78	29	30	36	22	23	29	29	30	40
P24177	ACRD_ECOLI	C6EKP2_ECOBD	B	Aminoglycoside/multidrug efflux system (Transporter, hydrophobe/amphiphile efflux-1 (HAE1) family)	1037	1	1	2	1	1	1									
P32705	ACTP_ECOLI	C6ED58_ECOBD	B	Cation/acetate symporter ActP (Acetate permease) (Acetate transporter ActP)	549	3	3	4	3	3	5	3	3	3	3	3	3	3	3	3
P0AE14	AMPE_ECOLI	C6EAU6_ECOBD	B	Predicted inner membrane protein (Signaling modulator of AmpD, AmpE)	284	5	5	6	4	4	8	3	4	4	2	3	3	4	5	5
P0AEC3	ARCB_ECOLI	C6EH17_ECOBD	B	Hybrid sensory histidine kinase in two-component regulatory system with ArcA (EC 2.7.3.-) (Multi-sensor hybrid histidine kinase)	778	17	19	28	17	18	28	16	16	17	15	15	15	18	19	22
P77757	ARNC_ECOLI	C6E9U6_ECOBD	B	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.7.8.n1) (Undecaprenyl-phosphate Ara4FN transferase)	322	13	18	36	13	16	34	11	12	14	8	8	9	13	14	18
P76472	ARND_ECOLI	C6E9U4_ECOBD	A	Polysaccharide deacetylase (Putative uncharacterized protein yfbH)	296	5	5	6	5	5	6	3	3	3	2	2	2	3	3	3
P76473	ARNT_ECOLI	C6E9U3_ECOBD	B	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase (EC 2.4.2.n1) (4-amino-4-deoxy-L-arabinose lipid A transferase) (Undecaprenyl phosphate-alpha-L-Ara4N transferase)	550	4	5	10	3	4	5	5	5	5	3	3	3	5	5	6
P15993	AROP_ECOLI	C6EAU5_ECOBD	B	Amino acid permease-associated region	456	1	1	1	1	1	1	2	2	2	2	2	2	1	1	1
P0AE34	ARTQ_ECOLI	C6EIB9_ECOBD	B	Arginine transporter subunit (Polar amino acid ABC transporter, inner membrane subunit)	238	1	1	2							1	1	1			
P28249	ASMA_ECOLI	C6EAP3_ECOBD	B	AsmA family protein (Predicted assembly protein)	617	13	15	24	16	18	31	9	9	9	10	10	10	14	14	29
P03960	ATKB_ECOLI	C6EJN7_ECOBD	B	Potassium-transporting ATPase B chain (EC 3.6.3.12) (ATP phosphohydrolase [potassium-transporting] B chain) (Potassium-binding and translocating subunit B) (Potassium-translocating ATPase B chain)	682	2	2	2	2	2	2							2	2	2
P0ABB8	ATMA_ECOLI	C6ECA6_ECOBD	B	Magnesium transporter (EC 3.6.3.1) (Magnesium-translocating P-type ATPase) (EC 3.6.3.2)	898	13	16	26	13	16	28	15	17	18	11	14	16	12	14	15
P0AB98	ATP6_ECOLI	C6EG65_ECOBD	B	ATP synthase subunit a (ATP synthase F0 sector subunit a) (F-ATPase subunit 6)	271	1	1	1	1	1	1	3	3	5						
P0ABB0	ATPA_ECOLI	C6EG69_ECOBD	F1	ATP synthase subunit alpha (EC 3.6.3.14) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)	513	15	15	24	16	18	27	11	11	11	7	8	10	9	10	11
P0ABB4	ATPB_ECOLI	C6EG71_ECOBD	F1	ATP synthase subunit beta (EC 3.6.3.14) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)	460	5	5	8	3	3	5	3	3	3						
P0ABA4	ATPD_ECOLI	C6EG68_ECOBD	F1	ATP synthase subunit delta (ATP synthase F(1) sector subunit delta) (F-type ATPase subunit delta)	177							2	2	2				2	3	3
P0ABA0	ATPF_ECOLI	C6EG67_ECOBD	B	ATP synthase subunit b	156	21	33	93	24	37	106	21	30	67	19	24	77	18	24	50
P0ABA6	ATPG_ECOLI	C6EG70_ECOBD	F1	ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit)	287	4	4	4	3	3	4	4	4	4	1	1	1	2	2	2
P37617	ATZN_ECOLI	C6EFA5_ECOBD	B	Heavy metal translocating P-type ATPase	732	20	21	38	24	27	43	14	17	21	15	15	16	16	18	18
P30847	BAES_ECOLI	C6EAM7_ECOBD	B	Histidine kinase (Sensory histidine kinase in two-component regulatory system with BaeR) (EC 2.7.3.-)	467	4	4	4	6	6	7	2	2	2				3	3	3
P0AEC5	BARA_ECOLI	C6EJ86_ECOBD	B	Hpt sensor hybrid histidine kinase (Hybrid sensory histidine kinase, in two-component regulatory system with UvrY) (EC 2.7.3.-)	918	2	2	4	2	2	2	2	2	2				2	2	3
P30844	BASS_ECOLI	C6ED12_ECOBD	B	Histidine kinase	366	8	8	11	7	8	10	6	6	6	4	5	5	5	5	5
P28246	BCR_ECOLI	C6EA15_ECOBD	B	Bicyclomycin/multidrug efflux system (Drug resistance transporter, Bcr/CflA subfamily)	396										2	2	2			
P37652	BCSB_ECOLI	C6EEF1_ECOBD	B	Cellulose synthase subunit B	767	14	14	22	13	13	20	5	5	5	9	9	10	11	11	11
P0ABC9	BETT_ECOLI	C6EC73_ECOBD	B	Choline/carnitine/betaine transporter	665	3	3	6	3	3	5	3	3	5	2	2	2	3	3	3
P0ABC9	BETT_ECOLI	C6ELR7_ECOBD	B	Choline transporter of high affinity (Choline/carnitine/betaine transporter)	677	2	2	3	3	3	5	2	2	2	2	2	2	2	2	2
P0A901	BLC_ECOLI	C6ECX4_ECOBD	I	Lipocalin family protein (Outer membrane lipoprotein (Lipocalin))	178	4	5	8	4	5	6	2	2	3	2	2	2	4	5	8
P33927	CCMF_ECOLI	C6EA04_ECOBD	B	Cytochrome c assembly protein (Heme lyase, CcmF subunit)	647	2	2	2	1	1	1							1	1	1
P0ABM9	CCMH_ECOLI	C6EA06_ECOBD	B	Cytochrome C biogenesis protein (Heme lyase, CcmH subunit)	350	4	4	5	4	4	5							3	3	3
P06282	CDH_ECOLI	C6EEY0_ECOBD	B	CDP-diacylglycerol pyrophosphatase (EC 3.6.1.26) (CDP-diacylglycerol phosphatidylhydrolase) (CDP-diglyceride hydrolase)	251	10	10	14	7	7	11	10	11	11	7	7	7	10	11	13
P0A6H8	CLS_ECOLI	C6EFY7_ECOBD	B	Cardiolipin synthase (CL synthase) (EC 2.7.8.-)	486	5	6	11	6	7	14	5	6	6	4	5	5	5	6	6
Q59385	COPA_ECOLI	C6EKY0_ECOBD	B	Copper transporter (EC 3.6.3.10) (Copper-translocating P-type ATPase)	834	10	11	14	12	12	17	7	7	7	9	9	9	10	10	10
P0ABI4	CORA_ECOLI	C6EFZ7_ECOBD	B	Magnesium and cobalt transport protein CorA (Magnesium/nickel/cobalt transporter)	316	6	7	15	6	7	15	9	9	11	4	5	6	4	5	6
P0CB39	CPTA_ECOLI	C6EE54_ECOBD	B	Conserved inner membrane protein (Sulfatase)	577	29	36	103	30	36	108	22	26	31	18	20	27	26	31	40
P0AE82	CPXA_ECOLI	C6EEY6_ECOBD	B	Histidine kinase (Two-component sensor protein) (EC 2.7.1.-)	457	11	11	19	13	14	23	15	16	17	11	11	11	14	15	15
P0ACJ8	CRP_ECOLI	C6EGA6_ECOBD	A	DNA-binding transcriptional dual regulator (Transcriptional regulator, Crp/Fnr family)	210				2	2	2									
