EG	GN	ECK	SP	WISC	CG	GI	JW	ASAP	EB	Type	Status	Len	Ori	LeftEnd	RightEnd	Cs	Syn	MN	Description	Comments	MW
EG10001	alr	ECK4045	P0A6B4	b4053	CG1034	g1790487	JW4013	13272	EB0001	aa	OK	359	Clockwise	4263805	4264884	91.90	Null	Alanine racemase	Alanine racemase	Null	39152.94
EG10002	modB	ECK0753	P0AF01	b0764	CG18478	g1786980	JW0747	2603	EB0002	aa	OK	229	Clockwise	795085	795774	17.14	chlJ	Molybdenum	"Molybdate uptake; chlorate resistance; membrane-spanning ABC protein"	Null	24938.82
EG10004	dfp	ECK3629	P0ABQ0	b3639	CG18430	g87082301	JW5642	11896	EB0004	aa	"ALT_INIT[-24]; Verified[1]"	406	Clockwise	3810754	3811974	82.13	coaBC	DNA synthesis FlavoProtein	"Coenzyme A biosynthesis, bifunctional enzyme; phosphopantothenoylcysteine decarboxylase (N) and phosphopantothenoylcysteine synthase (C)"	Dfp was originally identified as a flavoprotein affecting DNA synthesis and pantothenate metabolism.  The N-terminal domain catalyzes the decarboxylation of (R)-4'-phospho-N-pantothenoylcysteine to 4'-phosphopantetheine.  	43438.14
EG10005	fruB	ECK2162	P69811	b2169	CG17515	g1788494	JW2156	7180	EB0005	aa	OK	376	Counterclockwise	2260387	2261517	48.72	"fpr;fruF"	Fructose	Fructosephosphotransferase enzyme III	3/70 FruB peptide masses from MS analysis confirm this start codon and indicate that the initial Met is not removed (Maillet, 2007).	39647.83
EG10007	hisM	ECK2301	P0AEU3	b2307	CG25879	g1788645	JW2304	7613	EB0007	aa	OK	238	Counterclockwise	2422539	2423255	52.21	Null	Histidine	Histidine transport permease	Null	26869.81
EG10011	yaaA	ECK0006	P0A8I3	b0006	Null	g1786187	JW0005	18	EB0011	aa	OK	258	Counterclockwise	5683	6459	0.12	Null	Systematic nomenclature	Low abundance protein, UPF0246 family, function unknown	Null	29585.83
EG10012	cydC	ECK0877	P23886	b0886	CG17725	g1787112	JW0869	3012	EB0012	aa	OK	573	Counterclockwise	926697	928418	19.97	"mdrA;mdrH;surB;ycaB"	Cytochrome d	"Glutathione, cysteine export permease/ATP-binding protein; ABC transporter; exports glutathione and cysteine to the periplasm as required for cytochrome assembly; fused ABC subunits: N-terminal permease domain and C-terminal cytoplasmic ATP-binding domain"	"Glutathione transport is more efficient than cysteine transport (Pittmann, 2005). Exogenous glutathione or cysteine rescues the swarming motiltiy defect and benzylpenicillin hypersensitivity of cydDC mutants (Pittmann, 2002; 2005)."	62920.17
EG10013	yebA	ECK1857	P0AFS9	b1856	Null	g87081989	JW5304	6189	EB0013	aa	ALT_INIT[+21]	440	Counterclockwise	1938337	1939659	41.78	Null	Systematic nomenclature	"Predicted metalloprotease, function unknown; M37 family"	"NlpD, YgeR, YebA and EnvC have C-terminal LytM domains; mutating all four LytM domain genes produces a strain with a severe filamentous phenotype, similar to an amiABC triple mutant, of over 20 times the normal cell length and more than 70 times the normal amount of septa/cell, from 0.5 to 36 septa/cell; also similar to the amiABC mutant, the nlpD-envC-yebA-ygeR mutant has altered morphology and delayed onset of lysis after beta-lactam antipbiotic treatment (Uehara, 2009). UniProtKB prediction of 26 aa signal peptide is a probable false positive. There may be a 34 aa type I signal peptide that cannot be confirmed using SignalP."	49057.75
EG10014	acrD	ECK2465	P24177	b2470	CG35697	g1788814	JW2454	8136	EB0014	aa	OK	1037	Clockwise	2585617	2588730	55.73	yffA	Acridine	"Aminoglycoside efflux pump; RND-type transporter"	acrD mutation confers increased sensitivity to aminoglycosides.  acrD is paralogous to acrB. EvgAS regulon.	113047.34
EG10015	rodZ	ECK2512	P27434	b2516	Null	g1788864	JW2500	8283	EB0015	aa	OK	337	Counterclockwise	2639853	2640866	56.90	yfgA	Rod-shaped	"Cytoskeletal protein required for MreB assembly; required for swarming phenotype; transmembrane protein"	Null	36191.67
