Entry Name K12	Entry Name BL21(DE3)	Category	Description	Protein Length	Unique Peptides MS5_11	Unique Spectra MS5_11	Total #spectra MS5_11	Unique Peptides MS5_12	Unique Spectra MS5_12	Total #spectra MS5_12	Unique Peptides MS5_13	Unique Spectra MS5_13	Total #spectra  MS5_13	Unique Peptides MS6_11	Unique Spectra MS6_11	Total #spectra MS6_11	Unique Peptides MS6_12	Unique Spectra MS6_12	Total #spectra MS6_12	Unique Peptides MS6_13	Unique Spectra MS6_13	Total #spectra  MS6_13
RS18_ECOLI	C6ECE7_ECOBD	A	30S ribosomal protein S18	75	3	4	10	3	4	12	4	5	14	4	5	5	4	4	5	2	2	2
RS3_ECOLI	C6EGF2_ECOBD	A	30S ribosomal protein S3	233	9	12	22	10	13	24	9	12	21	12	14	18	11	12	15	13	15	19
RS2_ECOLI	C6EAB6_ECOBD	A	30S ribosomal protein S2	241	12	19	33	14	19	35	15	19	40	5	5	7	5	6	9	8	8	11
RPOC_ECOLI	C6EE31_ECOBD	A	DNA-directed RNA polymerase (EC 2.7.7.6)	1407	13	14	20	14	15	24	20	21	33	10	10	14	7	7	10	9	9	12
RL17_ECOLI	C6EGH2_ECOBD	A	50S ribosomal protein L17	127	5	5	13	4	4	20	4	5	13	3	3	5	1	1	1	3	3	3
RS13_ECOLI	C6EGG8_ECOBD	A	30S ribosomal protein S13	118	4	5	10	3	4	7	5	7	14	5	5	8	6	6	9	5	6	7
YDIJ_ECOLI	C6ECR9_ECOBD	A	FAD linked oxidase domain protein (Predicted FAD-linked oxidoreductase)	1018	3	3	3	2	2	4	4	4	5	8	8	8	8	8	9	9	9	18
RL10_ECOLI	C6EE34_ECOBD	A	50S ribosomal protein L10	165	9	10	20	9	10	22	9	10	26	4	4	6	4	4	4	4	4	7
RL1_ECOLI	C6EE35_ECOBD	A	50S ribosomal protein L1	234	7	8	16	8	10	21	9	10	23	3	3	3	3	3	4	3	3	5
ARND_ECOLI	C6E9U4_ECOBD	A	Polysaccharide deacetylase (Putative uncharacterized protein yfbH)	296	2	2	2	2	2	2	3	3	3	3	3	4	3	3	3	4	4	5
GATZ_ECOLI	C6EAL5_ECOBD	A	D-tagatose-bisphosphate aldolase, class II, non-catalytic subunit (Putative tagatose 6-phosphate kinase 1)	420	3	3	10	3	3	7	3	3	6	2	2	3	1	1	2	2	2	4
RS4_ECOLI	C6EGH0_ECOBD	A	30S ribosomal protein S4	206	5	6	8	4	5	8	6	7	9	2	2	2	2	2	2	2	2	3
LACI_ECOLI	C6EJI7_ECOBD	A	Transcriptional regulator, LacI family	363	11	13	31	10	11	22	12	14	41	10	11	13	6	6	7	7	7	8
HEMG_ECOLI	C6EF48_ECOBD	A	Protoporphyrin oxidase, flavoprotein (EC 1.3.3.4) (Protoporphyrinogen oxidase) (EC 1.3.3.4)	181	2	2	2	2	2	2	3	3	3				1	1	1	2	2	2
RL20_ECOLI	C6ECP1_ECOBD	A	50S ribosomal protein L20	118	2	2	2	2	2	2	1	1	1	4	4	5	4	4	5	4	4	5
ACCD_ECOLI	C6ELD7_ECOBD	A	Acetyl-CoA carboxylase subunit beta (EC 6.4.1.2) (Acetyl-CoA carboxylase, carboxyl transferase, beta subunit)	304	3	4	4	4	5	5	5	8	12	1	1	1	1	1	2	1	1	2
RS9_ECOLI	C6EH02_ECOBD	A	30S ribosomal protein S9	130	3	3	3	3	3	4	3	3	4				2	2	2	1	1	1
RL11_ECOLI	C6EE36_ECOBD	A	50S ribosomal protein L11	142	2	2	9	2	2	9	2	2	10	1	1	1	1	1	1	1	1	1
RL15_ECOLI	C6EGG5_ECOBD	A	50S ribosomal protein L15	144	8	9	18	8	9	21	8	9	18	4	4	5	5	5	7	4	4	5
RL2_ECOLI	C6EGE9_ECOBD	A	50S ribosomal protein L2	273	8	12	28	9	12	33	9	12	30	5	6	7	4	5	6	4	5	6
RL18_ECOLI	C6EGG2_ECOBD	A	50S ribosomal protein L18	117	3	4	4	2	3	3	4	5	9				1	1	1	1	1	1
RS12_ECOLI	C6EGC2_ECOBD	A	30S ribosomal protein S12	124	4	4	6	4	4	6	3	3	4	2	2	2	2	2	2	2	2	2
RL5_ECOLI	C6EGF8_ECOBD	A	50S ribosomal protein L5	179	7	10	15	6	8	14	6	7	14	2	3	6	2	2	4	2	3	5
RS14_ECOLI	C6EGF9_ECOBD	A	30S ribosomal protein S14 (Ribosomal protein S14)	101	1	2	4	1	2	4	1	1	3	3	4	5	3	3	4	2	2	3
MUKB_ECOLI	C6EI58_ECOBD	A	Chromosome partition protein mukB (Structural maintenance of chromosome-related protein)	1486	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2
RS21_ECOLI	C6EHT0_ECOBD	A	30S ribosomal protein S21	71	4	4	4	3	4	5	4	5	6	1	1	1	1	1	1	1	1	1
FADI_ECOLI	C6ELB2_ECOBD	A	3-ketoacyl-CoA thiolase (EC 2.3.1.16) (ACSs) (Acetyl-CoA acyltransferase) (Acyl-CoA ligase) (Beta-ketothiolase) (Fatty acid oxidation complex subunit beta)	436	1	1	2	2	2	6	2	2	3				1	1	1	1	1	1
FADJ_ECOLI	C6ELB3_ECOBD	A	Fatty acid oxidation complex subunit alpha	714	1	2	2	1	2	4	1	2	3							2	2	2
RL14_ECOLI	C6EGF6_ECOBD	A	50S ribosomal protein L14	123	3	3	10	3	4	19	3	4	10							1	1	1
CISY_ECOLI	C6EJL8_ECOBD	A	Citrate synthase (EC 2.3.3.1)	427	4	5	8	5	7	10	4	5	8							1	1	1
WECG_ECOLI	C6EG17_ECOBD	A	Glycosyl transferase, WecB/TagA/CpsF family (EC 2.4.1.187) (Putative UDP-N-acetyl-D-mannosaminuronic acid transferase) (EC 2.4.1.-)	246										4	4	4	2	2	2	4	4	5
RHSB_ECOLI	C6EF92_ECOBD	A	RhsB element core protein RshB (YD repeat protein)	1411													1	1	2	1	1	1
YGIB_ECOLI	C6EHV7_ECOBD	A	UPF0441 protein ygiB	223										2	2	3	1	1	1	3	3	4
YBBO_ECOLI	C6EKX1_ECOBD	A	Short-chain dehydrogenase/reductase SDR	256										3	3	5	3	3	4	3	3	4
PLSX_ECOLI	C6EHC4_ECOBD	A	Fatty acid/phospholipid synthesis protein PlsX	346										1	1	1	1	1	1	1	1	2
HEMH_ECOLI	C6EKY9_ECOBD	A	Ferrochelatase (EC 4.99.1.1) (Heme synthase) (Protoheme ferro-lyase)	320																1	1	1
GPMA_ECOLI	C6EJI9_ECOBD	A	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (BPG-dependent PGAM) (PGAM) (Phosphoglyceromutase) (dPGM) (EC 5.4.2.1)	250				1	1	1	2	2	2									
ACCC_ECOLI	C6EGK4_ECOBD	A	Acetyl-CoA carboxylase (EC 6.3.4.14) (Acetyl-CoA carboxylase, biotin carboxylase)	449	3	3	4	2	2	5	3	3	5									
RS1_ECOLI	C6EI71_ECOBD	A	30S ribosomal protein S1 (Ribosomal protein S1)	557	15	17	39	17	20	42	22	28	69									
TPIS_ECOLI	C6EEX9_ECOBD	A	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Triose-phosphate isomerase)	255	1	1	1	1	1	2	3	4	5									
ODO1_ECOLI	C6EJL2_ECOBD	A	2-oxoglutarate dehydrogenase, E1 subunit (EC 1.2.4.2) (Alpha-ketoglutarate decarboxylase) (EC 1.2.4.2)	933	6	6	9	6	6	9	8	8	10									
SRMB_ECOLI	C6EK10_ECOBD	A	ATP-dependent RNA helicase (EC 2.7.7.-) (DEAD/DEAH box helicase domain protein)	444	4	4	6	4	4	6	4	4	6									
RHLB_ECOLI	C6EG33_ECOBD	A	ATP-dependent RNA helicase (DEAD/DEAH box helicase domain protein)	421	5	5	6	6	6	6	10	10	14									
RLUF_ECOLI	C6EE02_ECOBD	A	Pseudouridine synthase (EC 5.4.99.-)	290				1	1	2	1	1	2									
RL24_ECOLI	C6EGF7_ECOBD	A	50S ribosomal protein L24	104	11	15	22	9	11	19	11	16	26									
RHO_ECOLI	C6EG30_ECOBD	A	Transcription termination factor Rho	419	13	18	30	15	18	31	15	19	35									
GNSA_ECOLI	C6EHL6_ECOBD	A	GnsAGnsB family protein (Predicted regulator of phosphatidylethanolamine synthesis)	57	3	4	6	3	4	6	4	4	6									
IF2_ECOLI	C6EH57_ECOBD	A	Translation initiation factor IF-2	890	9	9	14	13	14	31	12	13	22									
NDK_ECOLI	C6EKJ1_ECOBD	A	Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase)	143	1	1	2	2	2	2	2	2	3									
RPOA_ECOLI	C6EGH1_ECOBD	A	DNA-directed RNA polymerase subunit alpha (EC 2.7.7.6) (DNA-directed RNA polymerase, alpha subunit)	329	4	5	6	5	6	6	7	8	9									
SUCD_ECOLI	C6EJK9_ECOBD	A	Succinyl-CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5)	289	2	2	3	2	2	4	2	2	3									
KAD_ECOLI	C6EKZ0_ECOBD	A	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase)	214	1	1	1	1	1	1	2	2	2									
RL9_ECOLI	C6ECE6_ECOBD	A	50S ribosomal protein L9	149	9	13	30	10	14	31	10	14	32									
CH60_ECOLI	C6ECY2_ECOBD	A	60 kDa chaperonin (Protein Cpn60) (groEL protein)	548	26	34	70	27	39	75	29	37	77									
DBHA_ECOLI	C6EE18_ECOBD	A	HU, DNA-binding transcriptional regulator, alpha subunit (Histone family protein DNA-binding protein)	90	8	9	16	7	9	19	9	12	25									
RPOB_ECOLI	C6EE32_ECOBD	A	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)	1342	10	10	15	10	10	15	13	13	21									
PPSA_ECOLI	C6ECQ5_ECOBD	A	Phosphoenolpyruvate synthase (EC 2.7.9.2)	792	1	1	2	2	2	5	3	3	4									
GLGA_ECOLI	C6EFE5_ECOBD	A	Glycogen synthase (EC 2.4.1.21) (Starch [bacterial glycogen] synthase)	477	3	4	8	3	5	11	4	5	12									
AAT_ECOLI	C6EI54_ECOBD	A	Aspartate aminotransferase, PLP-dependent (EC 2.6.1.1) (Aspartate transaminase) (EC 2.6.1.1)	396	3	3	3	5	5	5	5	5	5									
DEF_ECOLI	C6EGI0_ECOBD	A	Peptide deformylase (PDF) (EC 3.5.1.88) (Polypeptide deformylase)	169	2	2	3	2	2	4	3	3	4									
TIG_ECOLI	C6EL29_ECOBD	A	Trigger factor (TF)	432	21	23	42	20	22	47	24	26	49									
RL7_ECOLI	C6EE33_ECOBD	A	50S ribosomal protein L7/L12	121	11	14	39	13	16	44	13	17	44									
PFLB_ECOLI	C6EK07_ECOBD	A	Autonomous glycyl radical cofactor	127	2	2	2				1	1	1									
RS17_ECOLI	C6EGF5_ECOBD	A	30S ribosomal protein S17	84	4	6	10	4	6	10	4	6	9									
RL21_ECOLI	C6EH41_ECOBD	A	50S ribosomal protein L21	103	4	4	5	3	3	8	4	4	5									
RS15_ECOLI	C6EH60_ECOBD	A	30S ribosomal protein S15	89	1	1	1	1	1	1	2	2	2									
RL28_ECOLI	C6EDF4_ECOBD	A	50S ribosomal protein L28	78				1	1	4	2	2	5									
PFLB_ECOLI	C6EI79_ECOBD	A	Formate acetyltransferase (EC 2.3.1.54) (Pyruvate formate lyase I) (EC 2.3.1.54)	760	4	5	7	3	4	5	3	4	5									
ISCS_ECOLI	C6EKH7_ECOBD	A	Cysteine desulfurase (EC 2.8.1.7)	404	2	2	2	1	1	1	2	2	2									
HSLU_ECOLI	C6EE78_ECOBD	A	ATP-dependent protease ATPase subunit HslU (Heat shock protein HslU) (Unfoldase HslU)	443	4	4	7	6	6	9	6	6	9									
RL6_ECOLI	C6EGG1_ECOBD	A	50S ribosomal protein L6	177	6	7	16	7	8	18	7	8	20									
OPDA_ECOLI	C6EEI7_ECOBD	A	Oligopeptidase A (EC 3.4.24.70)	680				2	2	4	1	1	1									
