P0A7G6	(DNA+metabolic+process::cell+motility)
P21177	(lipid+metabolic+process)
P33362	(transport)
P27127	(biosynthetic+process)
P33361	(transport)
P33360	(transport)
P07822	(transport)
P34749	(transport)
P77499	(transport)
P07639	(biosynthetic+process)
P52647	(transport)
P76216	(response+to+stress)
P76217	(response+to+stress)
P0AGB3	(response+to+stress)
P76214	(response+to+stress)
P0AGB6	(response+to+stress)
P76215	(response+to+stress)
P14900	(biosynthetic+process::cell+cycle::cell+division)
P33341	(transport)
P33342	(protein+folding)
P33343	(cell+adhesion)
P0ADY1	(protein+folding::response+to+stress)
P0ACA3	(response+to+stress)
P0ADY3	(translation)
P13656	(carbohydrate+metabolic+process)
P0A7I0	(translation)
P32099	(protein+modification+process)
P27836	(biosynthetic+process)
P0A996	(transport)
P66817	(carbohydrate+metabolic+process)
P07117	(transmembrane+transport)
P76108	(transport)
P37329	(transport)
P07118	(translation)
P0ADY7	(translation)
P60624	(translation)
P0ADZ4	(translation)
P0ADZ0	(translation)
P07018	(signal+transduction)
P68644	(transport)
Q46905	(transport)
P0AEZ3	(cell+cycle::cell+division)
P07012	(translation)
P0A6F3	(carbohydrate+metabolic+process)
P31224	(transport)
P07017	(signal+transduction)
P07014	(transport)
P0A6F5	(cell+cycle::cell+division::protein+folding)
P0A6F9	(cell+cycle::cell+division::protein+folding)
P0ACC7	(cell+morphogenesis)
P0A7J0__1	(response+to+stress)
P07813	(translation)
P0ACC3	(protein+maturation)
P0A7J0__2	(response+to+stress)
P0C0L2	(response+to+stress)
P33226	(transport)
P76398	(transport)
P0A7K6	(translation)
P33594	(transport)
P76128	(transport)
P33595	(transport)
P04391	(cellular+amino+acid+metabolic+process)
P14376	(signal+transduction)
P77398	(biosynthetic+process)
P77399	(lipid+metabolic+process)
P33599	(transport)
P76399	(transport)
P37773__1	(biosynthetic+process::cell+cycle::cell+division)
P37773__2	(biosynthetic+process::cell+cycle::cell+division)
P77257	(transport)
P0A6H1	(protein+folding::response+to+stress)
P0AFA5	(transport)
P0AFA2	(signal+transduction)
P0A7L3	(translation)
P0A7L8	(translation)
P60906	(translation)
P28629	(cellular+amino+acid+metabolic+process)
P77245	(carbohydrate+metabolic+process)
P77249	(protein+folding)
P76115	(transport)
P0AFB5	(signal+transduction)
P0A7M2	(translation)
P0AFB1	(cell+cycle::cell+division)
P38097	(signal+transduction)
P00887	(biosynthetic+process)
P0A7M6	(translation)
P18196	(cell+cycle)
P33593	(transport)
P00954	(translation)
P28635	(transport)
P00956	(translation)
P00957	(translation)
P0A7I4	(translation)
Q06067	(signal+transduction)
P27254	(transport)
P77279	(transport)
Q46802	(signal+transduction)
P77277	(cell+cycle)
P40719	(signal+transduction)
P60723	(translation)
P0A7J3	(ribosome+biogenesis::translation)
P0A7J7	(translation)
P30844	(signal+transduction)
P00960	(translation)
P77268	(transport)
P77269	(transport)
P30847	(signal+transduction)
P76134	(protein+maturation)
P00961	(translation)
P0A6K3	(translation)
P52697	(carbohydrate+metabolic+process)
P0A7K2	(translation)
P19319	(transport)
P19318	(transport)
P21517	(carbohydrate+metabolic+process)
P33363	(carbohydrate+metabolic+process)
P02942	(signal+transduction)
P02943	(transport)
P68191	(translation)
P0AAT4	(transmembrane+transport)
P03024	(carbohydrate+metabolic+process)
P0ABY4	(transport)
P56256	(transport)
P39305	(carbohydrate+metabolic+process)
P31448	(transmembrane+transport::transport)
P30859	(transport)
P39304	(carbohydrate+metabolic+process)
P0AGI8	(transport)
P30855	(signal+transduction)
P0C0S1	(transmembrane+transport::transport)
Q46829	(carbohydrate+metabolic+process)
P0A9R7	(cell+cycle::cell+division)
P31441	(biosynthetic+process)
P31548	(transport)
P0A9R4	(transport)
P11557	(cell+cycle)
P32675	(carbohydrate+metabolic+process)
P0AFF6	(response+to+stress)
P06709	(protein+modification+process)
P0AEB0	(transport)
P06610	(transport)
P11454	(biosynthetic+process::transport)
P28861	(transport)
P05041	(biosynthetic+process)
P77400	(transmembrane+transport::transport)
P0C0R7	(response+to+stress)
P0AEB2	(cell+division)
P16700	(transport)
P0AA04	(transport)
P39407	(lipid+metabolic+process)
P0AA10	(translation)
P0AGJ9	(translation)
P69434	(transport)
P33021	(transport)
P30860	(transport)
P0A9S7	(transport)
P76299	(transport)
Q46839	(transport)
P33129	(response+to+stress::transport)
P77439	(transport)
P0AEC8	(signal+transduction)
P02921	(transport)
P02924	(transport)
P50466	(signal+transduction)
P77536	(transport)
P33934	(transport)
P0AEC5	(signal+transduction)
P33128	(protein+folding::response+to+stress)
P02925	(transport)
P77434	(biosynthetic+process)
P77432	(carbohydrate+metabolic+process)
P33937	(transport)
P76472	(carbohydrate+metabolic+process)
P62399	(translation)
P77338	(transmembrane+transport::transport)
P76186	(transport)
P0C0U4	(protein+modification+process::translation)
P0AGK8	(response+to+stress)
P0CE47__2	(translation)
P0CE47__1	(translation)
P0A910	(transport)
P0C018	(translation)
P76584	(carbohydrate+metabolic+process)
P14377	(signal+transduction)
P61949	(transport)
P50456	(carbohydrate+metabolic+process)
P33136	(carbohydrate+metabolic+process)
P33135	(protein+targeting)
P0AA25	(transport)
P0AED0	(response+to+stress)
Q46851	(transmembrane+transport)
P03813	(cellular+amino+acid+metabolic+process)
P31574	(transport)
P0A9U3	(transport)
