Accession	Organism	Entry name	Subcellular locations	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Protein family	EC numbers	PubMed ID	Gene Ontology ID	Keywords	Length	Protein names	Mapped PubMed ID	Gene location
P18032	Escherichia coli (strain K12)	ARTA_ECOLI		artA				2536655; 7915817; 		Complete proteome; Plasmid	104	Protein ArtA		Plasmid F
P62552	Escherichia coli (strain K12)	CCDA_ECOLI		ccdA	H letA			6327993; 		3D-structure; Complete proteome; Plasmid	72	Protein CcdA (LynA) (Protein H) (Protein LetA)	19647513	Plasmid F
P62554	Escherichia coli (strain K12)	CCDB_ECOLI		ccdB	G letB			6327993; 9917404	GO:0008657; GO:0006276	3D-structure; Complete proteome; Plasmid	101	Cytotoxic protein CcdB (LynB) (Protein G) (Protein LetB)	15854646; 19647513	Plasmid F
P13959	Escherichia coli (strain K12)	COPB1_ECOLI		repA2	copB			3032897; 	GO:0003677; GO:0006276; GO:0045449; GO:0006350	Complete proteome; DNA-binding; Plasmid; Plasmid copy control; Repressor; Transcription; Transcription regulation	85	Replication regulatory protein repA2 (Protein CopB)		Plasmid F; Plasmid IncFI P307
P22707	Escherichia coli (strain K12)	FINO_ECOLI		finO		FinO family		2164585; 1916281; 7915817; 8807284	GO:0003723; GO:0000746; GO:0045449; GO:0006350	Complete proteome; Conjugation; Plasmid; RNA-binding; Repressor; Transcription; Transcription regulation	186	Fertility inhibition protein (Conjugal transfer repressor)		Plasmid F
P62670	Escherichia coli (strain K12)	FLMA_ECOLI	Membrane; Single-pass membrane protein. 	flmA	parB stm	Hok/gef family		3070354; 3049248; 	GO:0016021	Complete proteome; Membrane; Plasmid; Transmembrane; Transmembrane helix	52	Stable plasmid inheritance protein (F leading maintenance protein)		Plasmid F
P11519	Escherichia coli (strain K12)	FLMC1_ECOLI		flmC				3049248; 		Complete proteome; Plasmid	70	Protein flmC (F-plasmid maintenance protein C)		Plasmid F
P0CF46	Escherichia coli (strain K12)	INSC7_ECOLI		insC7	ybiA yuaJ	Transposase 8 family			GO:0003677; GO:0004803; GO:0006313	Complete proteome; DNA recombination; DNA-binding; Plasmid; Transposable element; Transposition	121	Transposase insC for insertion element IS2 on F plasmid		Plasmid F
P0CF59	Escherichia coli (strain K12)	INSD7_ECOLI		insD7	ybhB yuaI				GO:0003677; GO:0015074; GO:0006310; GO:0032196	Complete proteome; DNA recombination; DNA-binding; Plasmid; Transposable element; Transposition	301	Transposase insD for insertion element IS2 on F plasmid		Plasmid F
P0CF71	Escherichia coli (strain K12)	INSE6_ECOLI		insE6	yaaA	Transposase 8 family			GO:0003677; GO:0004803; GO:0006313	Complete proteome; DNA recombination; DNA-binding; Plasmid; Transposable element; Transposition	99	Transposase insE for insertion sequence IS3fA		Plasmid F
P0CF72	Escherichia coli (strain K12)	INSE7_ECOLI		insE7	ybfA	Transposase 8 family			GO:0003677; GO:0004803; GO:0006313	Complete proteome; DNA recombination; DNA-binding; Plasmid; Transposable element; Transposition	99	Transposase insE for insertion sequence IS3fB		Plasmid F
P0CF84	Escherichia coli (strain K12)	INSF6_ECOLI		insF6	yaaB	Transposase IS3/IS150/IS904 family			GO:0003677; GO:0015074; GO:0006310; GO:0032196	Complete proteome; DNA recombination; DNA-binding; Plasmid; Transposable element; Transposition	288	Transposase insF for insertion sequence IS3fA		Plasmid F
Q9JMT3	Escherichia coli (strain K12)	INSF7_ECOLI		insF7	ybfB	Transposase IS3/IS150/IS904 family			GO:0003677; GO:0015074; GO:0006310; GO:0032196	Complete proteome; DNA recombination; DNA-binding; Plasmid; Transposable element; Transposition	288	Transposase insF for insertion sequence IS3fB		Plasmid F
P56979	Escherichia coli (strain K12)	INTM_ECOLI		intM	int	'phage' integrase family			GO:0003677; GO:0015074; GO:0006310; GO:0045449; GO:0006350	Complete proteome; DNA integration; DNA recombination; Plasmid; Repressor; Transcription; Transcription regulation	246	Probable site-specific recombinase		Plasmid F
