ID	Thoretical	Experimental
P00350	32	36
P00363	39	67
P00393	30	61
P00448	12	14
P00452	51	42
P00490	60	41
P00509	28	37
P00550	34	78
P00561	52	8
P00562	51	33
P00579	35	59
P00582	57	65
P00634	29	13
P00722	61	17
P00803	21	38
P00864	62	35
P00887	24	2
P00888	20	5
P00892	22	8
P00894	14	5
P00903	10	5
P00909	29	2
P00934	27	17
P00935	22	2
P00936	50	5
P00946	21	2
P00954	22	15
P00956	59	57
P00957	63	136
P00959	43	26
P00960	15	4
P00961	48	69
P00962	41	22
P00963	24	4
P00968	71	111
P02358	9	27
P02359	15	43
P02413	10	27
P02918	55	73
P02919	55	114
P02924	26	6
P02925	18	3
P02930	29	68
P02931	20	51
P02942	37	9
P03004	36	40
P03007	14	14
P03018	50	7
P03023	20	64
P03024	21	7
P03030	17	5
P03819	36	2
P03837	21	
P03842	14	2
P03960	37	8
P04036	19	3
P04079	33	32
P04152	28	4
P04335	33	13
P04425	20	9
P04693	24	12
P04805	32	14
P04825	57	17
P04846	16	16
P04949	30	5
P04968	34	15
P04983	37	2
P04993	42	24
P04994	36	2
P04995	30	3
P05020	19	2
P05041	25	
P05042	28	2
P05055	42	65
P05194	18	2
P05458	59	55
P05791	40	30
P05793	35	21
P05824	36	5
P05825	38	55
P05827	16	4
P05852	19	4
P06129	38	26
P06136	17	9
P06149	45	70
P06282	19	31
P06610	12	3
P06611	17	10
P06612	60	34
P06615	16	2
P06616	19	17
P06627	10	1
P06709	19	7
P06710	49	31
P06715	25	3
P06720	27	4
P06722	13	3
P06846	21	9
P06959	39	82
P06971	53	99
P06983	20	9
P06986	24	10
P06987	22	7
P06988	23	18
P06989	11	3
P06992	16	8
P06999	17	11
P07000	25	5
P07001	27	80
P07003	32	16
P07004	26	4
P07012	24	12
P07014	20	35
P07017	35	10
P07018	29	11
P07023	27	15
P07024	33	46
P07026	16	3
P07102	24	2
P07109	14	22
P07117	18	5
P07118	66	65
P07363	39	
P07395	49	45
P07604	32	21
P07639	21	10
P07648	68	5
P07650	30	59
P07813	53	39
P07821	18	16
P07822	15	5
P07862	20	6
P07913	18	6
P08142	29	15
P08178	16	4
P08179	14	4
P08192	23	11
P08200	30	69
P08244	16	7
P08312	23	15
P08331	42	37
P08369	20	
P08371	12	3
P08390	16	12
P08394	78	7
P08395	36	60
P08400	30	5
P08506	27	46
P08622	19	52
P08660	26	2
P08839	35	50
P08956	86	49
P08957	38	13
P08997	35	4
P09030	20	4
P09053	24	10
P09126	14	7
P09127	27	85
P09130	48	7
P09151	35	4
P09152	76	50
P09153	12	2
P09155	22	1
P09323	27	41
P09372	12	6
P09373	53	63
P09377	13	3
P09391	12	5
P09394	23	5
P09424	23	2
P09546	76	45
P09549	11	14
P09551	17	18
P09831	96	12
P09832	32	6
P09835	26	4
P09980	48	13
P0A698	59	32
P0A6A0	35	61
P0A6A3	22	2
P0A6A8	4	3
P0A6B7	26	45
P0A6C1	18	9
P0A6C5	27	11
P0A6C8	15	10
P0A6D0	7	2
P0A6D3	25	5
P0A6D7	11	11
P0A6E1	10	3
P0A6E4	33	13
P0A6E6	7	16
P0A6F1	18	8
P0A6F3	32	26
P0A6F5	34	124
P0A6F9	7	13
P0A6G5	12	2
P0A6G7	9	4
P0A6H1	27	49
P0A6H5	30	59
P0A6H8	27	35
P0A6I0	14	6
P0A6I6	9	2
P0A6J1	10	3
P0A6J3	9	7
P0A6J5	27	39
P0A6J8	20	4
P0A6K1	14	2
P0A6K3	8	12
P0A6K6	25	32
P0A6L0	22	52
P0A6L2	17	8
P0A6L9	13	3
P0A6M2	9	2
P0A6M8	43	91
P0A6N1	27	85
P0A6N4	10	10
P0A6N8	11	8
P0A6P1	20	33
P0A6P5	33	44
P0A6P7	11	27
P0A6P9	25	55
P0A6Q3	11	7
P0A6Q6	8	25
P0A6R0	17	11
P0A6R3	4	2
P0A6S3	20	5
P0A6S7	20	10
P0A6T1	34	13
P0A6T5	15	11
P0A6T9	5	4
P0A6U3	40	7
P0A6U5	15	14
P0A6U8	22	8
P0A6W0	19	7
P0A6W3	15	6
P0A6W5	13	5
P0A6W9	30	1
P0A6X1	29	37
P0A6X7	8	5
P0A6Y1	7	3
P0A6Y5	15	5
P0A6Y8	40	103
