Locus	Gene Symbol	Common Name	EC Number	5' End	3' End	DNA molecule	
ECK0001:JW4367:b0001	thrL	thr operon leader peptide	 	190	255	Chromosome Escherichia coli W3110	
ECK0012:JW5001:b0012	htgA	hypothetical protein	 	10830	11315	Chromosome Escherichia coli W3110	
ECK0039:JW0037:b0038	caiB	crotonobetainyl CoA:carnitine CoA transferase	 	39115	37898	Chromosome Escherichia coli W3110	
ECK0057:JW0055:b0056	yabP	hypothetical protein	 	58474	59124	Chromosome Escherichia coli W3110	
ECK0058:JW0056:b0057	yabQ	hypothetical protein	 	59121	59279	Chromosome Escherichia coli W3110	
ECK0149:JW0146:b0150	fhuA	ferrichrome outer membrane transporter	 	167484	169727	Chromosome Escherichia coli W3110	
ECK0218:JW0207:b0218	yafU	predicted inner membrane protein	 	239084	238746	Chromosome Escherichia coli W3110	
ECK0230:JW5811:b0229	 	flagellar system protein, promoterless fragment	 	250070	248358	Chromosome Escherichia coli W3110	
ECK0231:JW5812:b0230	 	flagellar system protein, promoterless fragment	 	250072	250827	Chromosome Escherichia coli W3110	
ECK0247:JW0235:b0246	yafW	antitoxin of the YkfI-YafW toxin-antitoxin system	 	263231	262914	Chromosome Escherichia coli W3110	
ECK0248:JW5956:b4504	ykfH	hypothetical protein	 	263471	263250	Chromosome Escherichia coli W3110	
ECK0250:JW5022:b0248	yafX	hypothetical protein	 	264430	263972	Chromosome Escherichia coli W3110	
ECK0251:JW5023:b0249	ykfF	hypothetical protein	 	264767	264528	Chromosome Escherichia coli W3110	
ECK0252:JW0239:b0250	ykfB	hypothetical protein	 	265311	264844	Chromosome Escherichia coli W3110	
ECK0253:JW0240:b0251	yafY	predicted DNA-binding transcriptional regulator	 	266191	265334	Chromosome Escherichia coli W3110	
ECK0254:JW0242:b0252	yafZ	conserved hypothetical protein	 	267229	266408	Chromosome Escherichia coli W3110	
ECK0255:JW0243:b0253	ykfA	predicted GTP-binding protein	 	268184	267321	Chromosome Escherichia coli W3110	
ECK0260:JW5813:b0258	ykfC	conserved hypothetical protein	 	272071	273216	Chromosome Escherichia coli W3110	
ECK0267:JW0259:b0266	yagB	conserved hypothetical protein	 	279959	279609	Chromosome Escherichia coli W3110	
ECK0268:JW0260:b0267	yagA	predicted DNA-binding transcriptional regulator	 	281207	280053	Chromosome Escherichia coli W3110	
ECK0270:JW0262:b0269	yagF	predicted dehydratase	 	282425	284392	Chromosome Escherichia coli W3110	
ECK0272:JW0264:b0271	yagH	predicted xylosidase/arabinosidase	 	286013	287623	Chromosome Escherichia coli W3110	
ECK0275:JW0270:b0276	yagJ	hypothetical protein	 	290724	291455	Chromosome Escherichia coli W3110	
ECK0276:JW0271:b0277	yagK	conserved hypothetical protein	 	292172	291546	Chromosome Escherichia coli W3110	
ECK0277:JW0272:b0278	yagL	DNA-binding protein	 	293142	292444	Chromosome Escherichia coli W3110	
ECK0278:JW0273:b0279	yagM	hypothetical protein	 	294023	293169	Chromosome Escherichia coli W3110	
ECK0279:JW0274:b0280	yagN	hypothetical protein	 	294803	294363	Chromosome Escherichia coli W3110	
ECK0356:JW0350:b0359	 	predicted acyl transferase	 	380283	380068	Chromosome Escherichia coli W3110	
ECK0357:JW0351:b0360	insC	IS2 insertion element repressor InsA	 	380530	380940	Chromosome Escherichia coli W3110	
ECK0358:JW0352:b0361	insD	IS2 insertion element transposase InsAB	 	380898	381803	Chromosome Escherichia coli W3110	
ECK0361:JW0356:b0364	yaiS	conserved hypothetical protein	 	383840	383283	Chromosome Escherichia coli W3110	
ECK0367:JW5049:b0370	ykiB	hypothetical protein	 	389339	389121	Chromosome Escherichia coli W3110	
ECK0503:JW0498:b0510	ybbV	hypothetical protein	 	536720	536998	Chromosome Escherichia coli W3110	
ECK0532:JW0527:b450	 	DLP12 prophage region predicted replication protein fragment	 	565674	565910	Chromosome Escherichia coli W3110	
ECK0544:JW5078:b0553	 	DLP12 prophage region truncated outer membrane porin	 	576108	574981	Chromosome Escherichia coli W3110	
ECK0548:JW5080:b4510	rzoD	predicted lipoprotein	 	577550	577732	Chromosome Escherichia coli W3110	
ECK0553:JW5815:b056	 	DLP12 prophage region predicted tail fiber assembly protein	 	580757	581320	Chromosome Escherichia coli W3110	
ECK0554:JW0551:b0562DLP12	ybcY	predicted SAM-dependent methyltransferase	 	581959	581375	Chromosome Escherichia coli W3110	
ECK0555	ylcE	hypothetical protein	 	582098	582283	Chromosome Escherichia coli W3110	
ECK0557:JW0554:b0565	ompT	outer membrane protease VII	 	584856	583903	Chromosome Escherichia coli W3110	
ECK0559:JW0556:b0567	ybcH	hypothetical protein	 	587204	586314	Chromosome Escherichia coli W3110	
ECK0560:JW0557:b0568	nfrA	bacteriophage N4 receptor, outer membrane subunit	 	590177	587205	Chromosome Escherichia coli W3110	
ECK0561:JW0558:b0569	nfrB	bacteriophage N4 receptor, inner membrane subunit	 	592401	590164	Chromosome Escherichia coli W3110	
ECK0596:JW0595:b0602	ybdN	conserved hypothetical protein	 	635792	634572	Chromosome Escherichia coli W3110	
ECK0639:JW0641:b0646	djlB	predicted chaperone	 	677837	679264	Chromosome Escherichia coli W3110	
ECK0642:JW0644:b0649	djlC	Hsc56 co-chaperone of HscC	 	680634	682085	Chromosome Escherichia coli W3110	
ECK0687:JW0687:b4513	kdpF	potassium ion accessory transporter subunit	 	729243	729154	Chromosome Escherichia coli W3110	
ECK0694:JW0695:b0705	 	predicted transposase	 	737322	738383	Chromosome Escherichia coli W3110	
ECK0745:JW0739:b0756	galM	galactose-1-epimerase	 	789259	788219	Chromosome Escherichia coli W3110	
ECK0746:JW0740:b0757	galK	galactokinase	 	790401	789253	Chromosome Escherichia coli W3110	
ECK0747:JW0741:b0758	galT	galactose-1-phosphate uridylyltransferase	 	791451	790405	Chromosome Escherichia coli W3110	
ECK0748:JW0742:b0759	galE	UDP-galactose-4-epimerase	 	792477	791461	Chromosome Escherichia coli W3110	
ECK0750:JW0744:b0761	modE	DNA-binding transcriptional dual regulator	 	795066	794278	Chromosome Escherichia coli W3110	
ECK0751:JW5102:b0762	ybhT	hypothetical protein	 	795195	795344	Chromosome Escherichia coli W3110	
ECK0752:JW0746:b0763	modA	molybdate transporter subunit	 	795511	796284	Chromosome Escherichia coli W3110	
ECK0754:JW0748:b0765	modC	molybdate transporter subunit	 	796976	798034	Chromosome Escherichia coli W3110	
ECK0756:JW0750:b0767	ybhE	6-phosphogluconolactonase	 	799008	800003	Chromosome Escherichia coli W3110	
ECK0758:JW0752:b0769	ybhH	conserved hypothetical protein	 	801181	802233	Chromosome Escherichia coli W3110	
ECK0805:JW5969:b0816	yliL	hypothetical protein	 	853093	853362	Chromosome Escherichia coli W3110	
ECK0823:JW0817:b0833	yliE	conserved inner membrane protein	 	873401	875749	Chromosome Escherichia coli W3110	
ECK0978:JW5133:b0987	ymcD	hypothetical protein	 	1050166	1049861	Chromosome Escherichia coli W3110	
ECK1007:JW5141:b1016	 	ECK1007:JW5141:b1016	 	1081778	1081888	Chromosome Escherichia coli W3110	
ECK1007:JW1002:b1017	 	ECK1007:JW1002:b1017	 	1081876	1082607	Chromosome Escherichia coli W3110	
ECK1016:JW5145:b1028	 	hypothetical protein	 	1095966	1096268	Chromosome Escherichia coli W3110	
ECK1017:JW1015:b1029	ycdU	predicted inner membrane protein	 	1096265	1097251	Chromosome Escherichia coli W3110	
ECK0358:JW5899:unique	insD	IS2 element protein	 	1106556	1105633	Chromosome Escherichia coli W3110	
ECK0357:JW5900:unique	insC	IS2 element protein	 	1106861	1106496	Chromosome Escherichia coli W3110	
ECK1070:JW5154:b1085	yceQ	hypothetical protein	 	1146079	1146399	Chromosome Escherichia coli W3110	
ECK1123:JW1123:b1137	ymfD	predicted SAM-dependent methyltransferase	 	1199109	1198444	Chromosome Escherichia coli W3110	
ECK1124:JW5166:b1138	ymfE	predicted inner membrane protein	 	1199814	1199110	Chromosome Escherichia coli W3110	
ECK1125:JW1125:b1139	lit	cell death peptidase, inhibitor of T4 late gene expression	 	1200272	1201165	Chromosome Escherichia coli W3110	
ECK1127:JW1127:b1141	ymfG	predicted excisionase	 	1202609	1202364	Chromosome Escherichia coli W3110	
ECK1128:JW1128:b1142	ymfH	hypothetical protein	 	1202957	1202646	Chromosome Escherichia coli W3110	
ECK1129:JW5168:b1143	ymfI	hypothetical protein	 	1203074	1203415	Chromosome Escherichia coli W3110	
ECK1130:JW1130:b1144	ymfJ	hypothetical protein	 	1203661	1203353	Chromosome Escherichia coli W3110	
ECK1132:JW5169:b1146	ymfT	predicted DNA-binding transcriptional regulator	 	1204601	1204801	Chromosome Escherichia coli W3110	
ECK1133:JW1133:b1147	ymfL	predicted DNA-binding transcriptional regulator	 	1204833	1205402	Chromosome Escherichia coli W3110	
ECK1134:JW1134:b1148	ymfM	hypothetical protein	 	1205399	1205737	Chromosome Escherichia coli W3110	
ECK1135:JW1135:b1149	ymfN	predicted DNA-binding transcriptional regulator	 	1205747	1207114	Chromosome Escherichia coli W3110	
ECK1136:JW1136:b1150	ymfR	hypothetical protein	 	1207126	1207308	Chromosome Escherichia coli W3110	
ECK1137:JW1137:b1151	ymfO	conserved hypothetical protein	 	1207308	1207781	Chromosome Escherichia coli W3110	
ECK1138:JW5170:b1152	ymfP	conserved hypothetical protein	 	1207837	1208499	Chromosome Escherichia coli W3110	
ECK1139:JW1139:b1153	ymfQ	conserved hypothetical protein	 	1208490	1209074	Chromosome Escherichia coli W3110	
ECK1140:JW1140:b1154	ycfK	hypothetical protein	 	1209078	1209707	Chromosome Escherichia coli W3110	
ECK1143:JW5172:b1157	 	e14 prophage region predicted side tail fiber protein fragment	 	1211232	1210696	Chromosome Escherichia coli W3110	
ECK1145:JW1145:b1159	mcrA	5-methylcytosine-specific restriction endonuclease B	 	1211923	1212756	Chromosome Escherichia coli W3110	
ECK1157:JW5901:b1169	 	hypothetical protein, N-ter fragment	 	1222378	1222698	Chromosome Escherichia coli W3110	
ECK1157:JW5176:b1170	 	hypothetical protein, C-ter fragment	 	1222783	1223799	Chromosome Escherichia coli W3110	
ECK1160:JW5179:b4521	ymgH	hypothetical protein	 	1225042	1225263	Chromosome Escherichia coli W3110	
ECK1170:JW5181:b1182	hlyE	hemolysin E	 	1231971	1231060	Chromosome Escherichia coli W3110	
ECK1222:JW5881:b1228	ychS	hypothetical protein	 	1288286	1288561	Chromosome Escherichia coli W3110	
ECK1224:JW1219:b1229	tpr	predicted protamine-like protein	 	1288765	1288664	Chromosome Escherichia coli W3110	
ECK1234:JW1227:b1239	 	ECK1234:JW1227:b1239	 	1296593	1296003	Chromosome Escherichia coli W3110	
ECK1234:JW5883+JW1227:b45	 	ECK1234:JW5883+JW1227:b4573	 	1296775	1296003	Chromosome Escherichia coli W3110	
ECK1234:JW5883:b1240	 	ECK1234:JW5883:b1240	 	1296775	1296545	Chromosome Escherichia coli W3110	
ECK0357:JW5902:unique	insC	IS2 element protein	 	1301130	1301495	Chromosome Escherichia coli W3110	
ECK0358:JW5903:unique	insD	IS2 element protein	 	1301435	1302358	Chromosome Escherichia coli W3110	
ECK1259:JW1257:b1265	trpL	trp operon leader peptide	 	1324796	1324752	Chromosome Escherichia coli W3110	
ECK1262:JW5197:b1268	yciQ	predicted inner membrane protein	 	1326460	1328355	Chromosome Escherichia coli W3110	
ECK1270:JW5199:b4523	 	hypothetical protein, C-ter fragment	 	1336984	1337172	Chromosome Escherichia coli W3110	
ECK1330:JW1328:b1334	fnr	DNA-binding transcriptional dual regulator, global regulator of anaerobic growth	 	1401240	1400488	Chromosome Escherichia coli W3110	
ECK1345:JW5208:b1348	lar	restriction alleviation protein	 	1415641	1415447	Chromosome Escherichia coli W3110	
