Entry Name	# Tryptic Peptide	# Theoretical Tryptic Peptides
P0ABM5	1	7
P76007	1	7
P0ABJ6	2	3
P0ACV4	2	9
P0ADB7	2	4
P0AF43	2	11
P0AFE4	2	4
P45566	2	7
P65292	2	7
P68699	2	4
P0AAV0	3	7
P0AC44	3	5
P0AC98	3	7
P0AD99	3	12
P0AEJ0	3	11
P0AF40	3	9
P0AF70	3	7
P0AFE8	3	11
P25737	3	8
P32166	3	13
P33607	3	10
P64590	3	12
P69801	3	6
P76182	3	11
P0A6A8	3	5
P0AAS3	3	10
P0ADN6	3	7
P0AF73	3	5
P14176	3	7
P64493	3	5
P64499	3	9
P65294	3	5
P69776	3	10
P00550	4	14
P0A937	4	7
P0AAC6	4	9
P0AB67	4	10
P0ABV6	4	15
P0ADZ7	4	10
P0AEY8	4	16
P0AFK2	4	10
P46889	4	10
P67244	4	14
P69054	4	9
P69423	4	7
P76208	4	14
P76502	4	9
P76630	4	13
P0A8Q3	4	7
P0AA67	4	10
P0AA82	4	10
P0AAE2	4	13
P0AC78	4	10
P0ADA3	4	11
P0ADQ7	4	14
P0AEP1	4	17
P0AF36	4	10
P0AFE0	4	8
P25744	4	14
P27125	4	11
P28246	4	12
P30149	4	16
P36655	4	14
P37188	4	7
P37597	4	12
P38097	4	11
P46187	4	11
P60632	4	8
P64448	4	8
P64506	4	11
P64545	4	7
P64581	4	16
P64602	4	8
P75826	4	11
P76091	4	14
P76173	4	12
Q46835	4	14
Q46837	4	10
P03961	5	12
P0A6X3	5	7
P0AA95	5	10
P0AB12	5	9
P0AB98	5	13
P0ABJ3	5	9
P0ABJ9	5	13
P0ADB1	5	10
P0ADM4	5	10
P0AEX3	5	13
P0AF34	5	14
P0AFJ7	5	11
P0AFK6	5	15
P0AFZ7	5	15
P0AG99	5	6
P11289	5	10
P15993	5	9
P26459	5	14
P30845	5	16
P31466	5	10
P37340	5	16
P37637	5	9
P39836	5	12
P69786	5	11
P75785	5	19
P77173	5	13
P03960	5	18
P07117	5	15
P08722	5	14
P0A6E6	5	10
P0A843	5	9
P0A8D9	5	15
P0A8Q0	5	11
P0ABK2	5	13
P0ABP6	5	15
P0AE26	5	13
P0AEH5	5	11
P0AF52	5	11
P0AF54	5	8
P0AFN6	5	11
P0AGK1	5	14
P10384	5	12
P11557	5	19
P23200	5	11
P31801	5	10
P32703	5	12
P37147	5	15
P37659	5	9
P39270	5	14
P39297	5	9
P45522	5	12
P64631	5	11
P69428	5	11
P75925	5	12
P76115	5	18
P76471	5	10
P76538	5	12
P77783	5	11
P0A6J3	6	15
P0A734	6	8
P0A766	6	10
P0A9M5	6	14
P0AA73	6	14
P0AAC4	6	13
P0AAD6	6	11
P0AAE0	6	10
P0AAS0	6	15
P0AD30	6	13
P0ADV1	6	18
P0AE34	6	13
P0AED0	6	10
P0AEF8	6	11
P0AEL6	6	19
P0AER0	6	9
P0AFC3	6	14
P0AFF0	6	9
P0AFX9	6	22
P0AG86	6	8
P10121	6	16
P10905	6	11
P15877	6	13
P23894	6	14
P23930	6	13
P36672	6	15
P46130	6	11
P60782	6	15
P64515	6	10
P69829	6	15
P75946	6	9
P76269	6	13
P76350	6	11
P76389	6	15
P76406	6	12
P08555	6	15
P0A6S5	6	11
P0A742	6	14
P0A830	6	13
P0A905	6	9
P0AA60	6	12
P0ABN1	6	10
P0ABN5	6	13
P0AFH6	6	15
P0AFR2	6	14
P0AFS7	6	15
P0AG96	6	13
P0AGI1	6	12
P0C0V0	6	16
P18777	6	11
P21365	6	11
P24207	6	10
P25396	6	11
P27434	6	16
P31437	6	9
P32705	6	15
P33015	6	15
P37001	6	14
P37002	6	6
P37615	6	13
P39830	6	13
P42628	6	13
P52067	6	14
P52094	6	14
P64432	6	10
P69411	6	12
P76170	6	17
P77179	6	14
P00803	7	21
P00804	7	11
P0A6Q6	7	17
P0A855	7	19
P0A8R7	7	19
P0A8U0	7	11
P0A8Z3	7	15
P0A917	7	14
P0A935	7	24
P0AAT4	7	15
P0AB10	7	12
P0AB26	7	18
P0ABF8	7	11
P0ABI8	7	11
P0ABU7	7	16
P0AC23	7	14
P0ADA5	7	16
P0ADL1	7	11
P0ADL3	7	13
P0AE91	7	19
P0AEY1	7	15
P0AFD4	7	12
P0AGA2	7	13
P0AGH3	7	14
P0AGH5	7	13
P0C0L7	7	13
P10346	7	28
P23886	7	21
P28224	7	10
P33602	7	19
P37177	7	26
P39187	7	20
P62517	7	27
P63183	7	12
P63340	7	13
P75870	7	16
P76176	7	17
P76346	7	14
P76398	7	12
P76537	7	19
P77473	7	16
P09323	7	11
P09835	7	13
P0A6M2	7	12
P0AA86	7	16
P0ABA4	7	17
P0ADG7	7	28
P0ADX7	7	11
P0AEG1	7	14
P0AEN4	7	14
P0AEU7	7	23
P0AF16	7	17
P0AG34	7	15
P0AGE4	7	12
P0AGH1	7	18
P0AGH8	7	10
P10100	7	18
P13036	7	18
P15028	7	17
P23842	7	16
P23876	7	11
P27837	7	10
P31547	7	11
P31827	7	16
P33366	7	17
P37665	7	20
P39401	7	13
P62723	7	12
P64564	7	9
P64585	7	13
P76002	7	16
P76345	7	15
P76399	7	13
P76469	7	17
P77272	7	17
P77374	7	24
P77529	7	16
P77562	7	24
Q2MB16	7	12
P06611	8	20
P0A912	8	16
P0A9Q9	8	15
P0ABZ4	8	19
P0ADV9	8	20
P0AEB5	8	18
P0AEC0	8	14
P0AEH1	8	20
P0AEL0	8	18
P0AER3	8	14
P0AFD1	8	13
P0AFH8	8	26
P0AFK4	8	16
P0AFM2	8	17
P0AG27	8	17
P0AGD1	8	15
P10906	8	11
P22525	8	12
P33927	8	11
P37194	8	12
P37652	8	15
P42601	8	12
P45800	8	14
P51981	8	21
P60785	8	22
P64423	8	19
P64481	8	16
P69380	8	13
P69490	8	16
P69783	8	16
P75957	8	22
P76193	8	20
P76473	8	17
P77804	8	14
P03819	8	14
P0A6W3	8	14
P0A8K8	8	18
P0ABC9	8	13
P0ABM1	8	13
P0AD42	8	20
P0AE30	8	12
P0AFL3	8	17
P0AFS5	8	13
P0AG38	8	14
P0AGI8	8	22
P13738	8	12
P15029	8	14
P16869	8	19
P17315	8	22
P19934	8	32
P21367	8	17
P23827	8	18
P27250	8	16
P31224	8	11
P32135	8	16
P36561	8	19
P39365	8	13
P39396	8	14
P39835	8	13
P45955	8	18
P46122	8	13
P52101	8	23
P52644	8	13
P55734	8	15
P64429	8	20
P69741	8	14
P69828	8	12
P69831	8	15
P75783	8	17
P75798	8	16
P75818	8	17
P77307	8	17
P77333	8	25
Q47538	8	16
Q6BEX5	8	13
P02931	9	18
P07654	9	15
P07822	9	15
P09152	9	31
P09391	9	17
P09549	9	23
P0A6H8	9	23
P0A6J1	9	20
P0A756	9	15
P0A7B3	9	16
P0A9J4	9	13
P0A9P0	9	24
P0AA84	9	26
P0AA93	9	20
P0AAF6	9	20
P0AAX8	9	19
P0AB38	9	14
P0ABB8	9	21
P0AC75	9	27
P0ACV0	9	25
P0AD14	9	15
P0AD27	9	18
P0ADK0	9	14
P0AE28	9	16
P0AEE1	9	16
P0AEP3	9	16
P0AEZ7	9	27
P0AFK9	9	19
P0AFQ2	9	20
P0AFV4	9	24
P0AFY6	9	12
P0AG93	9	15
P0AGB6	9	23
P0CB39	9	15
P10907	9	28
P11350	9	15
P12008	9	23
P14376	9	27
P21345	9	14
P23917	9	22
P24177	9	11
P24205	9	25
P26365	9	23
P30138	9	19
P33011	9	23
P33915	9	19
P37648	9	20
P43337	9	14
P45565	9	23
P52645	9	17
P60560	9	20
P60869	9	16
P60932	9	12
P64606	9	15
P66948	9	15
P69853	9	13
P75728	9	14
P75853	9	20
P76206	9	18
P77285	9	16
P77304	9	14
P77726	9	18
P02929	9	22
P04846	9	21
P05825	9	22
P0A8K1	9	22
P0AAA1	9	12
P0AAI3	9	26
P0ADC1	9	23
P0ADW3	9	15
P0AE85	9	19
P0AER8	9	12
P0AF98	9	17
P0AFA7	9	17
P0C0S1	9	17
P13458	9	27
P14377	9	26
P18775	9	25
P23890	9	18
P33931	9	18
P36649	9	17
P37327	9	17
P37617	9	18
P37774	9	25
P38134	9	18
P39099	9	15
P39310	9	15
P39451	9	21
P64596	9	20
P69811	9	17
P75958	9	19
P76116	9	22
P76298	9	14
P77549	9	12
Q46798	9	18
P00363	10	16
P06136	10	25
P06616	10	25
P06709	10	21
P07003	10	15
P07109	10	26
P08401	10	20
P09546	10	24
P0A908	10	18
P0A9R7	10	22
P0AA91	10	17
P0AAB4	10	28
P0AAB6	10	19
P0AAF3	10	22
P0AB58	10	27
P0ABH0	10	23
P0ACB7	10	23
P0ACJ0	10	21
P0AD96	10	22
P0ADP2	10	16
P0ADS6	10	23
P0AE45	10	15
P0AFA2	10	21
P0AFG8	10	22
P0AFI2	10	19
P0AFY8	10	20
P0C960	10	20
P10408	10	26
P10441	10	23
P19319	10	29
P23847	10	24
P23878	10	22
P24228	10	18
P25534	10	14
P25714	10	14
P26647	10	22
P27896	10	18
P29018	10	24
P31069	10	13
P31134	10	25
P31545	10	23
P31554	10	19
P32129	10	24
P32681	10	23
P33232	10	20
P33937	10	29
P37642	10	20
P37691	10	19
P37908	10	24
P38135	10	17
P39176	10	17
P39325	10	25
P41052	10	18
P42591	10	18
P43341	10	20
P43671	10	24
P45395	10	18
P60752	10	19
P61889	10	18
P63386	10	19
P67553	10	22
P69425	10	15
P75780	10	20
P76272	10	22
P76445	10	17
P76576	10	21
P76586	10	20
P77265	10	21
P77689	10	19
P77774	10	22
P07024	10	19
P0A6U3	10	25
P0A8G6	10	14
P0AAG0	10	20
P0ABA0	10	19
P0ABG7	10	15
P0ABZ6	10	20
P0AC47	10	20
P0AE06	10	21
P0AE88	10	22
P0AFI9	10	18
P0AFX7	10	12
P0C0T5	10	20
P14175	10	27
P17444	10	18
P19926	10	19
P30126	10	18
P31550	10	22
P32176	10	26
P33941	10	20
P39172	10	16
P76237	10	20
P76299	10	21
P76551	10	18
P76909	10	20
P77318	10	22
P77541	10	19
P77717	10	31
P02930	11	18
P05458	11	21
P06149	11	25
P07001	11	21
P08839	11	22
P09394	11	28
P0A6A0	11	31
P0A7J0	11	16
P0A8X2	11	19
P0A9U1	11	18
P0AA53	11	26
P0ABF1	11	33
P0ABF6	11	17
P0ABI4	11	23
P0ABJ1	11	20
P0ABM9	11	22
P0ABU9	11	21
P0AEB2	11	19
P0AEG6	11	23
P0AEU0	11	23
P0AEZ3	11	26
P0AFF2	11	18
P0AFS9	11	20
P0AG00	11	22
P0AGD7	11	28
P0C066	11	23
P11349	11	28
P13518	11	22
P16095	11	17
P21338	11	29
P23837	11	20
P26648	11	18
P28306	11	30
P28635	11	23
P30750	11	20
P30844	11	20
P33225	11	21
P33650	11	19
P33916	11	21
P36548	11	30
P36879	11	25
P37624	11	22
P38506	11	20
P40710	11	20
P43674	11	20
P45537	11	16
P46118	11	21
P46482	11	24
P60955	11	12
P64604	11	15
P69874	11	24
P75797	11	24
P75801	11	21
P75822	11	21
P75830	11	22
P75954	11	21
P76222	11	18
P76397	11	24
P76446	11	20
P77509	11	21
P77522	11	21
P77756	11	21
P02919	11	33
P06959	11	20
P0A698	11	27
P0A910	11	17
P0A932	11	19
P0A9A6	11	17
P0A9S3	11	18
P0A9T8	11	20
P0AAI1	11	21
P0AB01	11	18
P0ABG4	11	21
P0ACU0	11	20
P0AE22	11	20
P0AEU3	11	16
P0AFH2	11	20
P13482	11	18
P20966	11	20
P21513	11	28
P22255	11	16
P25552	11	20
P25894	11	18
P27243	11	15
P33218	11	23
P37019	11	21
P37626	11	31
P43672	11	23
P45568	11	21
P69797	11	21
P75831	11	22
P76372	11	20
P77439	11	16
P77485	11	18
P77611	11	24
P77754	11	22
Q59385	11	23
P00811	12	18
P02925	12	22
P07821	12	23
P08331	12	24
P08395	12	28
P08400	12	20
P08506	12	21
P0A6J5	12	23
P0A6Y8	12	20
P0A6Z3	12	30
P0A759	12	22
P0A7E5	12	21
P0A901	12	21
P0A924	12	21
P0A9P4	12	22
P0A9U3	12	21
P0A9V1	12	21
P0A9W3	12	21
P0A9X4	12	21
P0AAJ1	12	18
P0AB06	12	23
P0AB24	12	25
P0ABS5	12	27
P0AC41	12	19
P0ACE0	12	21
P0AD68	12	29
P0ADC6	12	21
P0ADS9	12	28
P0AEJ4	12	22
P0AEK4	12	21
P0AEQ3	12	28
P0AER5	12	14
P0AEY5	12	16
P0AFB1	12	21
P0AFC7	12	21
P0AFD6	12	22
P0AFY2	12	22
P0AG80	12	16
P0AGB0	12	23
P10378	12	17
P17443	12	23
P18392	12	24
P18776	12	18
P19318	12	26
P21889	12	34
P21893	12	20
P22731	12	24
P23843	12	19
P25522	12	21
P25746	12	18
P27829	12	18
P28249	12	21
P30859	12	23
P31119	12	25
P31433	12	22
P31666	12	24
P31979	12	26
P32160	12	20
P33226	12	23
P33358	12	21
P33360	12	22
P33940	12	21
P37313	12	24
P37339	12	24
P37636	12	18
P37641	12	20
P37649	12	19
P37767	12	24
P39285	12	24
P40719	12	22
P61316	12	17
P63389	12	20
P69805	12	18
P69931	12	23
P75828	12	27
P76578	12	26
P77338	12	23
P77444	12	17
P77757	12	21
Q46824	12	26
Q46845	12	21
Q47622	12	21
