Entry Name	Total #Tryptic Peptides	# Detectable Tryptic Peptides	Detectable(%)	mean m/z	mean gravy	mean mass
P0A996	27	16		684.236286208333	-0.247280545954941	1300.886408125
P13033	15	9		906.984757607143	0.0264854548576657	2070.40077111111
P0A9C0	23	13		806.391744403509	-0.0153509738125123	1614.42478461538
P76466	18	10		862.544654294872	-0.370778152026501	1959.05666
P76463	19	13		856.782499901961	-0.121726209993473	1807.37137615385
P76462	16	7		1090.61368166667	-0.277753034003034	2947.70692428571
P0AB85	19	12		748.170081666667	-0.202743813791726	1571.4497075
P05050	17	12		825.438965131579	-0.0901607178697006	1772.37918583333
P0AAL3	26	15		668.612160588235	-0.0993781423255107	1363.53723066667
P33934	16	5		1115.35480277778	0.705676767676768	2521.135804
P0ABL3	12	4		881.55301875	-0.466454545454545	2115.727245
P0ABL5	26	10		687.437709166667	-0.753955026455027	1506.378776
P0AFU0	15	10		671.48444051282	0.139580203021379	1446.84792
P02932	24	12		804.841401794872	-0.819890797859548	1674.18379666667
Q47151	21	9		715.115199217949	-0.474975765381467	1603.54797777778
P0AA99	23	12		775.326508333333	-0.317422633947196	1755.20726916667
P0AD59	12	9		841.410527435898	0.125004409171076	1730.17876888889
P0ABG1	15	4		1170.04972138889	1.2041059997607	3242.2192925
P33024	14	8		951.189530333333	1.12632155919341	2017.612065
P0AD19	14	5		1160.64151261905	0.956207792207792	2926.96516
P0AD17	8	6		977.928420233333	0.458681509462759	2976.03178333333
P0AFI5	26	14		703.288809166667	-0.185810499024785	1490.89748214286
P76421	26	10		838.471823944445	-0.0622837030835383	1859.826064
P76393	18	11		885.852420758333	0.113114782504317	2088.12440727273
P0A930	21	11		927.294417820513	-0.3154657177839	1883.57570818182
P76387	18	10		731.792206111111	-0.210439255189255	1491.838488
P32057	23	13		762.011967592593	0.0246010954989282	1633.74453230769
P71241	18	6		867.828667291667	0.43199854371681	2010.15221
P77377	13	7		971.639625583333	0.914781992507148	2887.14321142857
P71244	20	10		867.47775625	0.103085606060606	1984.199906
P36881	14	11		694.870957976191	-0.142546897546898	1376.57712454545
P36647	9	6		1166.71265547619	0.293955849219007	2392.179025
P62395	15	6		928.559153409091	-0.185004276637341	2387.21655833333
P0A754	11	7		862.4729539375	-0.208122552051124	2573.25700571429
P31679	17	8		1122.33461625	0.463535479236188	2244.6692325
P68644	20	11		754.408988653846	0.192392153301244	1536.96384181818
