Accession number	OLN	ECK	Gene	Protein name	emPAI Value	Normalized And Descr Itensity	Copy number per cell	mRNA expression level	mRNA expression level	Sequence coverage (%)	Number of unique peptides	Mascot protein score	Number of TMDs	GRAVY score	GO cellular component
P0A7I4	JW5873	ECK4366	prfC	peptide chain release factor RF-3	9	0	398	0	0	47.83	22	1149	0	-0.326	GO:0005737 cytoplasm
P39406	JW4333	ECK4362	rsmC	16S RNA m2G1207 methylase	2.55	0	117.04	0	0	45.77	10	619	0	-0.111	GO:0005737 cytoplasm
P75864	JW0931	ECK0939	ycbY	predicted methyltransferase	1	0	28.78	0	0	13.25	9	393	0	-0.359	0
P08194	JW2234	ECK2232	glpT	sn-glycerol-3-phosphate transporter	6.02	0	269.17	0	0	15.04	8	346	12	0.493	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P77808	JW2243	ECK2242	yfaY	conserved protein	0.52	0	25.05	0	0	17	4	252	0	-0.055	0
P04983	JW3728	ECK3743	rbsA	fused D-ribose transporter subunits -!- ATP-binding components ABC superfamily	0.28	0	13.75	0	0	12.97	4	200	0	-0.088	GO:0005737 cytoplasm
P0ADP0	JW3785	ECK3807	yigB	predicted hydrolase	1.31	0	61.36	0	0	34.03	4	168	0	-0.329	0
P26647	JW2986	ECK3009	plsC	1-acyl-sn-glycerol-3-phosphate acyltransferase	1.03	0	49	0	0	10	3	128	1	0.073	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P23305	JW3783	ECK3805	yigA	conserved protein	0.31	0	15.17	0	0	14.47	2	96	0	-0.149	0
P37671	JW3546	ECK3563	yiaJ	predicted DNA-binding transcriptional repressor	1	0	24.12	0	0	13.83	3	92	0	-0.162	0
P52037	JW2870	ECK2897	ygfF	predicted NAD(P)-binding oxidoreductase with NAD(P)-binding Rossmann-fold domain	0.67	0	32.03	0	0	15.38	2	90	0	0.118	0
P0AAH0	JW3703	ECK3718	pstB	phosphate transporter subunit -!- ATP-binding component of ABC superfamily	0.47	0	22.71	0	0	18.68	2	73	0	0.000	GO:0005737 cytoplasm
P0ADC6	JW5760	ECK4255	yjgQ	conserved inner membrane protein	0.44	0	21.31	0	0	12.22	3	66	6	0.000	GO:0009274 cell wall (sensu Bacteria)
P0AE45	JW4177	ECK4214	ytfL	predicted inner membrane protein	0.31	0	15.17	0	0	8.28	2	57	4	0.238	0
P41036	JW3193	ECK3213	nanT	sialic acid transporter	1.15	0	54.08	0	0	6.45	3	54	12	0.689	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0C0L7	JW4072	ECK4104	proP	proline/glycine betaine transporter	0.52	0	25.05	0	0	3	2	51	12	0.558	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AAT4	JW0566	ECK0569	ybdG	predicted mechanosensitive channel	0.41	0	20	0	0	4.34	2	43	5	0.301	GO:0042597 periplasmic space
P76541	JW2432	ECK2434	eutL	predicted carboxysome structural protein with predicted role in ethanolamine utilization	0.67	0	32.03	0	0	6.85	2	34	0	0.191	0
P39321	JW4180	ECK4217	ytfN	conserved protein	1.09	0	1.36	0	0	24.23	23	1021	1	-0.183	0
P0A7I4	JW5873	ECK4366	prfC	peptide chain release factor RF-3	4.41	0	398	0	0	43.86	19	865	0	-0.326	GO:0005737 cytoplasm
P30130	JW5780	ECK4308	fimD	outer membrane usher protein. type 1 fimbrial synthesis	1.64	0	1.47	0	0	27.33	14	814	1	-0.415	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P05825	JW5086	ECK0576	fepA	iron-enterobactin outer membrane transporter	1.87	0		0	0	30.03	15	768	0	-0.581	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P0AE45	JW4177	ECK4214	ytfL	predicted inner membrane protein	5.66	0	1.18	0	0	33.33	11	755	4	0.238	0
P0AAT4	JW0566	ECK0569	ybdG	predicted mechanosensitive channel	6.08	0	1	0	0	33.73	16	745	5	0.301	GO:0042597 periplasmic space
P39406	JW4333	ECK4362	rsmC	16S RNA m2G1207 methylase	2.55	0	117.04	0	0	37.32	10	728	0	-0.111	GO:0005737 cytoplasm
P06282	JW3889	ECK3910	cdh	CDP-diacylglycerol phosphotidylhydrolase	5.66	0	1.81	0	0	56.97	13	685	1	-0.304	0
P75864	JW0931	ECK0939	ycbY	predicted methyltransferase	1.08	0	28.78	0	0	24.79	14	554	0	-0.359	0
P04983	JW3728	ECK3743	rbsA	fused D-ribose transporter subunits -!- ATP-binding components ABC superfamily	0.75	0	13.75	0	0	27.74	9	464	0	-0.088	GO:0005737 cytoplasm
