Accession (UNIPROT)	K12 Accession	BL21(DE3) Accession	GOs	Description (Uniprot)	NG001	1DG010_flot	1DG011_flot (L1) wt	1DG011_IMVs (L3) wt
P77804	YDGA_ECOLI	C6EDN4	F2	Putative uncharacterized protein (Putative uncharacterized protein ydgA)	+ 	+ 	+ 	+ 
P08506	DACC_ECOLI	C6EIU4	F2	Beta-lactamase (EC 3.5.2.6) (D-alanyl-D-alanine carboxypeptidase (Penicillin-binding protein 6a)) (EC 3.4.16.4)	+ 	+ 	+ 	+ 
P0AEB2	DACA_ECOLI	C6EK61	F2	Beta-lactamase (EC 3.5.2.6) (D-alanyl-D-alanine carboxypeptidase (Penicillin-binding protein 5)) (EC 3.4.16.4)	+ 	+ 	+ 	+ 
P75830	MACA_ECOLI	C6EIA3	F2	"Efflux transporter, RND family, MFP subunit (Macrolide transporter subunit, membrane fusion protein (MFP) component)"	 	+ 	+ 	+ 
P76397	MDTA_ECOLI	C6EAN1	F2	Multidrug resistance protein mdtA (Multidrug transporter mdtA)	 	+ 	+ 	+ 
P24228	DACB_ECOLI	C6EH45	F2	D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4) (D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase) (EC 3.4.16.4)	 	+ 	 	+ 
P23865	PRC_ECOLI	C6EBZ9	F2	Carboxy-terminal protease for penicillin-binding protein 3 (EC 3.4.21.-) (Carboxyl-terminal protease) (EC 3.4.21.102)	 	+ 	 	+ 
P0ACE0	MBHM_ECOLI	C6EHZ8	F2	"Cytochrome-c3 hydrogenase (EC 1.12.2.1) (Hydrogenase 2, large subunit) (EC 1.12.7.2)"	 	 	 	+ 
P69741	MBHT_ECOLI	C6EHZ5	F2	"Hydrogenase (NiFe) small subunit HydA (EC 1.12.99.6) (Hydrogenase-2, small chain)"	 	 	 	+ 
P64604	MLAD_ECOLI	C6EH34	G	Mammalian cell entry related domain protein (Predicted ABC-type organic solvent transporter)	+ 	+ 	+ 	+ 
P0AEU7	SKP_ECOLI	C6EAA7	G	Outer membrane chaperone Skp (OmpH) (Periplasmic chaperone)	+ 	+ 	 	+ 
P0C0V0	DEGP_ECOLI	C6EAC3	G	"Protease Do (EC 3.4.21.108) (Serine endoprotease (Protease Do), membrane-associated) (EC 3.4.21.-)"	+ 	+ 	 	+ 
P37648	YHJJ_ECOLI	C6EEF6	G	Peptidase M16 domain protein (Predicted zinc-dependent peptidase)	+ 	+ 	 	 
P0AB58	YCIM_ECOLI	C6EFV4	G	Putative uncharacterized protein yciM (Tetratricopeptide domain protein)	 	+ 	+ 	+ 
P77285	RNFG_ECOLI	C6EDL5	G	"Electron transport complex protein RnfG (Electron transport complex, RnfABCDGE type, G subunit)"	 	+ 	+ 	+ 
P37690	YIBP_ECOLI	C6EDH6	G	Peptidase M23 (Protease with a role in cell division)	 	+ 	+ 	+ 
P0AFX9	RSEB_ECOLI	C6EK16	G	"Periplasmic negative regulator of sigmaE (Sigma E regulatory protein, MucB/RseB)"	 	+ 	 	+ 
P0A855	TOLB_ECOLI	C6EJJ7	G	Protein tolB	 	+ 	 	+ 
P63883	AMIC_ECOLI	C6EJ52	G	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	 	+ 	 	+ 
P0ADS6	YGGE_ECOLI	C6EII7	G	Putative uncharacterized protein (Putative uncharacterized protein yggE)	 	+ 	 	+ 
P33136	OPGG_ECOLI	C6EHG4	G	"Glucan biosynthesis protein, periplasmic (Periplasmic glucan biosynthesis protein MdoG)"	 	+ 	 	+ 
P39099	DEGQ_ECOLI	C6EGZ8	G	"Protease Do (EC 3.4.21.108) (Serine endoprotease, periplasmic) (EC 3.4.21.-)"	 	+ 	 	+ 
P45523	FKBA_ECOLI	C6EGB7	G	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	 	+ 	 	+ 
P32176	FDOG_ECOLI	C6EF05	G	"Formate dehydrogenase, alpha subunit (Formate dehydrogenase-O, major subunit)"	 	+ 	 	+ 
P76177	YDGH_ECOLI	C6EDP4	G	Putative uncharacterized protein (Putative uncharacterized protein ydgH)	 	+ 	 	+ 
P33913	YEJA_ECOLI	C6EA20	G	Extracellular solute-binding protein family 5 (Predicted oligopeptide transporter subunit)	 	+ 	 	+ 
P45565	AIS_ECOLI	C6E9U8	G	Lipopolysaccharide core heptose(II)-phosphate phosphatase (EC 3.1.3.-)	 	+ 	 	+ 
P00634	PPB_ECOLI	C6ELK4	G	Alkaline phosphatase (EC 3.1.3.1) (Bacterial alkaline phosphatase) (EC 3.1.3.1)	 	+ 	 	 
P0AEU0	HISJ_ECOLI	C6ELE4	G	"Cationic amino acid ABC transporter, periplasmic binding protein (Histidine/lysine/arginine/ornithine transporter subunit)"	 	+ 	 	 
P09551	ARGT_ECOLI	C6ELE3	G	"Cationic amino acid ABC transporter, periplasmic binding protein (Lysine/arginine/ornithine transporter subunit)"	 	+ 	 	 
P16700	CYSP_ECOLI	C6EL52	G	"Sulfate ABC transporter, periplasmic sulfate-binding protein (Thiosulfate transporter subunit)"	 	+ 	 	 
P07024	USHA_ECOLI	C6EKY4	G	5'-Nucleotidase domain protein (UDP-sugar hydrolase) (EC 3.1.3.5) (EC 3.6.1.45)	 	+ 	 	 
P0ADA1	TESA_ECOLI	C6EKX0	G	Lysophospholipase (EC 3.1.1.5) (Multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1) (EC 3.1.1.5) (EC 3.1.2.-)	 	+ 	 	 
P66948	YFGC_ECOLI	C6EKL7	G	Peptidase M48 Ste24p (Predicted peptidase)	 	+ 	 	 
P77202	DSBG_ECOLI	C6EK90	G	Disulfide isomerase/thiol-disulfide oxidase (Periplasmic disulfide isomerase/thiol-disulfide oxidase) (EC 5.3.4.1)	 	+ 	 	 
P21338	RNI_ECOLI	C6EK83	G	Enterobacter ribonuclease (EC 3.1.27.6) (Ribonuclease I) (EC 3.1.27.6)	 	+ 	 	 
P37902	GLTI_ECOLI	C6EK40	G	Extracellular solute-binding protein family 3 (Glutamate and aspartate transporter subunit)	 	+ 	 	 
P0AFM2	PROX_ECOLI	C6EJU6	G	Glycine betaine transporter subunit (Substrate-binding region of ABC-type glycine betaine transport system)	 	+ 	 	 
P45955	YBGF_ECOLI	C6EJJ5	G	Putative uncharacterized protein ybgF (Tol-pal system protein YbgF)	 	+ 	 	 
P05458	PTRA_ECOLI	C6EJ48	G	Peptidase M16 domain protein (Protease III)	 	+ 	 	 
P0AEQ3	GLNH_ECOLI	C6EIX1	G	"Cationic amino acid ABC transporter, periplasmic binding protein (Glutamine ABC transporter periplasmic protein)"	 	+ 	 	 
P75797	GSIB_ECOLI	C6EIV2	G	Extracellular solute-binding protein family 5	 	+ 	 	 
P0AEG6	DSBC_ECOLI	C6EIL5	G	Protein disulfide isomerase II (EC 5.3.4.1) (Thiol:disulfide interchange protein DsbC)	 	+ 	 	 
P30860	ARTJ_ECOLI	C6EIC1	G	"Arginine transporter subunit (Cationic amino acid ABC transporter, periplasmic binding protein)"	 	+ 	 	 
P30859	ARTI_ECOLI	C6EIB8	G	"Arginine transporter subunit (Cationic amino acid ABC transporter, periplasmic binding protein)"	 	+ 	 	 
P0A9P4	TRXB_ECOLI	C6EI94	G	Thioredoxin reductase (EC 1.8.1.9)	 	+ 	 	 
