Join Name	BL21Remv	K12Total	No files found in	BL21Remv Duplicates	K12Total Duplicates
P05100	1	1	2	1	1	C6EED2
P04395	1	1	2	1	1	C6EAN9
P00350	1	1	2	1	1	C6EB56
P46482	1	1	2	1	1	C6EGL9
P46481	1	1	2	1	1	C6EGM0
P67662	1	1	2	1	1	C6EGL7
P46478	1	1	2	1	1	C6EGL8
P31119	1	1	2	1	1	C6EJ32
P00509	1	1	2	1	1	C6EI54
P77674	1	1	2	1	1	C6EER9
P77357	1	1	2	1	1	C6EFP5
P76052	1	1	2	1	1	C6EFP6
P77744	1	1	2	1	1	C6EFP4
P46133	1	1	2	1	1	C6EFP7
P75747	1	1	2	1	1	C6EJM3
P0ABD5	1	1	2	1	1	C6EAA0
P24182	1	1	2	1	1	C6EGK4
P0A9Q5	1	1	2	1	1	C6ELD7
P77580	1	1	2	1	1	C6ELM9
P0A9G6	1	1	2	1	1	C6EE08
P11071	1	1	2	1	1	C6EE07
Q46837	1	1	2	1	1	C6EID7
P0A6A3	1	1	2	1	1	C6ELF7
P25516	1	1	2	1	1	C6EFV8
P36683	1	1	2	1	1	C6EAT9
P0A6A8	1	1	2	1	1	C6EHC0
P21515	1	1	2	1	1	C6ELI0
P24224	1	1	2	1	1	C6EK24
P37623	1	1	2	1	1	C6EF99
P0AE06	1	1	2	1	1	C6EL01
P31224	1	1	2	1	1	C6EL02
P24177	1	1	2	1	1	C6EKP2
P24180	1	1	2	1	1	C6EGJ5
P24181	1	1	2	1	1	C6EGJ4
P0ACS9	1	1	2	1	1	C6EL00
P27550	1	1	2	1	1	C6ED56
P32705	1	1	2	1	1	C6ED58
P0AB65	1	1	2	1	1	C6EI13
P06134	1	1	2	1	1	C6E9Y6
P22333	1	1	2	1	1	C6EDM4
P31441	1	1	2	1	1	C6EDA4
P37686	1	1	2	1	1	C6EE86
P0A9Q7	1	1	2	1	1	C6EGM8
P39451	1	1	2	1	1	C6EEN9
P28629	1	1	2	1	1	C6ED07
P60061	1	1	2	1	1	C6ED09
P33234	1	1	2	1	1	C6ED08
Q93K97	1	1	2	1	1	C6EHV9
P0AAP1	1	1	2	1	1	C6ELK2
P51981	1	1	2	1	1	C6EFQ7
P37127	1	1	2	1	1	C6EKP4
P50466	1	1	2	1	1	C6EHS4
P23872	1	1	2	1	1	C6EKY8
P42906	1	1	2	1	1	C6EH90
P42912	1	1	2	1	1	C6EH84
P06720	1	1	2	1	1	C6ED05
P0ACK2	1	1	2	1	1	C6EH96
P42907	1	1	2	1	1	C6EH89
P19926	1	1	2	1	1	C6EHK5
P0AE08	1	1	2	1	1	C6EK89
P35340	1	1	2	1	1	C6EK88
P33224	1	1	2	1	1	C6ECG2
P45565	1	1	2	1	1	C6E9U8
P00561	1	1	2	1	1	C6EBG7
P00562	1	1	2	1	1	C6EE68
P08660	1	1	2	1	1	C6EE00
P25553	1	1	2	1	1	C6EEU8
P37685	1	1	2	1	1	C6EE87
P0AB71	1	1	2	1	1	C6EII4
P0A991	1	1	2	1	1	C6EAL3
P05050	1	1	2	1	1	C6E9Y7
P0A955	1	1	2	1	1	C6EBX8
P77731	1	1	2	1	1	C6EKW0
P77671	1	1	2	1	1	C6EKV4
P77425	1	1	2	1	1	C6EKV0
P77555	1	1	2	1	1	C6EKU9
P75712	1	1	2	1	1	C6EKV5
P0ACN4	1	1	2	1	1	C6EKV9
P0ACR0	1	1	2	1	1	C6EKW1
P0A6B4	1	1	2	1	1	C6ED72
P29012	1	1	2	1	1	C6EGS7
P32721	1	1	2	1	1	C6ED36
P39265	1	1	2	1	1	C6ED35
P32720	1	1	2	1	1	C6ED37
P32719	1	1	2	1	1	C6ED38
P32718	1	1	2	1	1	C6ED39
P42601	1	1	2	1	1	C6EHQ7
P36548	1	1	2	1	1	C6EKR9
P26365	1	1	2	1	1	C6ECV9
P63883	1	1	2	1	1	C6EJ52
P75820	1	1	2	1	1	C6EIB4
P0AE12	1	1	2	1	1	C6EB87
P68767	1	1	2	1	1	C6EC91
P00811	1	1	2	1	1	C6ECX3
P13016	1	1	2	1	1	C6EAU7
P0AE14	1	1	2	1	1	C6EAU6
P0AE16	1	1	2	1	1	C6EL33
P0AD70	1	1	2	1	1	C6ELL2
P0AE18	1	1	2	1	1	C6EAB7
P04825	1	1	2	1	1	C6EI50
P15034	1	1	2	1	1	C6EIK0
P69681	1	1	2	1	1	C6EL12
P25718	1	1	2	1	1	C6EEA8
P26612	1	1	2	1	1	C6EBD4
P77570	1	1	2	1	1	C6EDK5
P77610	1	1	2	1	1	C6EER0
P62672	1	1	2	1	1	C6EB03
P05637	1	1	2	1	1	C6EB04
P0AB85	1	1	2	1	1	C6E9Y5
P0AE22	1	1	2	1	1	C6ED69
P26458	1	1	2	1	1	C6EHM9
P26459	1	1	2	1	1	C6EHN0
P69503	1	1	2	1	1	C6EKZ5
P08202	1	1	2	1	1	C6EAZ3
P08204	1	1	2	1	1	C6EAZ2
P0A9E0	1	1	2	1	1	C6EAZ1
P08203	1	1	2	1	1	C6EAZ4
P0AE24	1	1	2	1	1	C6EJ27
P02924	1	1	2	1	1	C6EBF9
P0AAF3	1	1	2	1	1	C6EBG0
P0AE26	1	1	2	1	1	C6EBT1
P23910	1	1	2	1	1	C6ELI8
P0A9Q1	1	1	2	1	1	C6EBH0
P0AEC3	1	1	2	1	1	C6EH17
P37306	1	1	2	1	1	C6EKU5
P0AAE5	1	1	2	1	1	C6EDP3
Q46807	1	1	2	2	1	C6EIN4;C6EF78
P77624	1	1	2	1	1	C6ELQ7
P0A6C5	1	1	2	1	1	C6EJ51
P0A6C8	1	1	2	1	1	C6EE50
P11446	1	1	2	1	1	C6EE51
P18335	1	1	2	1	1	C6EGA4
P23908	1	1	2	1	1	C6EE52
P27254	1	1	2	1	1	C6EIJ1
P11667	1	1	2	1	1	C6EII6
P0A6D0	1	1	2	1	1	C6EGZ4
P09551	1	1	2	1	1	C6ELE3
P75993	1	1	2	1	1	C6EGU8
P11447	1	1	2	1	1	C6EE49
P77398	1	1	2	1	1	C6E9U5
P77690	1	1	2	2	1	C6E9U7;C6EB46
P77757	1	1	2	1	1	C6E9U6
P76472	1	1	2	1	1	C6E9U4
P76473	1	1	2	1	1	C6E9U3
P0A6D3	1	1	2	1	1	C6EI74
P07639	1	1	2	1	1	C6EFI7
P12008	1	1	2	1	1	C6ELC4
P05194	1	1	2	1	1	C6ECR4
P15770	1	1	2	1	1	C6EGI5
P00888	1	1	2	1	1	C6EJZ1
P0AB91	1	1	2	1	1	C6EJJ0
P00887	1	1	2	1	1	C6ECQ2
P0A6D7	1	1	2	1	1	C6EFI6
P0A6E1	1	1	2	1	1	C6ELJ9
P0AE28	1	1	2	1	1	C6ELJ7
P15993	1	1	2	1	1	C6EAU5
P0AB93	1	1	2	1	1	C6EEI2
P0AB96	1	1	2	1	1	C6EEI1
P37309	1	1	2	1	1	C6EEI3
P30859	1	1	2	1	1	C6EIB8
P30860	1	1	2	1	1	C6EIC1
P0AE30	1	1	2	1	1	C6EIC0
P0AAF6	1	1	2	1	1	C6EIB7
P0AE34	1	1	2	1	1	C6EIB9
P24240	1	1	2	1	1	C6EJR5
P24242	1	1	2	1	1	C6EJR7
P25549	1	1	2	1	1	C6EG14
P25550	1	1	2	1	1	C6EG15
P28249	1	1	2	1	1	C6EAP3
P00963	1	1	2	1	1	C6EG59
P22106	1	1	2	1	1	C6EJR1
P0ACI6	1	1	2	1	1	C6EG60
P0AC38	1	1	2	1	1	C6ECY6
P0A962	1	1	2	1	1	C6ECJ0
P00805	1	1	2	1	1	C6EIF4
P0A6E4	1	1	2	1	1	C6EH54
P0AE37	1	1	2	1	1	C6ECL1
P76216	1	1	2	1	1	C6ECL3
P77581	1	1	2	1	1	C6ECL0
P76217	1	1	2	1	1	C6ECL2
P76215	1	1	2	1	1	C6ECL4
P0A951	1	1	2	1	1	C6EDR4
P03959	1	1	2	1	1	C6EJN6
P03960	1	1	2	1	1	C6EJN7
P03961	1	1	2	1	1	C6EJN8
P0ABB8	1	1	2	1	1	C6ECA6
P76459	1	1	2	1	1	C6E9X8
P76461	1	1	2	1	1	C6E9X6
Q06065	1	1	2	1	1	C6E9Y0
P76458	1	1	2	1	1	C6E9X9
P76460	1	1	2	1	1	C6E9X7
Q06067	1	1	2	1	1	C6E9Y1
P0AB98	1	1	2	1	1	C6EG65
P0ABB0	1	1	2	1	1	C6EG69
P0ABB4	1	1	2	1	1	C6EG71
P0ABA4	1	1	2	1	1	C6EG68
P0A6E6	1	1	2	1	1	C6EG72
