EG	GN	ECK	SP	WISC	CG	GI	JW	ASAP	EB	Type	Status	Len	Ori	LeftEnd	RightEnd	Cs	Syn	MN	Description	Comments	MW	
EG10001	alr	ECK4045	P0A6B4	b4053	CG1034	g1790487	JW4013	13272	EB0001	aa	OK	359	Clockwise	4263805	4264884	91.90	Null	Alanine racemase	Alanine racemase	Null	39152.94
EG10002	modB	ECK0753	P0AF01	b0764	CG18478	g1786980	JW0747	2603	EB0002	aa	OK	229	Clockwise	795085	795774	17.14	chlJ	Molybdenum	Molybdate uptake; chlorate resistance; membrane-spanning ABC protein	Null	24938.82
EG10003	cysZ	ECK2408	P0A6J3	b2413	Null	g1788753	JW2406	7953	EB0003	aa	OK	253	Clockwise	2529485	2530246	54.52	Null	Cysteine	Function unknown, upstream of cysK	Null	29305.00
EG10004	dfp	ECK3629	P0ABQ0	b3639	CG18430	g87082301	JW5642	11896	EB0004	aa	ALT_INIT[-24]; Verified[1]	406	Clockwise	3810754	3811974	82.13	coaBC	DNA synthesis FlavoProtein	Coenzyme A biosynthesis, bifunctional enzyme; phosphopantothenoylcysteine decarboxylase (N) and phosphopantothenoylcysteine synthase (C)	Dfp was originally identified as a flavoprotein affecting DNA synthesis and pantothenate metabolism.  The N-terminal domain catalyzes the decarboxylation of (R)-4'-phospho-N-pantothenoylcysteine to 4'-phosphopantetheine.  	43438.14
EG10005	fruB	ECK2162	P69811	b2169	CG17515	g1788494	JW2156	7180	EB0005	aa	OK	376	Counterclockwise	2260387	2261517	48.72	fpr;fruF	Fructose	Fructosephosphotransferase enzyme III	3/70 FruB peptide masses from MS analysis confirm this start codon and indicate that the initial Met is not removed (Maillet, 2007).	39647.83
EG10006	dcuB	ECK4116	P0ABN9	b4123	CG34479	g1790565	JW4084	13503	EB0006	aa	OK	446	Counterclockwise	4345427	4346767	93.66	genF	Dicarboxylate uptake	C4-dicarboxylate transporter, anaerobic	IT (Ion Transporter) superfamily (Prakash, 2003). ST(3) structural class based on hydropathy profile (Lolkema, 2003). DcuB is required for D-tartrate anaerobic transport (Kim, 2007).	47935.26
EG10007	hisM	ECK2301	P0AEU3	b2307	CG25879	g1788645	JW2304	7613	EB0007	aa	OK	238	Counterclockwise	2422539	2423255	52.21	Null	Histidine	Histidine transport permease	Null	26869.81
EG10008	zraS	ECK3995	P14377	b4003	CG34249	g1790436	JW3967	13088	EB0008	aa	OK	465	Clockwise	4199949	4201346	90.52	hydH	Zn resistance-associated	Two component sensor kinase for ZraP; responsive to Zn(2+) and Pb(2+); autoregulated; regulation of Hyd-3 activity is probably due to crosstalk of overexpressed protein	Null	51031.80
EG10011	yaaA	ECK0006	P0A8I3	b0006	Null	g1786187	JW0005	18	EB0011	aa	OK	258	Counterclockwise	5683	6459	0.12	Null	Systematic nomenclature	Peroxide resistance protein, lowers intracellular iron	Mutants of yaaA in an Hpx- background (katE katG ahpCF) grow poorly, have extensive DNA damage and are filamentous; these phenotypes are due to elevated unincorporated intracellular iron levels that are suppressible by iron chelators (Liu, 2011). Although previous microarray results demonstrated a 4-fold elevation of yaaA expression by hydrogen peroxide in an oxyR mutant, this activation could not be reproduced with LacZ fusions or real time PCR (Zheng, 2001; Liu, 2011). Low abundance protein. UPF0246 family.	29585.83
EG10012	cydC	ECK0877	P23886	b0886	CG17725	g1787112	JW0869	3012	EB0012	aa	OK	573	Counterclockwise	926697	928418	19.97	mdrA;mdrH;surB;ycaB	Cytochrome d	Glutathione, cysteine export permease/ATP-binding protein; ABC transporter; exports glutathione and cysteine to the periplasm as required for cytochrome assembly; fused ABC subunits: N-terminal permease domain and C-terminal cytoplasmic ATP-binding domain	Glutathione transport is more efficient than cysteine transport (Pittmann, 2005). Exogenous glutathione or cysteine rescues the swarming motiltiy defect and benzylpenicillin hypersensitivity of cydDC mutants (Pittmann, 2002; 2005).	62920.17
