Merge ID	Entry name (Uniprot)	TableS3_K12_ProteomeV13_BasicProteome Duplicates
Q6BF86	LDRA_ECOLI	B
P37388	XYLG_ECOLI	F1
P75616	YAAX_ECOLI	G
P64485	YEAQ_ECOLI	B
P00805	ASPG2_ECOLI	G
P00904	TRPG_ECOLI	F1
P02916	MALF_ECOLI	B
P02924	ARAF_ECOLI	G
P02932	PHOE_ECOLI	H
P02943	LAMB_ECOLI	H
P03959	ATKA_ECOLI	B
P04816	LIVK_ECOLI	G
P05050	ALKB_ECOLI	B
P05824	RECN_ECOLI	B
P07021	YFIB_ECOLI	I
P07102	PPA_ECOLI	G
P08370	YGDB_ECOLI	G
P08371	PPDB_ECOLI	B
P08550	CVPA_ECOLI	B
P09836	UHPC_ECOLI	B
P0A6E9	BIOD2_ECOLI	B
P0A754	KEFF_ECOLI	F1
P0A7H3	RECO_ECOLI	B
P0A8S5	USPB_ECOLI	B
P0A8X4	YCCT_ECOLI	G
P0A996	GLPC_ECOLI	F1
P0A9C0	GLPA_ECOLI	F1
P0AA47	YEEF_ECOLI	B
P0AA49	YFDV_ECOLI	B
P0AA63	YQJA_ECOLI	B
P0AA99	YAFK_ECOLI	G
P0AAD2	MTR_ECOLI	B
P0AAD8	TDCC_ECOLI	B
P0AAE5	ARCD_ECOLI	B
P0AAE8	CADB_ECOLI	B
P0AAK7	NRFC_ECOLI	G
P0AAL3	NAPG_ECOLI	G
P0AAL6	YDHY_ECOLI	B
P0AAM1	CYBH_ECOLI	B
P0AAP1	ADRA_ECOLI	B
P0AAX6	MCBA_ECOLI	G
P0AAY4	YBJH_ECOLI	G
P0AAZ0	YBJO_ECOLI	B
P0AB40	BHSA_ECOLI	G
P0AB85	APBE_ECOLI	E
P0ABG1	CDSA_ECOLI	B
P0ABH4	MRED_ECOLI	B
P0ABK7	CSGB_ECOLI	F4
P0ABK9	NRFA_ECOLI	G
P0ABL3	NAPB_ECOLI	G
P0ABL5	NAPC_ECOLI	B
P0ABT8	YIJE_ECOLI	B
P0ABV2	EXBD_ECOLI	B
P0AC26	NIRC_ECOLI	B
P0AC55	GLNK_ECOLI	F1
P0ACJ5	YBAO_ECOLI	B
P0ACN2	YTFH_ECOLI	B
P0ACV2	DDG_ECOLI	B
P0ACX0	YDGC_ECOLI	B
P0AD03	YEBS_ECOLI	B
P0AD17	YOHC_ECOLI	B
