Entry name K12 (Uniprot)	Entry name BL21(DE3) (Uniprot)	Total #Tryptic Peptides	# Detectable Tryptic Peptides	mean m/z	mean gravy	mean mass
Null	C6EAN2_ECOBD	1	1	1535,433503	0,75952381	4606,30051
Null	C6EAN3_ECOBD	2	1	1437,764306	0,591111111	4929,47762
Null	C6EAN4_ECOBD	3	2	1172,202229	0,566163793	2474,73933
Null	C6EB50_ECOBD	15	7	1162,400902	1,128018083	2732,914833
Null	C6EBE7_ECOBD	5	3	868,071305	0,745384294	1859,951143
Null	C6EBQ6_ECOBD	2	2	958,9976825	0,861666667	1917,995365
Null	C6EC74_ECOBD	15	4	807,8337838	1,285717703	1615,667568
Null	C6ECB0_ECOBD	6	2	938,6222396	0,517302053	2252,693375
Null	C6EE88_ECOBD	5	3	973,162682	0,651010101	2078,138213
Null	C6EF70_ECOBD	8	5	1109,07391	0,318230994	2218,14782
Null	C6EFV9_ECOBD	4	1	1684,36896	0,507142857	3368,73792
Null	C6EG29_ECOBD	7	3	929,5098246	0,893817878	2115,399377
Null	C6EGC6_ECOBD	6	3	696,1403088	1,372083333	1583,55069
Null	C6EGC8_ECOBD	2	1	1219,30811	1,234375	3657,92433
Null	C6EGJ2_ECOBD	7	2	931,3270442	1,605172414	2096,16438
Null	C6EHV3_ECOBD	9	1	1163,98925	1,943478261	2793,5742
Null	C6EKK5_ECOBD	7	3	737,7286433	0,948809524	1475,457287
Null	C6EL64_ECOBD	4	2	983,1683586	0,762139423	2645,3518
LDRA_ECOLI	Null	2	1	1487,856913	1,053125	3570,85659
YQEJ_ECOLI	Null	17	9	1255,355688	1,671388889	2510,711377
HYFC_ECOLI	Null	17	9	1177,524601	0,896773504	2820,733173
HOKB_ECOLI	Null	6	3	1105,989272	0,813958365	2450,552831
RCNA_ECOLI	Null	12	6	1044,16161	0,540536398	2108,485547
YBHI_ECOLI	Null	11	7	801,1704837	0,687967372	1794,6342
YEAQ_ECOLI	Null	5	3	961,8879594	0,938527112	2094,857145
XAPB_ECOLI	Null	13	4	859,4590594	0,367882873	1750,295815
YJEO_ECOLI	Null	7	5	982,9267189	0,37494478	1998,145707
YIGG_ECOLI	Null	6	3	859,3855992	1,127588384	1718,771198
CSTA_ECOLI	Null	15	8	973,8092697	0,306085231	1982,983442
LSRD_ECOLI	Null	9	3	837,63251	0,705941436	1735,708138
NUPG_ECOLI	Null	11	5	951,7134833	0,409784014	2116,265463
MODB_ECOLI	Null	16	10	1263,541933	1,129733364	2815,019703
ECNA_ECOLI	Null	5	2	1063,713211	1,087519714	2268,2316
HOKC_ECOLI	Null	5	2	1072,74747	0,630154293	2145,49494
YEAV_ECOLI	Null	10	4	987,8425569	0,435140625	2822,014825
YOHP_ECOLI	Null	3	1	1040,83605	0,951733355	2950,933766
DINQ_ECOLI	Null	5	2	999,5389776	0,60571712	2641,710617
YNHF_ECOLI	Null	2	1	1038,273465	0,751033211	2231,756424
YDGU_ECOLI	Null	4	1	1004,266808	0,676500551	2328,52457
YNCL_ECOLI	Null	3	1	959,0006421	0,967877185	2042,61508
YMGJ_ECOLI	Null	9	2	1364,768035	1,116304348	3679,420865
YKFM_ECOLI	Null	12	4	894,2103789	0,545403792	1770,471105
YAIO_ECOLI	C6ELM2_ECOBD	20	8	934,1562302	0,487088469	2277,674685
ARAJ_ECOLI	C6ELI8_ECOBD	12	6	969,1059123	0,496154335	2069,836601
BRNQ_ECOLI	C6ELI3_ECOBD	11	3	1004,476149	0,975858586	2270,164433
PROY_ECOLI	C6ELI2_ECOBD	13	4	1407,108258	0,1	3669,818305
YAJC_ECOLI	C6ELH7_ECOBD	9	4	981,0425901	0,295555556	3165,61156
PGPA_ECOLI	C6ELG6_ECOBD	10	4	815,085904	0,793213952	1744,515576
HISM_ECOLI	C6ELE6_ECOBD	16	11	873,0976878	0,523092146	2156,541304
HISQ_ECOLI	C6ELE5_ECOBD	14	6	1000,606132	1,234856198	3273,287403
CVPA_ECOLI	C6ELE0_ECOBD	10	8	1145,898992	0,779577555	3193,141098
YFCJ_ECOLI	C6ELD1_ECOBD	12	9	904,6829709	0,659347789	2030,218379
YFCA_ECOLI	C6ELC6_ECOBD	13	6	1170,049721	1,204106	3242,219293
SIXA_ECOLI	C6ELB4_ECOBD	8	4	931,9857962	0,337789649	1972,488863
YFDC_ECOLI	C6ELA5_ECOBD	17	9	1097,121593	1,527020202	3095,427403
DSDX_ECOLI	C6ELA3_ECOBD	15	6	834,1502585	0,582724868	2167,71588
EMRY_ECOLI	C6ELA1_ECOBD	11	4	1071,144049	0,817310277	3462,732966
YFDV_ECOLI	C6EL96_ECOBD	14	9	1144,777809	0,862234432	2953,304792
YPDA_ECOLI	C6EL88_ECOBD	18	9	1151,675591	1,042944559	2303,351182
PTFC1_ECOLI	C6EL82_ECOBD	13	7	840,7543167	0,585688567	1813,565388
YFEO_ECOLI	C6EL79_ECOBD	10	5	1092,531844	0,795459957	2665,085141
YFEH_ECOLI	C6EL69_ECOBD	12	5	984,799312	0,768313742	3114,180596
CYSW_ECOLI	C6EL54_ECOBD	11	8	815,1753823	0,676875	1966,73999
CYST_ECOLI	C6EL53_ECOBD	13	5	1239,148045	0,726774691	2478,29609
CYOE_ECOLI	C6EL38_ECOBD	12	5	1257,646092	1,550072802	2652,184513
CYOC_ECOLI	C6EL36_ECOBD	9	5	1110,606983	0,990840438	2430,384571
CYOB_ECOLI	C6EL35_ECOBD	10	7	977,9284202	0,458681509	2976,031783
AMPG_ECOLI	C6EL33_ECOBD	15	11	1160,641513	0,956207792	2926,96516
MDLB_ECOLI	C6EL14_ECOBD	18	13	1053,272412	0,520265722	2545,785598
AMTB_ECOLI	C6EL12_ECOBD	10	5	952,6886008	1,04624194	1905,377202
YBAN_ECOLI	C6EKZ6_ECOBD	12	5	819,2863733	0,861688312	1638,572747
YBAL_ECOLI	C6EKY6_ECOBD	13	6	1053,737679	0,686452081	2348,21493
FSR_ECOLI	C6EKY5_ECOBD	13	6	1007,013674	0,85821284	2170,726589
YBAT_ECOLI	C6EKX8_ECOBD	9	5	1045,866793	1,194253663	2091,733587
YBBM_ECOLI	C6EKX3_ECOBD	17	8	1211,11298	1,308182182	3177,927115
ALLP_ECOLI	C6EKV5_ECOBD	14	4	947,4988338	0,641439394	2295,45699
YBBY_ECOLI	C6EKV3_ECOBD	10	7	853,5723194	0,493417756	1892,529375
YBCI_ECOLI	C6EKT9_ECOBD	12	9	1045,51071	0,340045669	2329,876233
