EG	GN	SP	JW	Ori	LeftEnd	RightEnd
EG10001	alr	P0A6B4	JW4013	Clockwise	4263805	4264884
EG10002	modB	P0AF01	JW0747	Clockwise	795085	795774
EG10003	cysZ	P0A6J3	JW2406	Clockwise	2529485	2530246
EG10004	dfp	P0ABQ0	JW5642	Clockwise	3810754	3811974
EG10005	fruB	P69811	JW2156	Counterclockwise	2260387	2261517
EG10006	dcuB	P0ABN9	JW4084	Counterclockwise	4345427	4346767
EG10007	hisM	P0AEU3	JW2304	Counterclockwise	2422539	2423255
EG10008	zraS	P14377	JW3967	Clockwise	4199949	4201346
EG10011	yaaA	P0A8I3	JW0005	Counterclockwise	5683	6459
EG10012	cydC	P23886	JW0869	Counterclockwise	926697	928418
EG10013	yebA	P0AFS9	JW5304	Counterclockwise	1938337	1939659
EG10014	acrD	P24177	JW2454	Clockwise	2585617	2588730
EG10015	rodZ	P27434	JW2500	Counterclockwise	2639853	2640866
EG10016	garL	P23522	JW3095	Counterclockwise	3270809	3271579
EG10017	ispB	P0AD57	JW3154	Clockwise	3331732	3332703
EG10018	csrD	P13518	JW3221	Counterclockwise	3399414	3401354
EG10020	cpxR	P0AE88	JW3883	Counterclockwise	4102995	4103693
EG10021	yjiA	P24203	JW5790	Counterclockwise	4585932	4586888
EG10022	aceA	P0A9G6	JW3975	Clockwise	4215132	4216436
EG10023	aceB	P08997	JW3974	Clockwise	4213501	4215102
EG10024	aceE	P0AFG8	JW0110	Clockwise	123017	125680
EG10025	aceF	P06959	JW0111	Clockwise	125695	127587
EG10026	aceK	P11071	JW3976	Clockwise	4216619	4218355
EG10027	ackA	P0A6A3	JW2293	Clockwise	2411492	2412694
EG10028	pflA	P0A9N4	JW0885	Counterclockwise	949563	950303
EG10029	ada	P06134	JW2201	Counterclockwise	2307363	2308427
EG10030	add	P22333	JW1615	Clockwise	1700257	1701258
EG10031	adhE	P0A9Q7	JW1228	Counterclockwise	1294669	1297344
EG10032	adk	P69441	JW0463	Clockwise	496399	497043
EG10033	agp	P19926	JW0987	Clockwise	1064808	1066049
EG10034	alaS	P00957	JW2667	Counterclockwise	2817403	2820033
