Merge ID	1DG005_L2s_NSAF	1DG005_PEL_L2_NSAF	1DG006_L6_NSAF	1DG010_L1_NSAF	# Studies	TableS4_BL21_DE3_ProteomeV8 Duplicates	BL21(DE3) Entry name (Uniprot)	Subcellular Location (Uniprot)	TatP D-score	Protein Len	Protein MW	Unique Peptides	Unique Spectra	Total #spectra	Protein MW	Protein Len	Unique Peptides	Unique Spectra	Total #spectra	Protein MW	Protein Len	Unique Peptides	Unique Spectra	Total #spectra	Protein MW	Protein Len	Unique Peptides	Unique Spectra	Total #spectra
# Proteins =>	1391	1214	1178	828	Novel: 11
C6EED2_ECOBD	0	0	0	0	0	3MG1_ECOLI	C6EED2_ECOBD	A	3-methyl-adenine DNA glycosylase I, constitutive (EC 3.2.2.20) (DNA-3-methyladenine glycosylase I) (EC 3.2.2.20)																				
C6EAN9_ECOBD	0	0	0	0	0	3MG2_ECOLI	C6EAN9_ECOBD	A	3-methyl-adenine DNA glycosylase II (EC 3.2.2.21) (DNA-3-methyladenine glycosylase II) (EC 3.2.2.21)																				
C6EB56_ECOBD	1	1	1	1	4	6PGD_ECOLI	C6EB56_ECOBD	A	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	468	1,101.50	12	12	14	1,101.50	468	12	12	13	2,121.03	468	6	6	6	1,056.55	468	3	3	3
C6EGL9_ECOBD	1	1	1	1	4	AAEA_ECOLI	C6EGL9_ECOBD	B	p-hydroxybenzoic acid efflux pump subunit AaeA (pHBA efflux pump protein A)	310	1,072.60	7	7	7	1,072.60	310	7	7	7	1,072.60	310	10	10	16	1,401.79	310	3	3	3
C6EGM0_ECOBD	0	0	0	0	0	AAEB_ECOLI	C6EGM0_ECOBD	B	p-hydroxybenzoic acid efflux subunit AaeB (p-hydroxybenzoic acid efflux system component)																				
C6EGL7_ECOBD	0	0	0	0	0	AAER_ECOLI	C6EGL7_ECOBD	B	Predicted DNA-binding transcriptional regulator, efflux system (Putative DNA-binding transcriptional regulator)																				
C6EGL8_ECOBD	0	0	0	0	0	AAEX_ECOLI	C6EGL8_ECOBD	B	Membrane protein of efflux system (Putative uncharacterized protein)																				
C6EJ32_ECOBD	1	1	1	1	4	AAS_ECOLI	C6EJ32_ECOBD	B	2-acyl-glycerophospho-ethanolamine acyltransferase (EC 2.3.1.40) (EC 6.2.1.20) (AMP-dependent synthetase and ligase)	719	1,575.77	14	15	21	1,021.54	719	14	14	16	1,103.61	719	24	27	39	7.294.188	719	24	27	36
C6EI54_ECOBD	1	1	1	1	4	AAT_ECOLI	C6EI54_ECOBD	A	Aspartate aminotransferase, PLP-dependent (EC 2.6.1.1) (Aspartate transaminase) (EC 2.6.1.1)	396	1,219.67	15	17	29	1,219.67	396	15	19	23	2,317.12	396	9	10	13	834.472	396	4	4	4
C6EER9_ECOBD	0	0	0	0	0	ABDH_ECOLI	C6EER9_ECOBD	A	Gamma-aminobutyraldehyde dehydrogenase (EC 1.2.1.19) (1-pyrroline dehydrogenase) (4-aminobutanal dehydrogenase)																				
