K12 Entry name (Uniprot)	BL21(DE3) Accession name (Uniprot)
LRHA_ECOLI	C6E9R2
NUOA_ECOLI	C6E9R4
NUOB_ECOLI	C6E9R5
NUOCD_ECOLI	C6E9R6
NUOE_ECOLI	C6E9R7
NUOF_ECOLI	C6E9R8
NUOG_ECOLI	C6E9R9
NUOH_ECOLI	C6E9S0
NUOI_ECOLI	C6E9S1
NUOL_ECOLI	C6E9S4
NUOM_ECOLI	C6E9S5
NUON_ECOLI	C6E9S6
YFBM_ECOLI	C6E9S9
MENF_ECOLI	C6E9T4
MEND_ECOLI	C6E9T5
MENH_ECOLI	C6E9T6
MENB_ECOLI	C6E9T7
MENC_ECOLI	C6E9T8
MENE_ECOLI	C6E9T9
PMRD_ECOLI	C6E9U0
ARNT_ECOLI	C6E9U3
ARND_ECOLI	C6E9U4
ARNA_ECOLI	C6E9U5
ARNC_ECOLI	C6E9U6
AIS_ECOLI	C6E9U8
CINAL_ECOLI	C6E9V1
GLPC_ECOLI	C6E9V8
GLPB_ECOLI	C6E9V9
GLPA_ECOLI	C6E9W0
GLPQ_ECOLI	C6E9W2
INAA_ECOLI	C6E9W4
YFAE_ECOLI	C6E9W5
RIR2_ECOLI	C6E9W6
RIR1_ECOLI	C6E9W7
UBIG_ECOLI	C6E9W9
GYRA_ECOLI	C6E9X0
YFAT_ECOLI	C6E9X2
YFAQ_ECOLI	C6E9X4
YFAP_ECOLI	C6E9X5
RCSC_ECOLI	C6E9Y2
APBE_ECOLI	C6E9Y5
ALKB_ECOLI	C6E9Y7
MQO_ECOLI	C6E9Y9
NAPD_ECOLI	C6E9Z3
NAPA_ECOLI	C6E9Z4
NAPG_ECOLI	C6E9Z5
NAPH_ECOLI	C6E9Z6
NAPB_ECOLI	C6E9Z7
NAPC_ECOLI	C6E9Z8
CCME_ECOLI	C6EA03
CCMF_ECOLI	C6EA04
CCMH_ECOLI	C6EA06
NARP_ECOLI	C6EA07
YEJM_ECOLI	C6EA09
NDPA_ECOLI	C6EA11
YEJH_ECOLI	C6EA13
RSUA_ECOLI	C6EA14
YEJF_ECOLI	C6EA17
YEJE_ECOLI	C6EA18
YEJB_ECOLI	C6EA19
RTN_ECOLI	C6EA21
SPR_ECOLI	C6EA22
YEIU_ECOLI	C6EA23
PROA_ECOLI	C6EA42
PROB_ECOLI	C6EA43
PHOE_ECOLI	C6EA44
FRSA_ECOLI	C6EA48
XGPT_ECOLI	C6EA49
PEPD_ECOLI	C6EA50
DPO4_ECOLI	C6EA56
YAFL_ECOLI	C6EA60
YAFK_ECOLI	C6EA64
YAFJ_ECOLI	C6EA65
GMHA_ECOLI	C6EA66
FADE_ECOLI	C6EA67
IVY_ECOLI	C6EA68
YAFV_ECOLI	C6EA69
DPO3E_ECOLI	C6EA75
RNH_ECOLI	C6EA76
YAFS_ECOLI	C6EA77
GLO2_ECOLI	C6EA78
MLTD_ECOLI	C6EA79
YAFE_ECOLI	C6EA80
YAFD_ECOLI	C6EA81
YAFC_ECOLI	C6EA82
DKGB_ECOLI	C6EA83
GMHB_ECOLI	C6EA84
METN_ECOLI	C6EA85
METQ_ECOLI	C6EA87
YAEB_ECOLI	C6EA89
SYP_ECOLI	C6EA90
NLPE_ECOLI	C6EA92
YAEJ_ECOLI	C6EA93
YAEQ_ECOLI	C6EA94
ROF_ECOLI	C6EA96
DCLZ_ECOLI	C6EA99
DPO3A_ECOLI	C6EAA1
RNH2_ECOLI	C6EAA2
LPXB_ECOLI	C6EAA3
LPXA_ECOLI	C6EAA4
FABZ_ECOLI	C6EAA5
LPXD_ECOLI	C6EAA6
YAET_ECOLI	C6EAA8
RSEP_ECOLI	C6EAA9
CDSA_ECOLI	C6EAB0
UPPS_ECOLI	C6EAB1
RRF_ECOLI	C6EAB3
PYRH_ECOLI	C6EAB4
RS2_ECOLI	C6EAB6
AMPM_ECOLI	C6EAB7
GLND_ECOLI	C6EAB8
DAPD_ECOLI	C6EAB9
YAEH_ECOLI	C6EAC1
CDAR_ECOLI	C6EAC2
DGTP_ECOLI	C6EAC4
MTNN_ECOLI	C6EAC5
BTUF_ECOLI	C6EAC6
ERPA_ECOLI	C6EAC8
GSA_ECOLI	C6EAD0
FHUD_ECOLI	C6EAD2
FHUC_ECOLI	C6EAD3
HRPB_ECOLI	C6EAD6
LIGT_ECOLI	C6EAD7
SFSA_ECOLI	C6EAD8
DKSA_ECOLI	C6EAD9
GLUQ_ECOLI	C6EAE0
PCNB_ECOLI	C6EAE1
PSUT_ECOLI	C6EAE9
NSR_ECOLI	C6EAF0
RIHB_ECOLI	C6EAF1
YEIE_ECOLI	C6EAF6
LYSP_ECOLI	C6EAF7
SFGH2_ECOLI	C6EAF9
GALS_ECOLI	C6EAG2
YEIA_ECOLI	C6EAG5
YEIT_ECOLI	C6EAG6
SANA_ECOLI	C6EAG8
CDD_ECOLI	C6EAG9
YOHK_ECOLI	C6EAH0
DUSC_ECOLI	C6EAH2
YOHF_ECOLI	C6EAH4
YOHC_ECOLI	C6EAH6
PBP7_ECOLI	C6EAH7
DLD_ECOLI	C6EAH8
BGLX_ECOLI	C6EAH9
OSMF_ECOLI	C6EAI0
YEHX_ECOLI	C6EAI2
MLRA_ECOLI	C6EAI5
YEHU_ECOLI	C6EAI6
YEHT_ECOLI	C6EAI7
YEHS_ECOLI	C6EAI8
SYM_ECOLI	C6EAJ7
MRP_ECOLI	C6EAJ8
THID_ECOLI	C6EAK7
YEGX_ECOLI	C6EAK8
YEGW_ECOLI	C6EAK9
YEGU_ECOLI	C6EAL1
YEGR_ECOLI	C6EAM3
YEGQ_ECOLI	C6EAM4
YEGP_ECOLI	C6EAM5
BAER_ECOLI	C6EAM6
BAES_ECOLI	C6EAM7
MDTB_ECOLI	C6EAN0
MDTA_ECOLI	C6EAN1
YEGI_ECOLI	C6EAN7
YEGD_ECOLI	C6EAN8
URK_ECOLI	C6EAP1
DCD_ECOLI	C6EAP2
ASMA_ECOLI	C6EAP3
YEGH_ECOLI	C6EAP4
WZA_ECOLI	C6EAP5
WZB_ECOLI	C6EAP6
WZC_ECOLI	C6EAP7
WCAA_ECOLI	C6EAP8
WCAB_ECOLI	C6EAP9
WCAC_ECOLI	C6EAQ0
WCAE_ECOLI	C6EAQ2
WCAF_ECOLI	C6EAQ3
GM4D_ECOLI	C6EAQ4
FCL_ECOLI	C6EAQ5
NUDD_ECOLI	C6EAQ6
WCAI_ECOLI	C6EAQ7
MANC_ECOLI	C6EAQ8
MANB_ECOLI	C6EAQ9
WCAJ_ECOLI	C6EAR0
WZXC_ECOLI	C6EAR1
WCAK_ECOLI	C6EAR2
WCAL_ECOLI	C6EAR3
WCAM_ECOLI	C6EAR4
GALF_ECOLI	C6EAR5
PANC_ECOLI	C6EAS4
PAND_ECOLI	C6EAS6
YADE_ECOLI	C6EAS7
YADI_ECOLI	C6EAS8
YADG_ECOLI	C6EAT0
CAN_ECOLI	C6EAT1
HPRT_ECOLI	C6EAT2
DHG_ECOLI	C6EAT3
YACC_ECOLI	C6EAT5
SPEE_ECOLI	C6EAT6
SPED_ECOLI	C6EAT7
YACL_ECOLI	C6EAT8
ACON2_ECOLI	C6EAT9
DLDH_ECOLI	C6EAU1
ODP1_ECOLI	C6EAU3
PDHR_ECOLI	C6EAU4
AROP_ECOLI	C6EAU5
AMPE_ECOLI	C6EAU6
AMPD_ECOLI	C6EAU7
NADC_ECOLI	C6EAU8
PPDD_ECOLI	C6EAU9
HOFB_ECOLI	C6EAV0
GUAC_ECOLI	C6EAV2
COAE_ECOLI	C6EAV3
YACF_ECOLI	C6EAV4
MUTT_ECOLI	C6EAV6
SECA_ECOLI	C6EAV7
SECM_ECOLI	C6EAV8
LPXC_ECOLI	C6EAV9
FTSA_ECOLI	C6EAW1
FTSQ_ECOLI	C6EAW2
DDLB_ECOLI	C6EAW3
MURC_ECOLI	C6EAW4
MURG_ECOLI	C6EAW5
MURF_ECOLI	C6EAW9
FTSI_ECOLI	C6EAX1
RSMH_ECOLI	C6EAX3
RLUA_ECOLI	C6EAZ7
LPTD_ECOLI	C6EAZ9
PDXA_ECOLI	C6EB01
RSMA_ECOLI	C6EB02
APAG_ECOLI	C6EB03
APAH_ECOLI	C6EB04
DYR_ECOLI	C6EB05
KEFF_ECOLI	C6EB07
YAAU_ECOLI	C6EB08
FIXC_ECOLI	C6EB10
FIXA_ECOLI	C6EB12
CAIT_ECOLI	C6EB13
CAIA_ECOLI	C6EB14
CAIC_ECOLI	C6EB15
CAID_ECOLI	C6EB16
CAIE_ECOLI	C6EB17
CAIF_ECOLI	C6EB18
CARB_ECOLI	C6EB19
CARA_ECOLI	C6EB20
DAPB_ECOLI	C6EB22
ISPH_ECOLI	C6EB24
FKBX_ECOLI	C6EB25
LSPA_ECOLI	C6EB26
SYI_ECOLI	C6EB27
RIBF_ECOLI	C6EB28
NHAR_ECOLI	C6EB34
DNAK_ECOLI	C6EB40
YAAI_ECOLI	C6EB41
YAAH_ECOLI	C6EB43
MOG_ECOLI	C6EB44
6PGD_ECOLI	C6EB56
UDG_ECOLI	C6EB57
HIS6_ECOLI	C6EB60
HIS5_ECOLI	C6EB62
HIS7_ECOLI	C6EB63
HIS8_ECOLI	C6EB64
HISX_ECOLI	C6EB65
HIS1_ECOLI	C6EB66
YEEZ_ECOLI	C6EB67
YEEY_ECOLI	C6EB68
YEEF_ECOLI	C6EB69
EX1_ECOLI	C6EB72
GYRI_ECOLI	C6EB74
YEEA_ECOLI	C6EB75
YEEX_ECOLI	C6EB76
COBU_ECOLI	C6EB79
COBT_ECOLI	C6EB81
ERFK_ECOLI	C6EB82
NAC_ECOLI	C6EB83
CBL_ECOLI	C6EB84
AMN_ECOLI	C6EB87
SHIA_ECOLI	C6EB88
MTFA_ECOLI	C6EB91
YODA_ECOLI	C6EB93
YEDZ_ECOLI	C6EB96
HIUH_ECOLI	C6EB98
YEDW_ECOLI	C6EB99
YEDV_ECOLI	C6EBA0
HCHA_ECOLI	C6EBA1
UVRC_ECOLI	C6EBE9
PGSA_ECOLI	C6EBF0
YECA_ECOLI	C6EBF1
FTNA_ECOLI	C6EBF4
FTNB_ECOLI	C6EBF8
ARAF_ECOLI	C6EBF9
ARAG_ECOLI	C6EBG0
TALB_ECOLI	C6EBG1
YAAJ_ECOLI	C6EBG2
YAAA_ECOLI	C6EBG3
THRC_ECOLI	C6EBG5
KHSE_ECOLI	C6EBG6
AK1H_ECOLI	C6EBG7
ARCA_ECOLI	C6EBH0
CREC_ECOLI	C6EBH2
CREB_ECOLI	C6EBH3
CREA_ECOLI	C6EBH4
ROB_ECOLI	C6EBH5
YJJX_ECOLI	C6EBH7
SLT_ECOLI	C6EBH9
YJJK_ECOLI	C6EBI0
NADR_ECOLI	C6EBI1
RADA_ECOLI	C6EBI2
SERB_ECOLI	C6EBI3
LPLA_ECOLI	C6EBI5
DEOD_ECOLI	C6EBI7
DEOB_ECOLI	C6EBI8
TYPH_ECOLI	C6EBI9
YJJW_ECOLI	C6EBJ2
YJJV_ECOLI	C6EBJ3
YJJU_ECOLI	C6EBJ4
OSMY_ECOLI	C6EBJ6
RF3_ECOLI	C6EBJ7
YJJG_ECOLI	C6EBJ8
RIMI_ECOLI	C6EBJ9
RSMC_ECOLI	C6EBK1
FHUF_ECOLI	C6EBK3
BGLJ_ECOLI	C6EBK4
YJJQ_ECOLI	C6EBK5
YJJP_ECOLI	C6EBK6
YJJB_ECOLI	C6EBK7
DNAC_ECOLI	C6EBK9
YJJA_ECOLI	C6EBL0
OTSB_ECOLI	C6EBT2
OTSA_ECOLI	C6EBT3
USPC_ECOLI	C6EBT4
MOTA_ECOLI	C6EBT7
MOTB_ECOLI	C6EBT8
CHER_ECOLI	C6EBU3
CHEB_ECOLI	C6EBU4
CHEZ_ECOLI	C6EBU6
FLHE_ECOLI	C6EBU9
SYR_ECOLI	C6EBV1
YECM_ECOLI	C6EBV2
CUTC_ECOLI	C6EBV3
TORY_ECOLI	C6EBV4
CMOB_ECOLI	C6EBV6
CMOA_ECOLI	C6EBV7
YECN_ECOLI	C6EBV8
YECE_ECOLI	C6EBV9
YECD_ECOLI	C6EBW0
SYD_ECOLI	C6EBW1
NUDB_ECOLI	C6EBW2
YEBB_ECOLI	C6EBW5
RUVA_ECOLI	C6EBW6
RUVB_ECOLI	C6EBW7
ZNUC_ECOLI	C6EBW9
YEBA_ECOLI	C6EBX1
MSBB_ECOLI	C6EBX2
KPYK2_ECOLI	C6EBX3
HEXR_ECOLI	C6EBX4
G6PD_ECOLI	C6EBX6
EDD_ECOLI	C6EBX7
ALKH_ECOLI	C6EBX8
YEBF_ECOLI	C6EBY1
PTRB_ECOLI	C6EBY4
EXOX_ECOLI	C6EBY5
YOBB_ECOLI	C6EBY6
YEBZ_ECOLI	C6EBY9
PRP1_ECOLI	C6EBZ1
YEBW_ECOLI	C6EBZ2
RSMF_ECOLI	C6EBZ4
YEBT_ECOLI	C6EBZ5
YEBS_ECOLI	C6EBZ6
PROQ_ECOLI	C6EBZ8
PRC_ECOLI	C6EBZ9
HTPX_ECOLI	C6EC00
YEBQ_ECOLI	C6EC01
KDGR_ECOLI	C6EC02
RLMA_ECOLI	C6EC08
YEBN_ECOLI	C6EC09
YOBD_ECOLI	C6EC10
PTND_ECOLI	C6EC11
PTNC_ECOLI	C6EC12
YOAE_ECOLI	C6EC15
ADRB_ECOLI	C6EC16
SDHL_ECOLI	C6EC17
NUDL_ECOLI	C6EC18
YOAC_ECOLI	C6EC21
YOAB_ECOLI	C6EC22
YOAA_ECOLI	C6EC23
YEAZ_ECOLI	C6EC24
YEAY_ECOLI	C6EC25
LCFA_ECOLI	C6EC26
RND_ECOLI	C6EC27
LEUE_ECOLI	C6EC32
YEAP_ECOLI	C6EC37
YEAO_ECOLI	C6EC39
YEAI_ECOLI	C6EC45
YEAH_ECOLI	C6EC46
MIPA_ECOLI	C6EC47
YEAE_ECOLI	C6EC48
YEAD_ECOLI	C6EC49
G3P1_ECOLI	C6EC50
MSRB_ECOLI	C6EC51
YDJL_ECOLI	C6EC53
YJGR_ECOLI	C6EC88
LPTG_ECOLI	C6EC89
AMPA_ECOLI	C6EC91
HOLC_ECOLI	C6EC92
SYV_ECOLI	C6EC93
YJGM_ECOLI	C6EC95
PYRB_ECOLI	C6ECA3
PYRI_ECOLI	C6ECA4
YJGF_ECOLI	C6ECA5
ATMA_ECOLI	C6ECA6
TRER_ECOLI	C6ECA7
PTTBC_ECOLI	C6ECA8
TREC_ECOLI	C6ECA9
NRDD_ECOLI	C6ECB1
NRDG_ECOLI	C6ECB2
PMBA_ECOLI	C6ECB4
YJGA_ECOLI	C6ECB5
MPL_ECOLI	C6ECB6
F16PA_ECOLI	C6ECB7
YTFQ_ECOLI	C6ECC1
IPYR_ECOLI	C6ECC2
YTFP_ECOLI	C6ECC3
YTFN_ECOLI	C6ECC4
YTFM_ECOLI	C6ECC5
MSRA_ECOLI	C6ECC6
YTFL_ECOLI	C6ECC7
YTFJ_ECOLI	C6ECC9
CPDB_ECOLI	C6ECD1
YTFH_ECOLI	C6ECD2
QOR2_ECOLI	C6ECD3
YTFF_ECOLI	C6ECD4
RCMNS_ECOLI	C6ECD5
CYCA_ECOLI	C6ECD6
RS6_ECOLI	C6ECE9
ULAF_ECOLI	C6ECF1
ULAE_ECOLI	C6ECF2
ULAD_ECOLI	C6ECF3
ULAA_ECOLI	C6ECF6
ULAG_ECOLI	C6ECF7
ULAR_ECOLI	C6ECF8
YJFP_ECOLI	C6ECF9
YJFN_ECOLI	C6ECG1
AIDB_ECOLI	C6ECG2
YJFL_ECOLI	C6ECG5
YJFK_ECOLI	C6ECG6
YJFI_ECOLI	C6ECG8
RLMB_ECOLI	C6ECG9
RNR_ECOLI	C6ECH0
NSRR_ECOLI	C6ECH1
PURA_ECOLI	C6ECH2
HFLX_ECOLI	C6ECH6
DPO3B_ECOLI	C6ECH8
RECF_ECOLI	C6ECH9
YIDB_ECOLI	C6ECI1
YDJJ_ECOLI	C6ECI3
YDJH_ECOLI	C6ECI5
YDJF_ECOLI	C6ECI7
YDJE_ECOLI	C6ECI8
PNCA_ECOLI	C6ECI9
ASPG1_ECOLI	C6ECJ0
SPPA_ECOLI	C6ECJ1
YDJA_ECOLI	C6ECJ2
SELD_ECOLI	C6ECJ3
TOP3_ECOLI	C6ECJ4
DHE4_ECOLI	C6ECJ6
NUDG_ECOLI	C6ECJ8
YNJE_ECOLI	C6ECK0
YNJA_ECOLI	C6ECK4
YDJZ_ECOLI	C6ECK5
EX3_ECOLI	C6ECK8
ASTC_ECOLI	C6ECL0
ASTA_ECOLI	C6ECL1
ASTB_ECOLI	C6ECL3
ASTE_ECOLI	C6ECL4
VES_ECOLI	C6ECL6
CHO_ECOLI	C6ECL7
NADE_ECOLI	C6ECL8
OSME_ECOLI	C6ECL9
PTQC_ECOLI	C6ECM1
PTQA_ECOLI	C6ECM2
CHBR_ECOLI	C6ECM3
CHBF_ECOLI	C6ECM4
CHBG_ECOLI	C6ECM5
CATE_ECOLI	C6ECM6
CEDA_ECOLI	C6ECM7
YDJM_ECOLI	C6ECN0
YNIC_ECOLI	C6ECN1
YNIB_ECOLI	C6ECN2
YNIA_ECOLI	C6ECN3
YDIZ_ECOLI	C6ECN4
K6PF2_ECOLI	C6ECN5
YDIY_ECOLI	C6ECN6
SYT_ECOLI	C6ECN8
SYFA_ECOLI	C6ECP3
BTUE_ECOLI	C6ECP7
BTUD_ECOLI	C6ECP8
NLPC_ECOLI	C6ECP9
AROH_ECOLI	C6ECQ2
YDIA_ECOLI	C6ECQ3
PPSA_ECOLI	C6ECQ5
FADK_ECOLI	C6ECQ6
YDIT_ECOLI	C6ECQ7
YDIS_ECOLI	C6ECQ8
YDIR_ECOLI	C6ECQ9
YDIQ_ECOLI	C6ECR0
YDIP_ECOLI	C6ECR1
AROD_ECOLI	C6ECR4
YDIB_ECOLI	C6ECR5
YDIN_ECOLI	C6ECR6
YDIJ_ECOLI	C6ECR9
YDII_ECOLI	C6ECS0
YDIH_ECOLI	C6ECS1
SUFB_ECOLI	C6ECS2
SUFC_ECOLI	C6ECS3
