Accession	Molecular Function (Uniprot)
P0CE63	RNA-3'-phosphate cyclase activity
P09147	racemase and epimerase activity, acting on carbohydrates and derivatives
P0A944	ribosomal-protein-alanine N-acetyltransferase activity
P0A862	thioredoxin peroxidase activity|hydroperoxide reductase activity
P0A796	magnesium ion binding|binding|ribonucleotide binding|identical protein binding|6-phosphofructokinase activity|ATP binding
A5A605	transporter activity
P0AFC0	dihydroneopterin triphosphate pyrophosphohydrolase activity
P26616	malate dehydrogenase (oxaloacetate-decarboxylating) activity
P77690	pyridoxal phosphate binding|transaminase activity
P0AC41	electron carrier activity|flavin adenine dinucleotide binding|succinate dehydrogenase activity
P0A8R9	sequence-specific DNA binding transcription factor activity
P12998	8-amino-7-oxononanoate synthase activity
P23883	aldehyde dehydrogenase [NAD(P)+] activity
P0AGD7	GTP binding|GTPase activity
P0CE60	pseudouridine synthase activity
P60757	ATP phosphoribosyltransferase activity
P52697	6-phosphogluconolactonase activity
P0AF36	identical protein binding
P76034	cyclic-guanylate-specific phosphodiesterase activity
P18843	NAD+ synthase activity
P20099	molybdenum ion binding|L-methionine-(S)-S-oxide reductase activity
P0AAE5	arginine decarboxylase activity
P0AEK4	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase activity
P33013	carboxypeptidase activity|penicillin binding
P76103	transmembrane transporter activity
P0A9J6	ribokinase activity
P32166	1,4-dihydroxy-2-naphthoate octaprenyltransferase activity
Q47141	sequence-specific DNA binding transcription factor activity
P0ACU5	sequence-specific DNA binding transcription factor activity
P0AF12	methylthioadenosine nucleosidase activity|adenosylhomocysteine nucleosidase activity
P18335	N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity|succinyldiaminopimelate transaminase activity
P15006	endopeptidase activity|peptidase activity
P22523	GTP binding|DNA binding|ATP binding
P38394	zinc ion binding
P0A9S3	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
Q9JMS2	sequence-specific DNA binding transcription factor activity
P0AFD6	oxidoreduction-driven active transmembrane transporter activity
P0AFI7	FMN binding|pyridoxamine-phosphate oxidase activity
P29680	uroporphyrinogen decarboxylase activity
Q46822	isopentenyl-diphosphate delta-isomerase activity
P69853	signal sequence binding
P76002	lysozyme inhibitor activity
P0AEG1	dipeptide transporter activity
P0CF28	ATP-dependent DNA helicase activity|exodeoxyribonuclease V activity|endonuclease activity
P0ACJ8	zinc ion binding
P0AAT4	mechanically-gated ion channel activity
P64636	IMP 5'-nucleotidase activity|GMP 5'-nucleotidase activity
P0A6W3	phospho-N-acetylmuramoyl-pentapeptide-transferase activity
P39263	glutathione transferase activity
P0C7L2	transferase activity
P75905	acetylglucosaminyltransferase activity
P76350	acetolactate synthase activity|transketolase activity
P0AET2	unfolded protein binding
P41072	DNA-dependent ATPase activity|DNA topoisomerase (ATP-hydrolyzing) activity|DNA binding
P13979	nitrite uptake transmembrane transporter activity
P22106	asparaginase activity|amino acid binding|asparagine synthase (glutamine-hydrolyzing) activity|ATP binding
P0A8I8	rRNA (pseudouridine-N3-)-methyltransferase activity
P77721	aldo-keto reductase (NADP) activity
P43337	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides
P22707	sequence-specific DNA binding transcription factor activity
P09152	nitrate reductase activity
P77213	ligase activity, forming carbon-nitrogen bonds
P26458	electron carrier activity|oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor
P39176	peptidoglycan L,D-transpeptidase activity|transferase activity, transferring amino-acyl groups|cysteine-type carboxypeptidase activity
P56980	glutathionylspermidine amidase activity|glutathionylspermidine synthase activity
P0A877	lyase activity|sulfate binding
P23871	ferrochelatase activity
P0AFS5	efflux transmembrane transporter activity
P0AEZ3	ATPase activity|ATP binding
P0AA37	pseudouridine synthase activity
P0AE88	sequence-specific DNA binding transcription factor activity
P11551	fucose:hydrogen symporter activity|arabinose:hydrogen symporter activity|galactose:hydrogen symporter activity|hexose:hydrogen symporter activity
P13029	peroxidase activity
P76349	carboxylesterase activity
P31134	putrescine-importing ATPase activity|ATP binding
P33026	sugar efflux transmembrane transporter activity
P0ABW0	2 iron, 2 sulfur cluster binding
P31069	voltage-gated potassium channel activity
P0AEY5	NADPH dehydrogenase (quinone) activity|flavin adenine dinucleotide binding
P0AC16	dihydroneopterin aldolase activity
P27254	GTPase activity
P33937	nitrate reductase activity
P15640	nickel ion binding|lactoylglutathione lyase activity
P52073	glycolate dehydrogenase activity
P36649	oxidoreductase activity, oxidizing metal ions|copper ion binding
P32140	mannose isomerase activity
P75876	acylphosphatase activity
P0AFU8	riboflavin synthase activity
P43672	ATPase activity|DNA binding
P0A8Q0	electron carrier activity
P0CF64	sulfathiazole transporter activity
P52043	CoA-transferase activity
Q46864	sequence-specific DNA binding
P39286	GDP binding|GTPase activity
P24215	ferrous iron binding
P23908	acetylornithine deacetylase activity|cobalt ion binding|zinc ion binding
P33643	pseudouridine synthase activity
P75851	alkanesulfonate transporter activity
P0AES2	glucarate dehydratase activity
P0A887	2-octaprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity
P69681	uniporter activity
P39411	nucleoside-triphosphatase activity
P0A9P6	RNA helicase activity|ATP-dependent RNA helicase activity
P13960	manganese ion binding|RNA ligase activity
P0A955	2-dehydro-3-deoxy-phosphogluconate aldolase activity
P32156	racemase and epimerase activity, acting on carbohydrates and derivatives
P0AB38	enzyme binding
P69434	substrate-specific transmembrane transporter activity
P0AFI0	ADP binding|thiamine pyrophosphate binding|oxalyl-CoA decarboxylase activity
P23367	ATPase activity|ATP binding
P25516	4 iron, 4 sulfur cluster binding|aconitate hydratase activity|mRNA 3'-UTR binding|iron ion binding|metal ion binding
P37146	manganese ion binding
Q46871	oxidoreductase activity, oxidizing metal ions, NAD or NADP as acceptor|flavin adenine dinucleotide binding
P17444	choline dehydrogenase activity
P0AG16	amidophosphoribosyltransferase activity
P22333	adenosine deaminase activity
P27302	transketolase activity
P77544	glutathione transferase activity
P0A9M5	xanthine phosphoribosyltransferase activity|hypoxanthine phosphoribosyltransferase activity
P0A6P1	zinc ion binding
P64602	phospholipid transporter activity
P64578	endoribonuclease activity
Q47129	sequence-specific DNA binding transcription factor activity
P77731	ureidoglycolate lyase activity
P17169	glutamine-fructose-6-phosphate transaminase (isomerizing) activity
P55135	4 iron, 4 sulfur cluster binding|rRNA (uridine-C5-)-methyltransferase activity
P75958	lipoprotein transporter activity
P33790	DNA binding
P0AG20	GTP diphosphokinase activity
P32709	nucleoside diphosphate kinase activity|identical protein binding
P43329	helicase activity
P11880	UDP-N-acetylmuramoyl-tripeptide-D-alanyl-D-alanine ligase activity
P0A9Q1	two-component response regulator activity
P69425	proton motive force dependent protein transmembrane transporter activity
P22256	pyridoxal phosphate binding|4-aminobutyrate transaminase activity
P13738	cation:cation antiporter activity
P09130	acetaldehyde dehydrogenase (acetylating) activity
P04993	ATP binding
P25437	S-(hydroxymethyl)glutathione dehydrogenase activity|protein homodimerization activity|zinc ion binding|alcohol dehydrogenase activity, zinc-dependent
Q93K97	ADP-ribose diphosphatase activity|magnesium ion binding
P0A7E5	CTP synthase activity
P0AGK1	transferase activity, transferring alkyl or aryl (other than methyl) groups|4-hydroxybenzoate octaprenyltransferase activity
P0C0T5	endopeptidase activity|peptidase activity
P77334	cyclic-guanylate-specific phosphodiesterase activity
P02358	structural constituent of ribosome
P0ABF1	polynucleotide adenylyltransferase activity|RNA binding
P39404	sequence-specific DNA binding transcription factor activity
P22939	geranyltranstransferase activity|dimethylallyltranstransferase activity
P0AFK9	polyamine-transporting ATPase activity
P76440	iron-sulfur cluster binding
P0A6H8	cardiolipin synthase activity
P38038	flavin reductase activity|FMN binding|flavin adenine dinucleotide binding
P0AFS3	dihydromonapterin reductase activity|dihydrofolate reductase activity
P67444	xanthine transmembrane transporter activity
P30131	carboxyl- or carbamoyltransferase activity
P68767	aminopeptidase activity|DNA binding
P0AG59	structural constituent of ribosome
P0AF90	ribonuclease inhibitor activity|enzyme binding
P77570	kinase activity
P52627	sigma factor antagonist activity
P0AEZ1	methylenetetrahydrofolate reductase (NADPH) activity|oxidoreductase activity
P28629	pyridoxal phosphate binding|arginine decarboxylase activity
P0A7A9	zinc ion binding
P39346	L-idonate 5-dehydrogenase activity
P76502	phosphohistidine phosphatase activity
P0CF50	unfolded protein binding|ATPase activity|ATP binding
P46889	ATPase activity|DNA translocase activity|sequence-specific DNA binding|DNA binding
P77243	2-methylcitrate dehydratase activity
P0AGC0	hexose-phosphate:inorganic phosphate antiporter activity
P0AB80	identical protein binding
P21889	aspartate-tRNA ligase activity
P0AGB0	phosphoserine phosphatase activity|magnesium ion binding
P0AA25	protein disulfide oxidoreductase activity
P0A972	single-stranded DNA binding|poly(A) RNA binding
P19925	(2,3-dihydroxybenzoyl)adenylate synthase activity
P69423	protein transporter activity|proton motive force dependent protein transmembrane transporter activity
P76335	bent DNA binding
P0AD65	drug binding|serine-type D-Ala-D-Ala carboxypeptidase activity|carboxypeptidase activity|penicillin binding
P31434	hydrolase activity, hydrolyzing O-glycosyl compounds
P0ADX9	rRNA (guanine-N2-)-methyltransferase activity
P75823	phenylserine aldolase activity|pyridoxal phosphate binding|L-allo-threonine aldolase activity
P76344	cadmium ion binding|zinc ion binding
P52643	nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase activity
P0AGM9	xanthine transmembrane transporter activity
P0AGE0	single-stranded DNA binding
P31825	tRNA (adenine-N6-)-methyltransferase activity
P33363	beta-glucosidase activity
P52097	tRNA(Ile)-lysidine synthase activity
P23845	GTPase activity
P25522	GTP binding|GTPase activity
P76000	sialic acid transmembrane transporter activity|oligosaccharide transporting porin activity
P0A9H1	pyrimidine-specific mismatch base pair DNA N-glycosylase activity
P24082	ribonucleoside-triphosphate reductase activity|CTP reductase activity
P37677	L-xylulokinase activity
P37690	hydrolase activity
P0ADA1	acyl-CoA thioesterase activity
P77199	peptidoglycan L,D-transpeptidase activity|transferase activity, transferring amino-acyl groups|cysteine-type carboxypeptidase activity
