Accession	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Gene names	Gene names (OLN)	Entry name	Subcellular locations	Protein existence	Protein family	Protein names	Gene Ontology ID	Keywords	Length	Gene location
A5A614	yciZ		b4596	JW1277	YCIZ_ECOLI		Inferred from homology	UPF0509 family	UPF0509 protein yciZ		Complete proteome	57	
O32528	ypdI		b2376	JW2373	YPDI_ECOLI	"Cell membrane; Lipid-anchor. "	Predicted		Uncharacterized lipoprotein ypdI	GO:0005886	"Cell membrane; Complete proteome; Lipoprotein; Membrane; Palmitate; Signal"	91	
O32583	thiS	thiG1	b4407	JW3955	THIS_ECOLI		Evidence at protein level	Sulfur carrier protein ThiS family	Sulfur carrier protein ThiS (Thiamine biosynthesis protein ThiS)	"GO:0000166; GO:0009228"	"3D-structure; Complete proteome; Nucleotide-binding; Thiamine biosynthesis; Thioester bond"	66	
P00350	gnd		b2029	JW2011	6PGD_ECOLI		Evidence at protein level	6-phosphogluconate dehydrogenase family	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	"GO:0019521; GO:0050661; GO:0055114; GO:0006098; GO:0004616; GO:0042803"	"3D-structure; Complete proteome; Gluconate utilization; NADP; Oxidoreductase; Pentose shunt"	468	
P00363	frdA		b4154	JW4115	FRDA_ECOLI		Evidence at protein level	FAD-dependent oxidoreductase 2 family, FRD/SDH subfamily	Fumarate reductase flavoprotein subunit (EC 1.3.99.1)	"GO:0050660; GO:0009061; GO:0001539; GO:0005737; GO:0009055; GO:0022900; GO:0006113; GO:0009296; GO:0016020; GO:0005515; GO:0000104; GO:0006810"	"3D-structure; Complete proteome; Electron transport; FAD; Flavoprotein; Oxidoreductase; Transport"	602	
P00370	gdhA		b1761	JW1750	DHE4_ECOLI		Evidence at protein level	Glu/Leu/Phe/Val dehydrogenases family	NADP-specific glutamate dehydrogenase (NADP-GDH) (EC 1.4.1.4)	"GO:0005488; GO:0005737; GO:0006537; GO:0004354; GO:0055114"	"Complete proteome; Direct protein sequencing; NADP; Oxidoreductase"	447	
P00393	ndh		b1109	JW1095	DHNA_ECOLI	Cell membrane. 	Evidence at protein level	NADH dehydrogenase family	NADH dehydrogenase (EC 1.6.99.3)	"GO:0050660; GO:0008137; GO:0019646; GO:0044459; GO:0006810"	"3D-structure; Cell membrane; Complete proteome; Direct protein sequencing; Electron transport; FAD; Flavoprotein; Membrane; NAD; Oxidoreductase; Transport; Ubiquinone"	434	
P00448	sodA		b3908	JW3879	SODM_ECOLI		Evidence at protein level	Iron/manganese superoxide dismutase family	Superoxide dismutase [Mn] (EC 1.15.1.1) (MnSOD)	"GO:0005737; GO:0046872; GO:0055114; GO:0019430; GO:0004784"	"3D-structure; Complete proteome; Direct protein sequencing; Manganese; Metal-binding; Oxidoreductase"	206	
P00452	nrdA	dnaF	b2234	JW2228	RIR1_ECOLI		Evidence at protein level	Ribonucleoside diphosphate reductase large chain family	Ribonucleoside-diphosphate reductase 1 subunit alpha (EC 1.17.4.1) (Protein B1) (Ribonucleoside-diphosphate reductase 1 R1 subunit) (Ribonucleotide reductase 1)	"GO:0005524; GO:0006260; GO:0009263; GO:0015949; GO:0055114; GO:0005515; GO:0004748; GO:0005971"	"3D-structure; ATP-binding; Acetylation; Allosteric enzyme; Alternative initiation; Complete proteome; DNA replication; Direct protein sequencing; Disulfide bond; Nucleotide-binding; Oxidoreductase"	761	
P00509	aspC		b0928	JW0911	AAT_ECOLI	Cytoplasm. 	Evidence at protein level	Class-I pyridoxal-phosphate-dependent aminotransferase family	Aspartate aminotransferase (AspAT) (EC 2.6.1.1) (Transaminase A)	"GO:0004069; GO:0033585; GO:0004838; GO:0006532; GO:0005829; GO:0016212; GO:0042803; GO:0030170"	"3D-structure; Aminotransferase; Complete proteome; Cytoplasm; Direct protein sequencing; Pyridoxal phosphate; Transferase"	396	
P00547	thrB		b0003	JW0002	KHSE_ECOLI	Cytoplasm. 	Evidence at protein level	GHMP kinase family, Homoserine kinase subfamily	Homoserine kinase (HK) (HSK) (EC 2.7.1.39)	"GO:0005524; GO:0005737; GO:0004413; GO:0009088"	"ATP-binding; Amino-acid biosynthesis; Complete proteome; Cytoplasm; Kinase; Nucleotide-binding; Threonine biosynthesis; Transferase"	310	
P00550	mtlA		b3599	JW3573	PTM3C_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level		"PTS system mannitol-specific EIICBA component (EIICBA-Mtl) (EII-Mtl) [Includes: Mannitol permease IIC component (PTS system mannitol-specific EIIC component); Mannitol-specific phosphotransferase enzyme IIB component (EC 2.7.1.69) (PTS system mannitol-specific EIIB component); Mannitol-specific phosphotransferase enzyme IIA component (EC 2.7.1.-) (PTS system mannitol-specific EIIA component)]"	"GO:0016021; GO:0016301; GO:0009401; GO:0005886; GO:0005515; GO:0008982; GO:0005351"	"3D-structure; Cell inner membrane; Cell membrane; Complete proteome; Kinase; Membrane; Phosphotransferase system; Sugar transport; Transferase; Transmembrane; Transmembrane helix; Transport"	637	
P00561	thrA	thrA1 thrA2	b0002	JW0001	AK1H_ECOLI		Evidence at protein level	"Aspartokinase family; Homoserine dehydrogenase family"	"Bifunctional aspartokinase/homoserine dehydrogenase 1 (Aspartokinase I/homoserine dehydrogenase I) (AKI-HDI) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]"	"GO:0005524; GO:0050661; GO:0016597; GO:0004072; GO:0009090; GO:0004412; GO:0009089; GO:0055114; GO:0009088"	"ATP-binding; Allosteric enzyme; Amino-acid biosynthesis; Complete proteome; Direct protein sequencing; Kinase; Multifunctional enzyme; NADP; Nucleotide-binding; Oxidoreductase; Repeat; Threonine biosynthesis; Transferase"	820	
P00562	metL	metM	b3940	JW3911	AK2H_ECOLI		Evidence at protein level	"Aspartokinase family; Homoserine dehydrogenase family"	"Bifunctional aspartokinase/homoserine dehydrogenase 2 (Aspartokinase II/homoserine dehydrogenase II) (AKII-HDII) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]"	"GO:0005524; GO:0050661; GO:0004072; GO:0009090; GO:0004412; GO:0009089; GO:0009086; GO:0055114"	"ATP-binding; Amino-acid biosynthesis; Complete proteome; Direct protein sequencing; Kinase; Methionine biosynthesis; Multifunctional enzyme; NADP; Nucleotide-binding; Oxidoreductase; Transferase"	810	
P00579	rpoD	alt	b3067	JW3039	RPOD_ECOLI		Evidence at protein level	Sigma-70 factor family	RNA polymerase sigma factor rpoD (Sigma-70)	"GO:0003677; GO:0005515; GO:0006355; GO:0009408; GO:0003700; GO:0016987; GO:0006352; GO:0030528"	"3D-structure; Complete proteome; DNA-binding; Sigma factor; Transcription; Transcription regulation"	613	
P00582	polA	resA	b3863	JW3835	DPO1_ECOLI		Evidence at protein level	DNA polymerase type-A family	DNA polymerase I (POL I) (EC 2.7.7.7)	"GO:0008408; GO:0008409; GO:0003677; GO:0006281; GO:0006260; GO:0003887; GO:0005622; GO:0005515"	"3D-structure; Complete proteome; DNA damage; DNA repair; DNA replication; DNA-binding; DNA-directed DNA polymerase; Direct protein sequencing; Exonuclease; Hydrolase; Nuclease; Nucleotidyltransferase; Transferase"	928
P00634	phoA		b0383	JW0374	PPB_ECOLI	Periplasm. 	Evidence at protein level	Alkaline phosphatase family	Alkaline phosphatase (APase) (EC 3.1.3.1)	"GO:0004035; GO:0033748; GO:0000287; GO:0030613; GO:0042597; GO:0005515; GO:0008270"	"3D-structure; Complete proteome; Direct protein sequencing; Disulfide bond; Hydrolase; Magnesium; Metal-binding; Periplasm; Phosphoprotein; Signal; Zinc"	471
P00722	lacZ		b0344	JW0335	BGAL_ECOLI		Evidence at protein level	Glycosyl hydrolase 2 family	Beta-galactosidase (Beta-gal) (EC 3.2.1.23) (Lactase)	"GO:0004565; GO:0009341; GO:0030246; GO:0005990; GO:0046872; GO:0005515"	"3D-structure; Complete proteome; Direct protein sequencing; Glycosidase; Hydrolase; Magnesium; Manganese; Metal-binding; Sodium"	1024
P00803	lepB		b2568	JW2552	LEP_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Peptidase S26 family	Signal peptidase I (SPase I) (EC 3.4.21.89) (Leader peptidase I)	"GO:0016021; GO:0005886; GO:0016485; GO:0006508; GO:0008236; GO:0015643"	"3D-structure; Cell inner membrane; Cell membrane; Complete proteome; Disulfide bond; Hydrolase; Membrane; Protease; Transmembrane; Transmembrane helix"	324
P00804	lspA		b0027	JW0025	LSPA_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Peptidase A8 family	Lipoprotein signal peptidase (EC 3.4.23.36) (Prolipoprotein signal peptidase) (Signal peptidase II) (SPase II)	"GO:0004190; GO:0016021; GO:0005886; GO:0006508"	"Aspartyl protease; Cell inner membrane; Cell membrane; Complete proteome; Hydrolase; Membrane; Protease; Transmembrane; Transmembrane helix"	164
P00811	ampC	ampA	b4150	JW4111	AMPC_ECOLI	Periplasm. 	Evidence at protein level	Class-C beta-lactamase family	Beta-lactamase (EC 3.5.2.6) (Cephalosporinase)	"GO:0017001; GO:0008800; GO:0030288; GO:0005515; GO:0046677; GO:0042493"	"3D-structure; Antibiotic resistance; Complete proteome; Direct protein sequencing; Hydrolase; Periplasm; Signal"	377
P00816	cynS	cnt	b0340	JW0331	CYNS_ECOLI		Evidence at protein level	Cyanase family	Cyanate hydratase (Cyanase) (EC 4.2.1.104) (Cyanate hydrolase) (Cyanate lyase)	"GO:0003677; GO:0009440; GO:0008824; GO:0005737; GO:0016836"	"3D-structure; Complete proteome; Direct protein sequencing; Lyase"	156
P00861	lysA		b2838	JW2806	DCDA_ECOLI		Evidence at protein level	Orn/Lys/Arg decarboxylase class-II family	Diaminopimelate decarboxylase (DAP decarboxylase) (EC 4.1.1.20)	"GO:0008836; GO:0009089; GO:0005515"	"3D-structure; Amino-acid biosynthesis; Complete proteome; Decarboxylase; Lyase; Lysine biosynthesis; Pyridoxal phosphate"	420
P00864	ppc	glu	b3956	JW3928	CAPP_ECOLI		Evidence at protein level	PEPCase type 1 family	Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)	"GO:0015977; GO:0008964; GO:0005515; GO:0006099"	"3D-structure; Allosteric enzyme; Carbon dioxide fixation; Complete proteome; Lyase; Tricarboxylic acid cycle"	883
P00887	aroH		b1704	JW1694	AROH_ECOLI		Inferred from homology	Class-I DAHP synthase family	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	"GO:0003849; GO:0009073"	"Amino-acid biosynthesis; Aromatic amino acid biosynthesis; Complete proteome; Transferase"	348
P00888	aroF		b2601	JW2582	AROF_ECOLI		Evidence at protein level	Class-I DAHP synthase family	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	"GO:0003849; GO:0009073"	"Amino-acid biosynthesis; Aromatic amino acid biosynthesis; Complete proteome; Direct protein sequencing; Transferase"	356
P00892	ilvG		b4488		ILVG_ECOLI		Evidence at protein level	TPP enzyme family	Acetolactate synthase isozyme 2 large subunit (AHAS-II) (EC 2.2.1.6) (ALS-II) (Acetohydroxy-acid synthase II large subunit)	"GO:0050660; GO:0003984; GO:0009082; GO:0000287; GO:0005515; GO:0030976"	"Amino-acid biosynthesis; Branched-chain amino acid biosynthesis; Complete proteome; Direct protein sequencing; FAD; Flavoprotein; Magnesium; Metal-binding; Thiamine pyrophosphate; Transferase"	548
P00893	ilvI		b0077	JW0076	ILVI_ECOLI		Evidence at protein level	TPP enzyme family	Acetolactate synthase isozyme 3 large subunit (EC 2.2.1.6) (AHAS-III) (ALS-III) (Acetohydroxy-acid synthase III large subunit)	"GO:0050660; GO:0003984; GO:0009097; GO:0000287; GO:0030976; GO:0009099"	"Amino-acid biosynthesis; Branched-chain amino acid biosynthesis; Complete proteome; Direct protein sequencing; FAD; Flavoprotein; Magnesium; Metal-binding; Thiamine pyrophosphate; Transferase"	574
P00894	ilvH	brnP	b0078	JW0077	ILVH_ECOLI		Evidence at protein level	Acetolactate synthase small subunit family	Acetolactate synthase isozyme 3 small subunit (EC 2.2.1.6) (ALS-III) (Acetohydroxy-acid synthase III small subunit) (AHAS-III)	"GO:0003984; GO:0016597; GO:0009097; GO:0009099"	"3D-structure; Amino-acid biosynthesis; Branched-chain amino acid biosynthesis; Complete proteome; Transferase"	163
P00895	trpE		b1264	JW1256	TRPE_ECOLI		Evidence at protein level	Anthranilate synthase component I family	Anthranilate synthase component 1 (EC 4.1.3.27) (Anthranilate synthase component I)	"GO:0004049; GO:0000162"	"Amino-acid biosynthesis; Aromatic amino acid biosynthesis; Complete proteome; Direct protein sequencing; Lyase; Tryptophan biosynthesis"	520
P00903	pabA		b3360	JW3323	PABA_ECOLI		Evidence at protein level		Para-aminobenzoate synthase glutamine amidotransferase component II (EC 2.6.1.85) (ADC synthase)	"GO:0046820; GO:0004049; GO:0046656; GO:0006541"	"Complete proteome; Folate biosynthesis; Glutamine amidotransferase; Transferase"	187
