Merge ID	Masuda_et_al_Supple_rev2009(5)F	OurStudy	# Identified
	1570	1729	Novel: 341
Q6BF86	0	0	0	B
P37388	0	0	0	F1
P68066	1	1	2	A;78,43;2,16
P0ACF4	1	1	2	A;12,89;1,68
P75616	0	0	0	G
P64485	0	0	0	B
P00350	1	1	2	A;78,43;1
P00363	1	1	2	F1;5,47;5,08
P00370	1	1	2	A;0,19
P00393	1	1	2	F1;4,74;6,28
P00448	1	1	2	A;22
P00452	1	1	2	A;6,15;2,16
P00490	1	1	2	A;8,26;0,92
P00509	1	1	2	A;25,49;1,03
P00547	0	0	0	A
P00550	1	1	2	B;1,21;9
P00561	1	1	2	F1;1;0,33
P00562	1	1	2	A;0,54;0,15
P00579	1	1	2	A;5,49;4,62
P00803	1	1	2	B;0,72;10,45
P00804	0	0	0	B
P00805	1	0	1	G;1,24
P00811	1	0	1	G;0,21
P00861	0	0	0	A
P00864	1	1	2	A;2,29;0,43
P00887	1	1	2	A;0,52;0,69
P00888	0	0	0	A
P00895	0	0	0	A
P00903	0	1	1	A
P00904	0	0	0	F1
P00914	0	0	0	A
P00934	1	1	2	A;1,75;0,32
P00935	0	0	0	A
P00944	0	0	0	A
P00946	1	1	2	A;1
P00954	1	1	2	A;7,86
P00956	1	1	2	A_trl;10,31;0,51
P00959	1	1	2	A_trl;9;2,08
P00961	1	1	2	A_trl;24,88;6,79
P00962	1	1	2	A;7,41
P00963	1	1	2	A;2,16;0,52
P00968	1	1	2	A;30,62;6,31
P02358	1	1	2	A_trl;176,83;4,62
P02359	1	1	2	A_trl;162,79;137,95
P02413	1	1	2	A_trl;24,12;24,12
P02916	1	0	1	B;1;5,66
P02918	1	1	2	B;3,86
P02920	0	0	0	B
P02924	0	0	0	G
P02925	1	1	2	G;8;1,15
P02930	1	1	2	H;12,04;69,17
P02931	1	1	2	H;37,75;10,45
P02932	1	0	1	H;0,26
P02943	1	0	1	H;2,31;5,92
P03007	1	1	2	A;0,47
P03018	1	1	2	A;0,33;0,46
P03024	0	1	1	A
P03030	0	1	1	A
P03813	0	0	0	A
P03817	1	0	1	A;5,81
P03959	0	0	0	B
P03961	1	1	2	B;2,16
P04036	1	1	2	A;0,67
P04079	1	1	2	A;31,82;4,95
P04152	0	0	0	A
P04335	1	1	2	A;0,63;1,01
P04425	1	1	2	A;4,46
P04693	1	1	2	A;1,85;0,69
P04805	1	1	2	A;15,82;0,16
P04816	0	0	0	G
P04825	1	1	2	F1;3,12;0,25
P04951	1	1	2	A;2,87;0,97
P04968	0	1	1	B
P04983	1	0	1	F1;0,28;0,75
P04993	0	1	1	A
P04995	0	1	1	A
P05020	1	1	2	A;20,54
P05042	1	1	2	A;3,12;0,19
P05050	0	0	0	B
P05055	1	1	2	A;10,84;5,38
P05194	0	1	1	A
P05458	0	1	1	G
P05459	1	1	2	A;3,92
P05523	0	0	0	A
P05637	1	0	1	A;1
P05793	1	1	2	A;0,32
P05804	0	0	0	A
P05824	0	0	0	B
P05827	0	1	1	A
P05847	0	1	1	A
P05852	1	1	2	A;1;0,31
P06136	1	1	2	B;4,41
P06149	1	1	2	F1;0,78;0
P06282	1	1	2	B;5,66
P06610	1	1	2	A;1,15
P06611	1	1	2	F1;0,36
P06612	1	1	2	A;1,18;0,17
P06616	1	1	2	F1;1,96;0,97
P06709	1	1	2	B;0,27;0,44
P06710	1	1	2	A_trl;0,16;0,16
P06715	1	1	2	A;2,67
P06720	0	1	1	A
P06721	0	1	1	A
P06722	0	1	1	A
P06846	0	1	1	A
P06864	0	0	0	A
P06961	1	0	1	A;0,19
P06968	1	0	1	A;2,16
P06983	1	1	2	A;5,16;1,64
P06986	0	1	1	A
P06987	1	1	2	A;0,41
P06988	0	1	1	A
P06992	1	1	2	A_trl;3,39
P06999	1	1	2	A;1,05
P07000	0	1	1	F1
P07001	1	1	2	B;0,58;5,92
P07003	1	1	2	F1;0,29
P07004	1	1	2	A;1,89
P07014	1	1	2	F1;18,95;11,59
P07021	1	0	1	I;9
P07023	0	1	1	A
P07102	0	1	1	G
P07109	0	1	1	F1
P07118	1	1	2	A_trl;6;4,12
P07330	0	0	0	A
P07364	0	0	0	A
P07604	1	1	2	A;0,47;0,36
P07623	0	0	0	A
P07639	1	1	2	A;1,64;0,83
P07648	0	1	1	A
P07649	0	1	1	A
P07650	1	1	2	B;1,33
P07654	0	1	1	B
P07762	1	0	1	A;0,44
P07813	1	1	2	A;14;1,49
P07821	1	1	2	F1;1
P07822	0	1	1	G
P07862	1	1	2	A;0,67
P07913	1	1	2	A;9;1,74
P08142	1	1	2	A;1,37;0,21
P08178	1	1	2	A;1,89
P08179	0	1	1	A
P08192	1	1	2	A;2,16;1,31
P08200	1	1	2	B;77,14;2,16
P08201	1	0	1	A;0,87
P08244	1	1	2	A;6,36;1,93
P08312	1	1	2	A;10;2,51
P08331	1	1	2	G;0
P08337	0	0	0	A
P08368	0	0	0	A
P08370	0	0	0	G
P08371	0	0	0	B
P08373	1	0	1	A;2,16;0,54
P08394	0	0	0	A
P08395	1	1	2	B;0,42;4,72
P08400	0	1	1	B
P08401	0	1	1	B
P08506	1	1	2	F2;1,61;12,34
P08550	0	0	0	B
P08839	1	1	2	F1;16,48;6,05
P08997	1	1	2	A;2,38;0,23
P09029	0	0	0	A
P09030	1	1	2	A;2,98
P09053	1	1	2	A;0,29;0,47
P09126	1	1	2	A;0,47
P09152	1	1	2	F1;2,11;1
P09155	1	0	1	A;0,27
P09158	1	0	1	A;1,51
P09163	0	0	0	A
P09348	0	0	0	B
P09377	0	1	1	A
P09391	1	1	2	B;0,93
P09394	1	1	2	G;3,49
P09424	1	0	1	A;1,85
P09546	1	1	2	F1;5,74;6
P09549	1	1	2	B;22,71
P09832	0	1	1	A
P09836	0	0	0	B
P09980	0	1	1	A
P09996	1	0	1	A;2,16
P0A6A0	0	1	1	B
P0A6A3	1	1	2	A;14,51;0,39
P0A6B4	1	0	1	A;0,35
P0A6B7	1	1	2	A;18,57;7
P0A6C5	0	1	1	A
P0A6C8	0	1	1	A
P0A6D0	1	1	2	A;13,68
P0A6D5	0	0	0	A
P0A6D7	1	1	2	A;11,59
P0A6E1	0	1	1	A
P0A6E4	1	1	2	A;0,65;0,24
P0A6E9	0	0	0	B
P0A6F1	1	1	2	A;48;3,87
P0A6F3	1	1	2	A;46,71;2,43
P0A6F5	1	1	2	A;92,26;150,99
P0A6G3	0	0	0	A
P0A6G5	0	0	0	A
P0A6G7	1	1	2	A;18,31;4,18
P0A6H1	1	1	2	A;13,25;0,56
P0A6H5	1	1	2	A;10,72;5,21
P0A6H8	1	1	2	B;0,47
P0A6I3	1	0	1	A;0,44
P0A6I9	0	0	0	A
P0A6J1	0	1	1	B
P0A6J3	0	1	1	B
P0A6J5	1	1	2	F1;4,88;3,92
P0A6J8	1	1	2	A;7
P0A6K1	1	1	2	A;0,47
P0A6K3	1	1	2	A;1,37
P0A6K6	1	1	2	A;8,09;0,33
P0A6L2	1	1	2	A;5,49
P0A6L4	1	0	1	A;16,19;0,97
P0A6L9	1	1	2	A;1
P0A6M4	0	0	0	A
P0A6M8	1	1	2	A_trl;48,03;45,42
P0A6N4	1	1	2	A_trl;4,62;2,16
P0A6P5	1	1	2	A;5,04;1,21
P0A6P7	1	1	2	A;9;4,01
P0A6P9	1	1	2	A;45,42;1,37
P0A6Q3	1	1	2	A;15,68;4,99
P0A6Q6	1	1	2	F1;50,79
P0A6R0	1	1	2	A;7,66;1,05
P0A6R3	1	1	2	A;9
P0A6S0	0	0	0	I
P0A6S7	1	1	2	A;2,55;0,58
P0A6T1	1	1	2	A;12
P0A6T9	1	1	2	A;3161,28
P0A6U8	1	1	2	A;0,72;1,25
P0A6V1	1	0	1	A;1,15;0,41
P0A6V5	0	0	0	A
P0A6V8	1	0	1	A;1,58
P0A6W5	1	1	2	A;16,01
P0A6W9	1	1	2	A;2,03;1,56
P0A6X1	0	1	1	A_trl
P0A6X3	1	0	1	F1;2,16
P0A6Y8	1	1	2	F1;42,75;3,38
P0A6Z1	1	1	2	A;3,42;1
P0A6Z3	1	1	2	F1;20,13;4,31
P0A700	0	0	0	A
P0A703	0	0	0	A
P0A715	1	1	2	A;11,33;0,87
P0A717	1	1	2	A;26,38;14
P0A720	1	1	2	A;0,85;0,85
P0A722	1	1	2	A;1,51
P0A725	1	1	2	A;0,54
P0A729	1	0	1	A;1
P0A731	1	0	1	A;12,89
P0A734	1	1	2	F1;25,83;1,68
P0A738	1	0	1	A;1
P0A744	0	1	1	A
P0A746	1	0	1	A;12,34
P0A752	0	0	0	A
P0A754	0	0	0	F1
P0A756	0	1	1	F1
P0A759	1	0	1	B;3,22;0,78
P0A763	1	1	2	A;41,17;1,37
P0A766	0	0	0	B
P0A769	0	0	0	B
P0A772	0	0	0	A
P0A776	0	0	0	A
P0A784	1	1	2	A;2,83
P0A786	1	1	2	A;57;7,96
P0A790	1	1	2	A;16,78
P0A794	1	1	2	A;1,93
P0A796	1	1	2	A;4,78;0,73
P0A799	1	1	2	A;64,79;0,69
P0A7A5	1	1	2	A;0,87;0,52
P0A7A9	1	1	2	A;37,31;3,64
P0A7B1	1	1	2	F1;0,14;0,24
P0A7B3	0	0	0	F1
P0A7B5	1	1	2	A;2,63;1,09
P0A7B8	1	1	2	A;3,22;0,78
P0A7C2	1	1	2	A;1
P0A7C6	1	0	1	A;2,16
P0A7D4	1	1	2	A;17,59;1,89
P0A7D7	1	1	2	A;5,31;2,16
P0A7E1	1	1	2	F1;9,96;12,18
P0A7E3	0	1	1	A
P0A7E5	1	1	2	B;13,03;4,44
P0A7E9	1	1	2	A;7,58;3,64
P0A7F3	1	1	2	A;150,99;80,11
P0A7F6	1	0	1	A;4,82
P0A7F9	1	0	1	A;0,31
P0A7G2	1	1	2	A_trl;3,64
P0A7H0	0	1	1	A
P0A7H3	0	0	0	B
P0A7H6	1	0	1	A;0,67
P0A7I0	1	1	2	A;0,53
P0A7I4	1	1	2	A_trl;9;4,41
P0A7I7	1	1	2	A;7,25
P0A7J0	1	0	1	F1;4,01
P0A7J3	1	1	2	A_trl;19,31;19,31
P0A7K6	1	1	2	A_trl;99;6,74
P0A7R5	1	1	2	A_trl;58,95;20,54
P0A7R9	1	1	2	A_trl;20,54;9
P0A7S9	1	1	2	A_trl;137,95;192,07
P0A7T3	1	1	2	A_trl;67,13
P0A7U3	1	1	2	A_trl;397,11;2,98
P0A7V0	1	1	2	A_trl;340,45;38,81
P0A7V8	1	1	2	A_trl;83,83;12,89
P0A7W1	1	1	2	A_trl;40,25;33,55
P0A7W7	1	1	2	A_trl;16,78;1,61
P0A7X3	1	1	2	A_trl;38,81;18,95
P0A7X6	1	1	2	A_trl;5,58
P0A7Y0	1	1	2	A;7,48;2,16
P0A7Y4	0	0	0	A
P0A7Y8	0	1	1	A
P0A7Z0	1	1	2	A;14,85;1
P0A7Z4	1	1	2	A;70,97;25,83
P0A805	1	1	2	A;33,55
P0A809	0	0	0	A
P0A812	1	1	2	A;0,62
P0A817	1	1	2	A;12,69;1,31
P0A823	0	1	1	A
P0A825	1	1	2	A;19,81;2,51
P0A828	0	0	0	A
P0A832	1	1	2	A;4,99;1,15
P0A836	1	1	2	A;10,72;3,89
P0A840	1	0	1	A;1,37
P0A847	1	0	1	A;3,64;0,21
P0A850	1	1	2	A_trl;67,13;12,59
P0A853	1	0	1	A;43,17;21,64
P0A855	1	1	2	G;6,85;5,16
P0A858	1	1	2	A;45,42
P0A867	1	1	2	A;0,56
P0A870	1	1	2	A;53,84;3,49
P0A873	0	0	0	A
P0A879	0	1	1	B
P0A884	1	1	2	A_trl;4,88;0,43
P0A887	1	1	2	A;10,79;6
P0A894	1	1	2	A;2,59;0,67
P0A8A4	0	1	1	A
P0A8A8	1	1	2	A_trl;2,16
P0A8C1	0	1	1	A
P0A8C4	1	1	2	A;9
P0A8D0	1	0	1	A;3,33
P0A8D3	0	1	1	A
P0A8D6	0	1	1	A
P0A8E1	1	1	2	A;7,38
P0A8E5	0	0	0	A
P0A8E7	1	1	2	A;22
P0A8F0	1	1	2	A;176,83;11,12
P0A8F4	1	1	2	A;2,73;1,68
P0A8F8	1	1	2	A;0,18;0,18
P0A8G0	0	1	1	A
P0A8G3	1	0	1	A;0,38
P0A8I1	0	1	1	A
P0A8I3	0	1	1	A
P0A8I5	1	1	2	A;1,37;2,16
P0A8I8	0	1	1	A_trl
P0A8J4	1	1	2	A;14,85
P0A8J8	1	1	2	A;1,21;3,18
P0A8L1	1	1	2	A_trl;12,04;0,43
P0A8L5	0	0	0	A
P0A8L7	0	0	0	A
P0A8M0	1	1	2	A_trl;8,26;1,71
P0A8M3	1	1	2	A_trl;11,07;0,76
P0A8M6	1	0	1	A;3,22
P0A8N0	1	0	1	A;0,78
P0A8N3	1	1	2	A_trl;21,64;6
P0A8N5	1	1	2	A_trl;17,12;1,83
P0A8N7	0	0	0	A
P0A8P1	0	1	1	A_trl
P0A8P3	1	1	2	A;30,62
P0A8Q6	0	0	0	A
P0A8R7	1	1	2	B;1,93
P0A8S1	1	1	2	A;0,58
P0A8S5	0	0	0	B
P0A8T7	1	1	2	A;28,29;18,45
P0A8U0	0	1	1	F1
P0A8U2	0	1	1	A
P0A8U6	1	0	1	A;9
P0A8V2	1	1	2	A;27,41;14,35
P0A8V6	1	1	2	A;2,38;1
P0A8W0	0	1	1	A
P0A8W2	1	0	1	A;1,37
P0A8W5	1	1	2	A;1,15
P0A8W8	1	1	2	A;7,38
P0A8X0	1	1	2	A;2,16
P0A8X2	0	1	1	G
P0A8X4	0	0	0	G
P0A8Y1	1	1	2	A;0,78
P0A8Y3	1	0	1	A;0,67;0,67
P0A8Y5	1	1	2	A;2,98
P0A8Y8	0	0	0	A
P0A8Z0	1	1	2	A;0,93;1,68
P0A8Z3	0	1	1	F1
P0A8Z7	0	1	1	A
P0A901	1	1	2	I;0,93;5,11
P0A908	1	1	2	H;7,25;11,12
P0A912	1	1	2	I;4,34;11,33
P0A917	0	1	1	H
P0A921	1	1	2	H;0,64;10,79
P0A924	0	1	1	B
P0A930	0	0	0	I
P0A935	1	1	2	I;1,07;5,16
P0A937	1	1	2	I;99
P0A940	1	1	2	H;4,36;29,14
P0A944	0	0	0	A
P0A948	0	1	1	A
P0A951	1	1	2	A;1,03;0,43
P0A953	1	1	2	A;33;3,28
P0A955	1	1	2	A;9
P0A959	1	1	2	A;1,02;2,01
P0A962	1	0	1	A;0,58
P0A988	1	1	2	A;1,45;2,16
P0A993	1	1	2	A;22,71
P0A996	0	0	0	F1
P0A998	1	1	2	A;99;0,83;3,64
P0A9A2	0	0	0	A
P0A9A9	1	1	2	A;11,92
P0A9B2	1	1	2	A;109,07;9
P0A9B6	1	1	2	A;0,39;0,25
P0A9C0	1	0	1	F1;0,47;0,78
P0A9C5	1	1	2	A;90,52;9,93
P0A9C9	1	1	2	A;2,36
P0A9D2	1	1	2	A;2,83
P0A9D4	1	1	2	A;0,93;0,64
P0A9D8	1	1	2	A;45,42;2,98
P0A9E9	0	0	0	A
P0A9F1	1	0	1	A;0,78
P0A9F3	1	1	2	A;1,08;0,87
P0A9F6	0	1	1	A
P0A9G2	0	1	1	A
P0A9G4	0	0	0	A
P0A9G6	1	1	2	A;19,15;1,46
P0A9H3	1	0	1	A;0,18;0,18
P0A9H7	1	1	2	A;0,86;0,56
P0A9H9	0	0	0	A
P0A9I1	0	0	0	A
P0A9I3	0	0	0	A
P0A9I5	0	0	0	A
P0A9I8	0	0	0	A
P0A9J0	1	1	2	A;0,36
P0A9J4	0	1	1	G
P0A9J6	1	0	1	A;4,41
P0A9J8	1	1	2	A;0,96;0,21
P0A9K3	1	1	2	A;4,38;1,65
P0A9K7	1	1	2	F1;1,15;2,59
P0A9K9	1	1	2	A;16,78
P0A9L5	1	1	2	A;12,89;0,93
P0A9L8	1	1	2	A;1,51
P0A9M0	1	1	2	A;9,96;4,75
P0A9M2	1	1	2	A;25
P0A9M5	1	1	2	F1;25,83
P0A9N0	0	0	0	A
P0A9N4	1	1	2	A;1,57
P0A9N8	0	0	0	A
P0A9P0	1	1	2	F1;49,55;20,54
P0A9P4	1	1	2	G;33,15
P0A9P6	1	1	2	A;7;2,67
P0A9Q1	1	1	2	A;12,59;9
P0A9Q5	1	1	2	A_trl;12,69;9;4,34;0,47
P0A9Q7	1	0	1	A;11,16;14,54
P0A9Q9	1	1	2	B;7,73;2,87
P0A9R4	1	0	1	A;2,16
P0A9R7	1	1	2	F1;1,28;2,73
P0A9S1	1	0	1	A;0,29
P0A9S5	0	0	0	A
P0A9S7	0	1	1	F1
P0A9T0	1	1	2	A;1,64
P0A9T4	1	1	2	A;0,31
P0A9U1	0	1	1	F1
P0A9U3	1	1	2	F1;1,11;0,23
P0A9V1	1	1	2	F1;3,22;3,22
P0A9V5	0	0	0	A
P0A9W0	0	1	1	A
P0A9W3	1	1	2	F1;11,74;9,62
P0A9W6	1	0	1	A;9
P0A9W9	0	1	1	A
P0A9X1	1	1	2	F1;3,12
P0A9X4	1	1	2	F1;28,55;16,19
P0AA10	1	1	2	A_trl;1332,52;41,17
P0AA16	1	1	2	A;5,31;3,47
P0AA37	0	0	0	A_trl
P0AA39	1	1	2	A_trl;2,48;2,16
P0AA41	0	0	0	A
P0AA43	1	0	1	A_trl;2,51
P0AA47	1	0	1	B;1,68;2,73
P0AA49	0	0	0	B
P0AA53	1	1	2	B;7,73
P0AA63	0	0	0	B
P0AA73	0	0	0	B
P0AA84	0	1	1	F1
P0AA91	1	1	2	I;1,31
P0AA93	0	1	1	B
P0AA95	0	0	0	G
P0AA97	1	1	2	A;0,43
P0AA99	0	0	0	G
P0AAB2	0	0	0	A
P0AAB4	1	1	2	F1;0,71;1,15
P0AAB6	1	1	2	B;6,63;0,72
P0AAB8	0	0	0	A
P0AAC0	1	1	2	A;3,87;0,33
P0AAC4	0	1	1	B
P0AAC6	0	1	1	B
P0AAD2	0	0	0	B
P0AAD6	1	1	2	B;1,78;11,92
P0AAD8	1	0	1	B;0,58
P0AAE0	1	1	2	B;1,15
P0AAE5	0	0	0	B
P0AAE8	0	0	0	B
P0AAF3	0	0	0	F1
P0AAF6	1	1	2	F1;1,15
P0AAG5	1	1	2	B;0,35
P0AAH0	1	1	2	F1;0,47;1,78
P0AAH4	0	1	1	F1
P0AAH8	1	1	2	F1;1,25
P0AAI5	1	1	2	A;9;0,62
P0AAI9	1	1	2	A;12,89
P0AAJ1	0	0	0	F2
P0AAJ5	1	1	2	B;2,87;5,66
P0AAJ8	0	0	0	F2
P0AAK1	0	0	0	A
P0AAK4	0	0	0	A
P0AAK7	0	0	0	G
P0AAL3	0	0	0	G
P0AAL6	0	0	0	B
P0AAM1	0	0	0	B
P0AAM3	0	0	0	A
P0AAN1	0	1	1	A
P0AAN3	1	0	1	A;0,43
P0AAN9	0	0	0	A
P0AAP1	0	0	0	B
P0AAP3	0	1	1	A
P0AAP7	0	0	0	B
P0AAQ0	0	0	0	B
P0AAQ2	0	0	0	A
P0AAQ6	0	0	0	A
P0AAS0	1	1	2	B;2,98;5,31
P0AAS5	0	0	0	A
P0AAT2	0	0	0	A
P0AAT4	1	1	2	B;0,41;6,08
