Entry Name	Total #Tryptic Peptides	# Detectable Tryptic Peptides	Detectable(%)	mean gravy	mean m/z
P37388	21	12	57.1428571428571	822.550303981481	0.243333894455218
P64485	5	3	60	1255.35568833333	1.67138888888889
P00805	19	11	57.8947368421053	818.567158555556	-0.093595377232157
P00904	14	11	78.5714285714286	954.121657017544	-0.028635795167097
P02916	18	8	44.4444444444444	739.6043625	-0.585214285714286
P02920	13	5	38.4615384615385	986.075373095238	0.415082784648002
P02924	26	14	53.8461538461538	677.210712291667	-0.140821866625438
P02932	24	12	50	804.841401794872	-0.819890797859548
P02943	18	9	50	1084.10367402778	-0.29046083795709
P05050	16	12	75	825.438965131579	-0.0901607178697006
P05824	19	11	57.8947368421053	769.581115436905	-0.372075605680869
P07021	13	7	53.8461538461538	917.021581111111	-0.198479437229437
P08370	12	7	58.3333333333333	920.534920208333	0.1455880574452
P08371	18	8	44.4444444444444	790.738781875	0.126171626984127
P08550	10	8	80	961.887959375	0.938527112255561
P09348	15	6	40	905.732289319728	0.566502277314133
P09836	18	10	55.5555555555556	859.459059404762	0.367882872846108
P0A6E9	18	9	50	682.581729545455	-0.0274881545469782
P0A6S0	15	9	60	860.311355833333	-0.235115805581492
P0A754	11	7	63.6363636363636	862.4729539375	-0.208122552051124
P0A769	13	5	38.4615384615385	1112.1620977037	0.707762375555479
P0A7H3	27	10	37.037037037037	936.427528888889	-0.123639087301587
P0A8S5	10	5	50	973.809269722222	0.306085231193927
P0A8X4	22	10	45.4545454545455	757.756854090909	-0.0640056479468245
P0A996	27	16	59.2592592592593	684.236286208333	-0.247280545954941
P0A9C0	20	13	65	806.391744403509	-0.0153509738125123
P0AA47	10	4	40	1009.10623133333	0.124564544650751
P0AA63	12	7	58.3333333333333	951.713483333333	0.409784013605442
P0AA99	23	12	52.1739130434783	775.326508333333	-0.317422633947196
P0AAD2	12	5	41.6666666666667	1040.83604972222	0.951733354704591
P0AAD8	10	5	50	1038.2734647619	0.751033210649
P0AAE5	12	6	50	959.000642083333	0.967877184543851
P0AAE8	8	2	25	1364.768035	1.11630434782609
P0AAK7	25	10	40	775.58976051282	0.0629213184476342
P0AAL3	25	15	60	668.612160588235	-0.0993781423255107
P0AAL6	20	9	45	913.1588005	0.0874613570885314
P0AAM1	16	11	68.75	934.156230185185	0.48708846889105
P0AAP7	7	4	57.1428571428571	825.432545	0.383542663476874
P0AAQ0	5	2	40	1298.52858444444	1.11597222222222
P0AAX6	6	2	33.3333333333333	1407.10825833333	0.1
P0AAY4	4	3	75	981.042590071429	0.295555555555556
P0AAZ0	12	7	58.3333333333333	815.085903958333	0.793213952247566
P0AB40	7	3	42.8571428571429	1050.00283708333	0.201010101010101
P0AB85	18	12	66.6666666666667	748.170081666667	-0.202743813791726
P0ABG1	15	4	26.6666666666667	1170.04972138889	1.2041059997607
P0ABH4	8	3	37.5	1097.12159333333	1.5270202020202
P0ABK9	25	12	48	801.35385712963	-0.521401073911155
P0ABL3	12	4	33.3333333333333	881.55301875	-0.466454545454545
P0ABL5	26	10	38.4615384615385	687.437709166667	-0.753955026455027
P0ABV2	9	8	88.8888888888889	814.491472348485	-0.0169618055555556
P0ABW9	13	6	46.1538461538462	990.987304047619	-0.456127024346464
P0ABX2	11	7	63.6363636363636	872.649505714286	-0.0152330519721824
P0ABX5	10	6	60	918.435106041667	-0.195868770437736
P0AC26	9	5	55.5555555555556	984.799312	0.768313742306528
P0AC55	14	6	42.8571428571429	667.77688	0.29966688110651
P0ACJ5	14	9	64.2857142857143	749.2048255	-0.0195147078336734
P0ACV2	22	10	45.4545454545455	914.035638095238	0.0336057059555511
P0ACX0	8	4	50	1257.64609233333	1.5500728021978
P0AD03	18	10	55.5555555555556	1007.17937488095	0.244734384630423
P0AD19	11	5	45.4545454545455	1160.64151261905	0.956207792207792
P0AD59	12	9	75	841.410527435898	0.125004409171076
P0AD70	20	10	50	861.811588645833	-0.275931481845804
P0ADD2	8	5	62.5	1053.73767916667	0.686452081252081
P0ADD5	17	10	58.8235294117647	877.159790944445	0.0827518258186924
P0ADI4	21	12	57.1428571428571	748.8259153125	-0.459017340910723
P0ADR0	9	3	33.3333333333333	1045.86679333333	1.19425366300366
P0ADR2	7	4	57.1428571428571	1211.11297966667	1.30818218240093
P0ADU5	12	6	50	560.342246666667	-0.499037166537167
P0AEA2	18	12	66.6666666666667	818.689159444444	-0.0683389921911594
P0AEA5	12	5	41.6666666666667	1228.36167690476	0.812490579909935
P0AEK7	22	6	27.2727272727273	1033.458596	0.971247456247456
P0AES9	10	3	30	1316.50345875	0.380868897348561
P0AET2	9	5	55.5555555555556	860.196288611111	-0.035024060906414
P0AF06	22	15	68.1818181818182	697.492642058824	-0.407908173525821
P0AF56	18	9	50	899.68596224359	-0.293322955911191
P0AF80	5	4	80	1006.87737527778	0.48686955764542
P0AF82	6	2	33.3333333333333	747.3272325	-1.42214285714286
P0AFI5	23	14	60.8695652173913	703.288809166667	-0.185810499024785
P0AFL9	17	8	47.0588235294118	758.394637037037	0.22152997002997
P0AFQ5	7	5	71.4285714285714	989.4548959375	0.299505175983437
P0AFU0	15	10	66.6666666666667	671.48444051282	0.139580203021379
P0AFV0	21	10	47.6190476190476	852.034276969697	-0.0511150820283947
P0AG78	22	12	54.5454545454545	807.22366609375	-0.296929841672489
P0AGC0	11	6	54.5454545454545	899.733746547619	0.257786087369421
P0AGF6	24	9	37.5	787.602064455556	-0.389085198751865
P0AGM0	17	7	41.1764705882353	769.310441166667	0.354568070818071
P0AGM7	8	3	37.5	1379.58970929167	1.42507662835249
P10423	22	11	50	785.682813166667	-0.220365162318371
P12996	24	11	45.8333333333333	881.820617619048	-0.0205531673713493
P13033	15	9	60	906.984757607143	0.0264854548576657
P16430	13	5	38.4615384615385	1039.527422	0.174768826575723
P16431	21	13	61.9047619047619	796.00027075	-0.238299755799756
P16678	22	12	54.5454545454545	746.720264166667	-0.373635038450828
P16682	17	10	58.8235294117647	1003.87969217949	-0.207295577461754
P17334	12	6	50	709.205911666667	0.396840520590521
P18200	10	4	40	1133.89368892857	0.554320164295393
P18390	13	5	38.4615384615385	765.08917202381	-0.308123470732166
P18956	20	11	55	902.260037333333	-0.164250534270297
P21503	11	6	54.5454545454545	1218.6892175	0.885962190976105
P23256	17	11	64.7058823529412	928.369075364583	-0.0546998736199363
P23524	16	10	62.5	897.7343865	-0.0534916234436359
P23898	15	9	60	768.663771071429	-0.168514571847905
P25527	9	5	55.5555555555556	1041.13677444444	0.491540812011577
P25718	16	11	68.75	959.236779761905	-0.385976792202089
P27297	30	11	36.6666666666667	723.024274305556	-0.284601757100013
P27844	11	6	54.5454545454545	842.018371785714	0.486702533577534
P29744	18	16	88.8888888888889	742.6378196875	-0.516344175011158
P30136	25	11	44	669.386962627451	-0.267850571731799
P30143	15	7	46.6666666666667	997.000605208333	0.449123369154425
P31125	8	4	50	941.852514722222	1.33802083333333
P31133	20	11	55	924.265177564102	-0.0378621619925969
P31462	15	8	53.3333333333333	1088.65596378788	0.803884629442195
P31474	12	6	50	1182.20335444444	0.766122900088417
P32057	22	13	59.0909090909091	762.011967592593	0.0246010954989282
P32125	16	9	56.25	730.522835606061	0.100732939899607
P32670	14	10	71.4285714285714	964.680697990741	0.00355933841834845
P32700	4	2	50	841.70955	1.22638888888889
P32715	15	9	60	890.624016111111	0.69430175196257
P33219	12	7	58.3333333333333	681.852430208333	-0.352124817538352
P33235	14	8	57.1428571428571	764.88247375	-0.478732897286396
P33590	20	14	70	698.87668622549	-0.399110905045779
P33591	18	7	38.8888888888889	862.604077142857	0.500651734377962
P33593	17	13	76.4705882352941	789.430052631579	0.242098234160024
P33594	27	9	33.3333333333333	732.526968522222	0.00688272783861015
P33934	16	5	31.25	1115.35480277778	0.705676767676768
P36837	12	8	66.6666666666667	1118.955408	0.65553877179047
P36881	14	11	78.5714285714286	694.870957976191	-0.142546897546898
P37146	22	11	50	853.289166410256	-0.263864415635515
P37180	10	5	50	1172.3477937963	0.659421309872923
P37387	24	9	37.5	910.395240166667	0.030929083388589
P37619	13	8	61.5384615384615	1079.67594416667	0.822248767436267
P37631	18	12	66.6666666666667	865.556209464286	0.16773613961114
P37660	14	10	71.4285714285714	1106.29208291667	0.739856460397779
P37661	20	8	40	930.651813703704	0.955009757399463
P37758	12	5	41.6666666666667	912.044429166667	0.0295846153846154
P38055	19	9	47.3684210526316	980.233666666667	0.39437881449285
P39165	18	11	61.1111111111111	980.158718111111	-0.59608802680573
P39276	12	5	41.6666666666667	1205.81237702381	0.611560846560847
P39314	15	6	40	1350.18580357143	1.04323026212139
P39405	17	14	82.3529411764706	810.107422394737	-0.287056659027247
P39453	19	15	78.9473684210526	809.470195	-0.32991602674018
P40874	20	15	75	744.137492795454	-0.163829193899782
P42588	21	13	61.9047619047619	662.508231111111	-0.0410471956399559
P42592	23	11	47.8260869565217	811.2929046875	-0.721225949332901
P42598	26	12	46.1538461538462	709.628286715686	0.110187384782973
P42604	19	12	63.1578947368421	876.818867105263	-0.283495338995813
P42616	17	5	29.4117647058824	611.800846	-0.602141131815045
P43531	13	9	69.2307692307692	881.050280166667	0.181246696984683
P43667	7	5	71.4285714285714	1019.66278861111	0.799723039215686
P45463	21	17	80.9523809523809	709.103395144928	-0.170902194211018
P45468	15	8	53.3333333333333	963.518027222222	0.46529947123777
P46126	7	5	71.4285714285714	967.152986481481	-0.0770987179487179
P46136	10	3	30	1361.8339175	1.30744379276637
P46139	19	8	42.1052631578947	884.221340555556	-0.104240557456283
P46141	4	0	0		
P46142	27	9	33.3333333333333	715.681538333333	-0.357599434409779
P46478	3	1	33.3333333333333	1211.28168	1.04193548387097
P50466	22	8	36.3636363636364	858.72154	0.0417079868231183
P52636	19	9	47.3684210526316	1036.26468722222	0.629545030133265
P60061	10	4	40	1026.79470625	0.550104166666667
P60778	12	1	8.33333333333333	1404.715165	1.552
P62395	14	6	42.8571428571429	928.559153409091	-0.185004276637341
P64426	21	12	57.1428571428571	858.6745540625	-0.0681282110132729
P64439	10	5	50	1010.98714796296	1.0479652173913
P64445	6	1	16.6666666666667	968.072185	2.24444444444444
P64548	13	7	53.8461538461538	813.868510833333	0.621572871572871
P64550	11	4	36.3636363636364	815.40265625	0.247371031746032
P67153	10	7	70	1174.83092715	1.19155793086465
P67601	15	6	40	1019.097345	0.453165380371263
P68183	15	9	60	1094.4878325	0.683167927731547
P68187	22	11	50	816.765666519608	0.154753226829488
P68644	20	11	55	754.408988653846	0.192392153301244
P69791	10	8	80	680.002045555555	-0.0869742716165414
P69902	19	9	47.3684210526316	978.458399653846	-0.0802413040844413
P75806	10	7	70	1085.78132821642	0.813429671966538
P75839	23	11	47.8260869565217	730.132769761905	0.176354713866676
P75916	9	4	44.4444444444444	1098.63338458333	0.989356275843671
P75920	17	9	52.9411764705882	959.509743430555	0.27419394200402
P75938	14	9	64.2857142857143	860.265404	-0.255806323604711
P75948	21	11	52.3809523809524	844.470322539682	-0.373025585525586
P76001	10	2	20	938.4405125	-0.710846560846561
P76010	20	12	60	735.648023235294	-0.144681605159546
P76169	6	4	66.6666666666667	1287.19401266667	1.254625
P76214	18	11	61.1111111111111	758.749726730769	0.00133838383838377
P76221	16	6	37.5	845.686889285714	0.603443223443223
P76249	15	8	53.3333333333333	700.499225625	0.635985081728616
P76261	19	6	31.5789473684211	1042.73220425926	0.480584563260002
