ID	Thoretical	Experimental
P00350	25	18
P00363	34	28
P00393	25	22
P00448	10	6
P00452	37	27
P00490	46	24
P00509	23	21
P00550	23	18
P00561	41	7
P00562	44	25
P00579	22	18
P00582	47	38
P00634	26	15
P00722	53	14
P00803	11	6
P00864	50	31
P00887	16	2
P00888	17	4
P00892	19	6
P00894	9	6
P00903	8	4
P00909	22	1
P00934	20	12
P00935	14	3
P00936	40	5
P00946	20	2
P00954	14	8
P00956	50	29
P00957	52	48
P00959	36	16
P00960	12	3
P00961	36	32
P00962	33	12
P00963	15	4
P00968	53	44
P02358	6	6
P02359	8	7
P02413	6	6
P02918	46	40
P02919	41	34
P02924	19	6
P02925	14	3
P02930	23	22
P02931	16	16
P02942	28	13
P03004	29	21
P03007	10	6
P03018	37	6
P03023	17	18
P03024	17	7
P03030	14	4
P03819	32	2
P03837	16	
P03842	8	2
P03960	24	8
P04036	15	3
P04079	29	18
P04152	23	2
P04335	28	10
P04425	16	5
P04693	19	11
P04805	26	14
P04825	43	14
P04846	11	5
P04949	22	6
P04968	32	12
P04983	31	4
P04993	35	18
P04994	28	2
P04995	23	3
P05020	17	1
P05041	22	
P05042	20	2
P05055	29	24
P05194	16	3
P05458	45	30
P05791	30	21
P05793	29	14
P05824	27	8
P05825	32	22
P05827	14	4
P05852	16	5
P06129	33	18
P06136	12	4
P06149	35	35
P06282	17	14
P06610	10	2
P06611	10	8
P06612	46	21
P06615	15	1
P06616	13	8
P06627	5	1
P06709	16	8
P06710	36	28
P06715	20	3
P06720	22	4
P06722	9	3
P06846	18	5
P06959	34	32
P06971	40	32
P06983	16	5
P06986	19	6
P06987	17	7
P06988	14	7
P06989	8	1
P06992	11	7
P06999	17	10
P07000	20	5
P07001	23	19
P07003	28	13
P07004	21	3
P07012	17	5
P07014	16	14
P07017	27	11
P07018	22	5
P07023	23	9
P07024	25	16
P07026	11	3
P07102	20	2
P07109	11	10
P07117	15	3
P07118	49	29
P07363	31	
P07395	38	26
P07604	29	15
P07639	19	9
P07648	53	5
P07650	26	25
P07813	45	18
P07821	14	12
P07822	13	3
P07862	17	6
P07913	13	5
P08142	25	12
P08178	13	2
P08179	11	3
P08192	21	9
P08200	20	19
P08244	13	5
P08312	20	11
P08331	34	17
P08369	17	
P08371	8	4
P08390	13	10
P08394	63	11
P08395	27	19
P08400	25	5
P08506	23	17
P08622	15	13
P08660	23	3
P08839	30	23
P08956	68	33
P08957	33	12
P08997	28	6
P09030	16	3
P09053	16	7
P09126	14	7
P09127	22	22
P09130	34	5
P09151	28	4
P09152	67	40
P09153	9	3
P09155	20	2
P09323	20	13
P09372	8	4
P09373	40	26
P09377	13	3
P09391	10	4
P09394	18	5
P09424	19	2
P09546	61	35
P09549	8	7
P09551	14	10
P09831	78	7
P09832	25	5
P09835	24	3
P09980	37	11
P0A698	45	22
P0A6A0	29	25
P0A6A3	17	2
P0A6A8	3	2
P0A6B7	22	20
P0A6C1	15	6
P0A6C5	21	8
P0A6C8	13	10
P0A6D0	4	1
P0A6D3	21	5
P0A6D7	10	8
P0A6E1	8	3
P0A6E4	26	5
P0A6E6	5	4
P0A6F1	17	7
P0A6F3	29	17
P0A6F5	26	25
P0A6F9	5	4
P0A6G5	10	1
P0A6G7	9	4
P0A6H1	24	23
P0A6H5	26	23
P0A6H8	22	15
P0A6I0	11	6
P0A6I6	9	2
P0A6J1	9	3
P0A6J3	6	3
P0A6J5	22	19
P0A6J8	19	3
P0A6K1	9	2
P0A6K3	8	7
P0A6K6	22	16
P0A6L0	14	14
P0A6L2	14	5
P0A6L9	9	2
P0A6M2	7	2
P0A6M8	34	33
P0A6N1	22	22
P0A6N4	5	3
P0A6N8	6	3
P0A6P1	18	17
P0A6P5	26	25
P0A6P7	10	10
P0A6P9	20	18
P0A6Q3	6	5
P0A6Q6	7	6
P0A6R0	15	8
P0A6R3	2	2
P0A6S3	16	6
P0A6S7	16	10
P0A6T1	29	14
P0A6T5	12	9
P0A6T9	3	1
P0A6U3	30	5
P0A6U5	12	10
P0A6U8	19	5
P0A6W0	18	7
P0A6W3	12	5
P0A6W5	11	4
P0A6W9	25	1
P0A6X1	17	13
P0A6X7	6	3
P0A6Y1	4	1
P0A6Y5	14	5
P0A6Y8	32	31
P0A6Z1	28	17
P0A6Z3	36	27
P0A705	42	39
P0A707	8	8
P0A715	16	10
P0A717	13	13
P0A720	13	7
P0A722	9	6
P0A725	14	8
P0A734	6	2
P0A742	6	4
P0A744	9	3
P0A749	23	16
P0A756	9	5
P0A759	13	2
P0A763	7	6
P0A780	8	7
P0A786	20	7
P0A796	18	9
P0A799	20	18
P0A7A2	13	2
P0A7A5	11	9
P0A7A7	41	36
P0A7A9	12	2
P0A7B1	42	25
P0A7B3	12	
P0A7B5	23	7
P0A7B8	6	1
P0A7C2	11	6
P0A7D1	13	13
P0A7D4	22	18
P0A7D7	13	8
P0A7E1	21	12
P0A7E3	12	7
P0A7E5	30	25
P0A7E9	11	6
P0A7F3	8	3
P0A7G2	8	7
P0A7H0	18	
P0A7I0	22	10
P0A7I4	27	16
P0A7I7	10	7
P0A7J3	8	9
P0A7J7	6	6
P0A7K2	5	5
P0A7K6	7	7
P0A7L0	11	11
P0A7L3	5	5
P0A7L8	3	3
P0A7M2	5	5
P0A7M6	3	3
P0A7M9	3	3
P0A7N4	3	2
P0A7N9	1	1
P0A7Q1	0	0
P0A7Q6	1	1
P0A7R1	9	10
P0A7R5	6	6
P0A7R9	6	6
P0A7S3	5	6
P0A7S9	7	7
P0A7T3	3	3
P0A7T7	3	3
P0A7U3	4	3
P0A7U7	3	3
P0A7V0	11	11
P0A7V3	9	9
P0A7V8	10	10
P0A7W1	9	9
P0A7W7	7	7
P0A7X3	7	7
P0A7X6	9	2
P0A7Y0	13	8
P0A7Y8	6	4
P0A7Z0	10	2
P0A7Z4	17	17
P0A805	8	8
P0A812	17	13
P0A814	9	3
P0A817	21	7
P0A821	30	5
P0A823	12	7
P0A825	20	15
P0A830	12	7
P0A832	7	5
P0A836	24	20
P0A843	5	3
P0A850	24	22
P0A855	16	15
P0A858	11	8
P0A862	7	6
P0A867	21	9
P0A870	20	17
P0A877	14	4
P0A879	20	10
P0A887	12	10
P0A894	15	12
P0A8A0	8	3
P0A8A2	9	4
P0A8A4	14	9
P0A8A8	6	5
P0A8B2	8	2
P0A8B5	6	1
P0A8C1	4	1
P0A8C4	6	2
P0A8D3	9	3
P0A8D6	10	8
P0A8D9	5	
