Accession	Uniprot Entry Name K12	Uniprot Accession BL21(DE3)	Uniprot Entry Name BL21(DE3)	Localization
P0A901	BLC_ECOLI	C6ECX4	C6ECX4_ECOBD	I
P0ACT6	UIDR_ECOLI	C6EDM9	C6EDM9_ECOBD	A
P0ACF0	DBHA_ECOLI	C6EE18	C6EE18_ECOBD	A
P0ACN7	CYTR_ECOLI	C6EE75	C6EE75_ECOBD	A
P77690	ARNB_ECOLI	C6E9U7	C6E9U7_ECOBD	A
P0ABC9	BETT_ECOLI	C6ELR7	C6ELR7_ECOBD	B
P00722	BGAL_ECOLI	C6ELN6	C6ELN6_ECOBD	A
P0ACP1	FRUR_ECOLI	C6EAX5	C6EAX5_ECOBD	A
P09373	PFLB_ECOLI	C6EI79	C6EI79_ECOBD	A
Q6BF16	DGOA_ECOLI	C6ED77	C6ED77_ECOBD	A
P77330	BORD_ECOLI	C6EJF8	C6EJF8_ECOBD	I
P36771	LRHA_ECOLI	C6E9R2	C6E9R2_ECOBD	A
P0AFC3	NUOA_ECOLI	C6E9R4	C6E9R4_ECOBD	B
P0AFC7	NUOB_ECOLI	C6E9R5	C6E9R5_ECOBD	F1
P33599	NUOCD_ECOLI	C6E9R6	C6E9R6_ECOBD	F1
P0AFD1	NUOE_ECOLI	C6E9R7	C6E9R7_ECOBD	F1
P31979	NUOF_ECOLI	C6E9R8	C6E9R8_ECOBD	F1
P33602	NUOG_ECOLI	C6E9R9	C6E9R9_ECOBD	F1
P0AFD4	NUOH_ECOLI	C6E9S0	C6E9S0_ECOBD	B
P0AFD6	NUOI_ECOLI	C6E9S1	C6E9S1_ECOBD	F1
P33607	NUOL_ECOLI	C6E9S4	C6E9S4_ECOBD	B
P0AFE8	NUOM_ECOLI	C6E9S5	C6E9S5_ECOBD	B
P0AFF0	NUON_ECOLI	C6E9S6	C6E9S6_ECOBD	B
P38051	MENF_ECOLI	C6E9T4	C6E9T4_ECOBD	A
P17109	MEND_ECOLI	C6E9T5	C6E9T5_ECOBD	A
P0ABU0	MENB_ECOLI	C6E9T7	C6E9T7_ECOBD	A
P76473	ARNT_ECOLI	C6E9U3	C6E9U3_ECOBD	B
P76472	ARND_ECOLI	C6E9U4	C6E9U4_ECOBD	A
P77398	ARNA_ECOLI	C6E9U5	C6E9U5_ECOBD	A
P77757	ARNC_ECOLI	C6E9U6	C6E9U6_ECOBD	B
P45565	AIS_ECOLI	C6E9U8	C6E9U8_ECOBD	G
P77808	CINAL_ECOLI	C6E9V1	C6E9V1_ECOBD	A
P09394	GLPQ_ECOLI	C6E9W2	C6E9W2_ECOBD	G
P27294	INAA_ECOLI	C6E9W4	C6E9W4_ECOBD	A
P69924	RIR2_ECOLI	C6E9W6	C6E9W6_ECOBD	B
P00452	RIR1_ECOLI	C6E9W7	C6E9W7_ECOBD	A
P17993	UBIG_ECOLI	C6E9W9	C6E9W9_ECOBD	A
P0AES4	GYRA_ECOLI	C6E9X0	C6E9X0_ECOBD	A
P14376	RCSC_ECOLI	C6E9Y2	C6E9Y2_ECOBD	B
P33940	MQO_ECOLI	C6E9Y9	C6E9Y9_ECOBD	B
P33937	NAPA_ECOLI	C6E9Z4	C6E9Z4_ECOBD	G
P69490	CCME_ECOLI	C6EA03	C6EA03_ECOBD	B
P33927	CCMF_ECOLI	C6EA04	C6EA04_ECOBD	B
P0ABM9	CCMH_ECOLI	C6EA06	C6EA06_ECOBD	B
P31802	NARP_ECOLI	C6EA07	C6EA07_ECOBD	A
P0AD27	YEJM_ECOLI	C6EA09	C6EA09_ECOBD	B
P33920	NDPA_ECOLI	C6EA11	C6EA11_ECOBD	A
P0AA43	RSUA_ECOLI	C6EA14	C6EA14_ECOBD	A
P33916	YEJF_ECOLI	C6EA17	C6EA17_ECOBD	F1
P33915	YEJE_ECOLI	C6EA18	C6EA18_ECOBD	B
P76446	RTN_ECOLI	C6EA21	C6EA21_ECOBD	B
P0AFV4	SPR_ECOLI	C6EA22	C6EA22_ECOBD	I
P76445	YEIU_ECOLI	C6EA23	C6EA23_ECOBD	B
P07004	PROA_ECOLI	C6EA42	C6EA42_ECOBD	A
P0A7B5	PROB_ECOLI	C6EA43	C6EA43_ECOBD	A
P04335	FRSA_ECOLI	C6EA48	C6EA48_ECOBD	A
P0A9M5	XGPT_ECOLI	C6EA49	C6EA49_ECOBD	F1
P15288	PEPD_ECOLI	C6EA50	C6EA50_ECOBD	A
Q47147	YAFJ_ECOLI	C6EA65	C6EA65_ECOBD	A
P63224	GMHA_ECOLI	C6EA66	C6EA66_ECOBD	A
Q47146	FADE_ECOLI	C6EA67	C6EA67_ECOBD	B
P03007	DPO3E_ECOLI	C6EA75	C6EA75_ECOBD	A
P0A7Y4	RNH_ECOLI	C6EA76	C6EA76_ECOBD	A
P75672	YAFS_ECOLI	C6EA77	C6EA77_ECOBD	A
P0AC84	GLO2_ECOLI	C6EA78	C6EA78_ECOBD	A
P0AEZ7	MLTD_ECOLI	C6EA79	C6EA79_ECOBD	I
P0A8U2	YAFD_ECOLI	C6EA81	C6EA81_ECOBD	A
P30864	YAFC_ECOLI	C6EA82	C6EA82_ECOBD	B
P30863	DKGB_ECOLI	C6EA83	C6EA83_ECOBD	A
P30750	METN_ECOLI	C6EA85	C6EA85_ECOBD	F1
P28635	METQ_ECOLI	C6EA87	C6EA87_ECOBD	E
P16659	SYP_ECOLI	C6EA90	C6EA90_ECOBD	A
P40710	NLPE_ECOLI	C6EA92	C6EA92_ECOBD	I
P0AA97	YAEQ_ECOLI	C6EA94	C6EA94_ECOBD	A
P10443	DPO3A_ECOLI	C6EAA1	C6EAA1_ECOBD	A
P10442	RNH2_ECOLI	C6EAA2	C6EAA2_ECOBD	A
P10441	LPXB_ECOLI	C6EAA3	C6EAA3_ECOBD	F1
P0A722	LPXA_ECOLI	C6EAA4	C6EAA4_ECOBD	A
P0A6Q6	FABZ_ECOLI	C6EAA5	C6EAA5_ECOBD	F1
P21645	LPXD_ECOLI	C6EAA6	C6EAA6_ECOBD	A
P0A940	YAET_ECOLI	C6EAA8	C6EAA8_ECOBD	H
P0AEH1	RSEP_ECOLI	C6EAA9	C6EAA9_ECOBD	B
P0A805	RRF_ECOLI	C6EAB3	C6EAB3_ECOBD	A
P0A7E9	PYRH_ECOLI	C6EAB4	C6EAB4_ECOBD	A
P0A7V0	RS2_ECOLI	C6EAB6	C6EAB6_ECOBD	A
P0AE18	AMPM_ECOLI	C6EAB7	C6EAB7_ECOBD	A
