Protein name	Protein accession numbers	Protein molecular weight (Da)	Protein identification probability	Number of unique peptides	Number of unique spectra	Number of total spectra	Percentage of total spectra	Percentage sequence coverage
C6E9R4_ECOBD NADH-quinone oxidoreductase subunit OS=Escherichia coli (strain B / BL21-DE3) GN=nuoA PE=3 SV=1	C6E9R4_ECOBD	16,439.8	100.0%	6	7	10	0.655%	28.6%
C6E9R5_ECOBD NADH-quinone oxidoreductase subunit B OS=Escherichia coli (strain B / BL21-DE3) GN=nuoB PE=3 SV=1	C6E9R5_ECOBD	25,037.6	100.0%	5	5	6	0.226%	20.0%
C6E9R6_ECOBD NADH dehydrogenase I, D subunit OS=Escherichia coli (strain B / BL21-DE3) GN=nuoC PE=3 SV=1	C6E9R6_ECOBD	68,708.5	100.0%	14	15	16	0.592%	23.0%
C6E9R8_ECOBD NADH-quinone oxidoreductase, F subunit OS=Escherichia coli (strain B / BL21-DE3) GN=nuoF PE=4 SV=1	C6E9R8_ECOBD	49,276.5	100.0%	5	5	5	0.184%	21.3%
C6E9R9_ECOBD NADH-quinone oxidoreductase OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_1378 PE=3 SV=1	C6E9R9_ECOBD	100,211.3	100.0%	7	7	7	0.303%	10.5%
C6E9S0_ECOBD NADH-quinone oxidoreductase subunit H OS=Escherichia coli (strain B / BL21-DE3) GN=nuoH PE=3 SV=1	C6E9S0_ECOBD	36,202.5	100.0%	5	5	11	0.414%	15.7%
C6E9S1_ECOBD NADH-quinone oxidoreductase subunit I OS=Escherichia coli (strain B / BL21-DE3) GN=nuoI PE=3 SV=1	C6E9S1_ECOBD	20,520.3	100.0%	8	9	13	0.577%	50.6%
C6E9S2_ECOBD NADH dehydrogenase (Quinone) OS=Escherichia coli (strain B / BL21-DE3) GN=nuoJ PE=3 SV=1	C6E9S2_ECOBD	19,857.3	100.0%	3	4	6	0.266%	8.15%
C6E9S3_ECOBD NADH-quinone oxidoreductase subunit K OS=Escherichia coli (strain B / BL21-DE3) GN=nuoK PE=3 SV=1	C6E9S3_ECOBD	10,827.8	100.0%	3	3	4	0.226%	14.0%
C6E9S4_ECOBD NADH dehydrogenase subunit L OS=Escherichia coli (strain B / BL21-DE3) GN=nuoL PE=3 SV=1	C6E9S4_ECOBD	66,452.4	100.0%	3	3	7	0.278%	9.62%
C6E9S5_ECOBD NADH dehydrogenase subunit M OS=Escherichia coli (strain B / BL21-DE3) GN=nuoM PE=3 SV=1	C6E9S5_ECOBD	56,509.4	98.2%	1	1	1	0.0469%	1.57%
C6E9S6_ECOBD Proton-translocating NADH-quinone oxidoreductase, chain N OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_1385 PE=3 SV=1	C6E9S6_ECOBD	52,028.6	99.8%	2	2	2	0.103%	5.36%
C6E9T3_ECOBD Putative uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) GN=elaB PE=4 SV=1	C6E9T3_ECOBD	11,288.0	100.0%	4	5	6	0.340%	49.5%
C6E9U3_ECOBD Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase OS=Escherichia coli (strain B / BL21-DE3) GN=arnT PE=3 SV=1	C6E9U3_ECOBD	62,527.3	100.0%	8	11	11	0.405%	11.1%
C6E9U4_ECOBD Polysaccharide deacetylase OS=Escherichia coli (strain B / BL21-DE3) GN=yfbH PE=4 SV=1	C6E9U4_ECOBD	33,094.2	100.0%	5	6	7	0.345%	26.4%
C6E9U5_ECOBD Bifunctional polymyxin resistance protein ArnA OS=Escherichia coli (strain B / BL21-DE3) GN=yfbG PE=3 SV=1	C6E9U5_ECOBD	74,272.8	100.0%	3	3	3	0.111%	5.30%
C6E9U6_ECOBD Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase OS=Escherichia coli (strain B / BL21-DE3) GN=yfbF PE=3 SV=1	C6E9U6_ECOBD	36,322.3	100.0%	19	26	47	2.42%	35.7%
C6E9U8_ECOBD Lipopolysaccharide core heptose(II)-phosphate phosphatase OS=Escherichia coli (strain B / BL21-DE3) GN=ais PE=3 SV=1	C6E9U8_ECOBD	22,167.4	100.0%	4	5	5	0.328%	27.0%
C6E9Y2_ECOBD Histidine kinase OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_1441 PE=4 SV=1	C6E9Y2_ECOBD	106,507.5	100.0%	7	7	7	0.198%	10.7%
C6E9Y5_ECOBD ApbE family lipoprotein OS=Escherichia coli (strain B / BL21-DE3) GN=yojL PE=4 SV=1	C6E9Y5_ECOBD	38,531.1	98.7%	1	1	1	0.0469%	3.42%
C6E9Y8_ECOBD Cyclic peptide transporter OS=Escherichia coli (strain B / BL21-DE3) GN=yojI PE=4 SV=1	C6E9Y8_ECOBD	61,538.1	100.0%	2	2	2	0.0654%	5.30%
