Entry Name K12	Entry Name BL21(DE3)	Category	Description	Protein Length	UNTREATED	TREATED	
LACI_ECOLI	C6EJI7	A	Transcriptional regulator, LacI family	363	Y	Y	
RHLB_ECOLI	C6EG33	A	ATP-dependent RNA helicase (DEAD/DEAH box helicase domain protein)	421	Y	Y	
RHO_ECOLI	C6EG30	A	Transcription termination factor Rho	419	Y	Y	
RPOC_ECOLI	C6EE31	A	DNA-directed RNA polymerase (EC 2.7.7.6)	1407	Y	Y	
RPOD_ECOLI	C6EHS8	A	RNA polymerase sigma factor	613	Y	Y	
MUKB_ECOLI	C6EI58	A	Chromosome partition protein mukB (Structural maintenance of chromosome-related protein)	1486	Y	Y	
OMPR_ECOLI	C6EFG9	A	Two component transcriptional regulator, winged helix family	239	Y	Y	
							
PROQ_ECOLI	C6EBZ8	A	ProQ activator of osmoprotectant transporter ProP (Putative solute/DNA competence effector)	232	Y	Y	
							
YDIJ_ECOLI	C6ECR9	A	FAD linked oxidase domain protein (Predicted FAD-linked oxidoreductase)	1018	Y	Y	
HEMH_ECOLI	C6EKY9	A	Ferrochelatase (EC 4.99.1.1) (Heme synthase) (Protoheme ferro-lyase)	320		Y	
Null	C6EB48	A	Putative glycosyltransferase WbbA (Putative uncharacterized protein)	248		Y	
Null	C6EB49	A	Putative glycosyltransferase WbbB (Putative uncharacterized protein)	273		Y	
PLSX_ECOLI	C6EHC4	A	Fatty acid/phospholipid synthesis protein PlsX	346		Y	
RFAP_ECOLI	C6EDG1	A	Lipopolysaccharide kinase	265		Y	
RFAQ_ECOLI	C6EDF9	A	Lipopolysaccharide heptosyltransferase III	340		Y	
WECG_ECOLI	C6EG17	A	Glycosyl transferase, WecB/TagA/CpsF family (EC 2.4.1.187) (Putative UDP-N-acetyl-D-mannosaminuronic acid transferase) (EC 2.4.1.-)	246		Y	
YBBO_ECOLI	C6EKX1	A	Short-chain dehydrogenase/reductase SDR	256		Y	
YHCM_ECOLI	C6EH00	A	AFG1-family ATPase (Conserved protein with nucleoside triphosphate hydrolase domain)	375		Y	
