Previous	Updated
P76136	P76136
P37312	P0A830
P17963	P67910
P03007	P03007
P03702	P03702
P36539	P0AAC8
O33976	O33976
P0A796	P0A796
Q46938	Q46938
P0AES9	P0AES9
P39366	P39366
P77399	P77399
P77515	P77515
P76347	P76347
P03003	P0AFF6
P00961	P00961
P27299	P60752
P45799	P45799
P0AC41	P0AC41
P39330	P0AF93
P77569	P77569
P77071	P77071
P02379	P68679
P12998	P12998
P02389	P62399
P23883	P23883
P77672	P77672
P37750	P37750
P02418	P0A7R1
P69811	P69811
P10440	P0A722
P0ADM8	P0ADM8
P18199	P0AAD4
P0AAZ4	P0AAZ4
P77598	P77598
P24233	P0A763
P76034	P76034
P18843	P18843
P05637	P05637
P0ACD8	P0ACD8
P0AEK4	P0AEK4
P0A9J6	P0A9J6
P18335	P18335
P45535	P63389
P45546	P45546
P75988	P75988
P0AED0	P0AED0
P64503	P64503
Q9ZBB9	Q9ZBB9
P23855	P0AFN2
P0A9S3	P0A9S3
P0AFD6	P0AFD6
P04153	P0AG11
P45469	P45469
P0AFI7	P0AFI7
P33932	P0ABL5
P0ACJ8	P0ACJ8
P77268	P77268
P76272	P76272
P75682	P75682
P05704	P05704
P75905	P75905
P76128	P76128
P0AET2	P0AET2
P0A8Z3	P0A8Z3
P00822	P0ABB0
P22106	P22106
P0AF59	P0AF59
P43337	P43337
P17114	P0ACC7
P06995	P0A6L4
P11191	P11191
P77770	P0A9I1
P76536	P76536
P02933	P0AEJ4
P05791	P05791
P75746	P75746
P16700	P16700
P31805	P0AF67
P69222	P69222
P08368	P08368
P06961	P06961
P09831	P09831
P39176	P39176
P0ABU5	P0ABU5
P0A877	P0A877
P00935	P00935
P0AE39	P0AE39
P0ABX5	P0ABX5
P0A7R1	P0A7R1
P00951	P0AGJ9
P0AEZ3	P0AEZ3
P33360	P33360
Q46731	Q46731
P45428	P45428
P0AA37	P0AA37
P31473	P31473
P0AE88	P0AE88
P00370	P00370
P75776	P0A9U1
P39356	P39356
P37666	P37666
P05825	P05825
P07007	P0C079
Q46942	Q46942
P39435	P0AAI5
Q59384	P0AC81
P0A9K3	P0A9K3
P77228	P77228
P04805	P04805
P0ADR8	P0ADR8
Q47154	Q47154
P07019	P0AGD7
P28635	P28635
P0AFJ1	P0AFJ1
P77649	P77649
P02424	P0ADZ0
P0ADL1	P0ADL1
P65556	P65556
P0AFU8	P0AFU8
P43672	P43672
P0A8Q0	P0A8Q0
P76552	P76552
P33593	P33593
P07813	P07813
P39286	P39286
P24215	P24215
P0AB55	P0AB55
P33780	P0AGM7
P33643	P33643
P45800	P45800
P0AED9	P0AED9
P0A887	P0A887
P39411	P39411
P0AEN4	P0AEN4
P76086	P76086
P45526	P0AAZ4
P25845	P60716
P10485	P10485
P64557	P64557
P37440	P37440
P0A8F4	P0A8F4
P77308	P77308
P45567	P0A8E5
P23367	P23367
P45571	P0AAS7
P77377	P77377
P37342	P37342
P0A7J0	P0A7J0
P0AAC6	P0AAC6
P22333	P22333
P27302	P27302
P0A8U0	P0A8U0
P39452	P39452
P39164	P0AB52
P00888	P00888
P0A6P1	P0A6P1
P77241	P0ADY1
P29015	P0AFU8
P76255	P0AA91
P36554	P36554
P61175	P61175
P23870	P0ACE3
P17169	P17169
P16678	P16678
P76576	P76576
P77380	P0ACZ8
P28631	P28631
P25745	P25745
P77432	P77432
P09156	P0A8L1
P27242	P27242
P19677	P0ADZ7
P11880	P11880
P30014	P30014
P23481	P23481
P0A9Q1	P0A9Q1
P37127	P37127
P75794	P75794
P36560	P36560
P10120	P0ADX9
P69425	P69425
P15040	P0AG86
P13738	P13738
P09130	P09130
P04993	P04993
P25437	P25437
P0AEH1	P0AEH1
P39321	P39321
P0ADS6	P0ADS6
P77334	P77334
P08142	P08142
Q8PW07	Q8PW07
P0ABF1	P0ABF1
P06846	P06846
Q47413	P0ADQ7
P07011	P0A7I0
P76440	P76440
P39180	P39180
Q0WRJ7	Q0WRJ7
P45543	P45543
P0AFS3	P0AFS3
P24205	P24205
P39171	P0A6B7
P30131	P30131
P0AE34	P0AE34
P52005	P52005
P09097	P0AES4
P0AF90	P0AF90
P76658	P76658
P0A964	P0A964
P02374	P0A7T7
P32666	P0A7C6
P28629	P28629
P12283	P0A7D4
P0AB91	P0AB91
P0A7B8	P0A7B8
P0A7A9	P0A7A9
P75936	P75936
P27851	P0A887
P02927	P0AEE5
P39346	P39346
P30176	P30176
P76064	P76064
P22186	P22186
P08555	P08555
P76502	P76502
P46068	P46068
P30856	P0A9K9
P37659	P37659
P21889	P21889
P0AGB0	P0AGB0
P0AA25	P0AA25
P02384	P0A7L0
P41074	P0AER3
P19925	P19925
Q46820	Q46820
P15770	P15770
P0ADX9	P0ADX9
P00550	P00550
P0ACH5	P0ACH5
P0ACC9	P0ACC9
P36995	P36995
P0A722	P0A722
P00274	P0AA25
P0AGE0	P0AGE0
P11288	P0A8I3
P77031	P77031
P0AEP3	P0AEP3
P37192	P0C8J6
P15286	P15286
P0A6I9	P0A6I9
P0A953	P0A953
P03623	P03623
P07652	P0A725
P0AF76	P0AF76
P02999	P0A707
P23893	P23893
P31463	P31463
P07027	P0AED5
P09392	P0ACL0
P09557	P09557
Q46856	Q46856
P00479	P0A786
P15034	P15034
P31130	P31130
P0ABZ1	P0ABZ1
P39358	P39358
P0AAN5	P0AAN5
P11349	P11349
P52612	P52612
P76111	P76111
P27292	P0ACI0
P94739	P02929
P04381	P0A780
P05041	P05041
P77615	P77615
P0ABA4	P0ABA4
P0A9R7	P0A9R7
P0A7F9	P0A7F9
P0A6D7	P0A6D7
P76524	P76524
Q60150	P61889
P0A8D0	P0A8D0
P39312	P0AAE0
P03017	P0A7G6
P0A6N1	P0A6N1
P31067	P0ABZ1
P24188	P24188
P30745	P30745
P0AAH8	P0AAH8
P0AAB8	P0AAB8
P60624	P60624
P02363	P0A7X3
P07002	P0AB67
P76388	P0A930
P07015	P0AFG3
P11867	P0AAD8
P00894	P00894
P04395	P04395
P0AGJ5	P0AGJ5
