C6E9Y3	insA-2 insA-1 insA-10 insA-11 insA-12 insA-13 insA-14 insA-16 insA-17 insA-18 insA-19 insA-20 insA-21 insA-22 insA-23 insA-24 insA-26 insA-27 insA-28 insA-29 insA-3 insA-4 insA-5 insA-6 insA-7 insA-8 insA-9 ECBD_0099 ECBD_0298 ECBD_0372 ECBD_0927 ECBD_1062 ECBD_1125 ECBD_1313 ECBD_1442 ECBD_1546 ECBD_1569 ECBD_1626 ECBD_2223 ECBD_2482 ECBD_3032 ECBD_3049 ECBD_3078 ECBD_3103 ECBD_3269 ECBD_3297 ECBD_3380 ECBD_3407 ECBD_3596 ECBD_3683 ECBD_3690 ECBD_3723 ECBD_3740 ECD_00023 ECD_00210 ECD_00236 ECD_00314 ECD_00341 ECD_00505 ECD_00546 ECD_00572 ECD_00588 ECD_01116 ECD_01243 ECD_01372 ECD_01880 ECD_01935 ECD_02041 ECD_02144 ECD_02271 ECD_02451 ECD_02513 ECD_02647 ECD_02824 ECD_03228 ECD_03485 ECD_04164 ECD_04181 ECD_04208 ECD_04288	insA-2	insA-1 insA-10 insA-11 insA-12 insA-13 insA-14 insA-16 insA-17 insA-18 insA-19 insA-20 insA-21 insA-22 insA-23 insA-24 insA-26 insA-27 insA-28 insA-29 insA-3 insA-4 insA-5 insA-6 insA-7 insA-8 insA-9	ECBD_0099 ECBD_0298 ECBD_0372 ECBD_0927 ECBD_1062 ECBD_1125 ECBD_1313 ECBD_1442 ECBD_1546 ECBD_1569 ECBD_1626 ECBD_2223 ECBD_2482 ECBD_3032 ECBD_3049 ECBD_3078 ECBD_3103 ECBD_3269 ECBD_3297 ECBD_3380 ECBD_3407 ECBD_3596 ECBD_3683 ECBD_3690 ECBD_3723 ECBD_3740 ECD_00023 ECD_00210 ECD_00236 ECD_00314 ECD_00341 ECD_00505 ECD_00546 ECD_00572 ECD_00588 ECD_01116 ECD_01243 ECD_01372 ECD_01880 ECD_01935 ECD_02041 ECD_02144 ECD_02271 ECD_02451 ECD_02513 ECD_02647 ECD_02824 ECD_03228 ECD_03485 ECD_04164 ECD_04181 ECD_04208 ECD_04288	C6E9Y3_ECOBD		Predicted		IS1 protein InsA (Insertion element protein)	"GO:0003677; GO:0045449; GO:0006313"	Complete proteome	91	Insertion Element
C6EFN0	sieB ECBD_2263 ECD_01331	sieB		ECBD_2263 ECD_01331	C6EFN0_ECOBD		Predicted		Phage superinfection exclusion protein (Putative uncharacterized protein)		Complete proteome	162	Prophage
C6EIL4	xerD ECBD_0843 ECD_02726	xerD		ECBD_0843 ECD_02726	C6EIL4_ECOBD	Cytoplasm. 	Inferred from homology	Phage_integr_N	Site-specific tyrosine recombinase XerD (Tyrosine recombinase XerD)	"GO:0003677; GO:0015074; GO:0006310; GO:0007049; GO:0051301; GO:0007059; GO:0005737"	"Complete proteome; DNA integration; DNA recombination"	298	Prophage
C6EIS2	ECBD_2762 ECD_00836			ECBD_2762 ECD_00836	C6EIS2_ECOBD		Predicted	Phage_integr_N	Putative Regulatory protein (Regulatory protein)		"Complete proteome; Signal"	142	Prophage
C6EDV9	ECBD_2112 ECD_01487			ECBD_2112 ECD_01487	C6EDV9_ECOBD		Predicted		Phage N15 gp48-like protein (Transcriptional regulator, XRE family)	GO:0043565	Complete proteome	94	Prophage
C6EJ21	U ECBD_2864 ECD_10045	U		ECBD_2864 ECD_10045	C6EJ21_ECOBD		Predicted		Minor tail U (Tail component)		Complete proteome	131	Prophage
C6EIS3	ECBD_2763 ECD_00834			ECBD_2763 ECD_00834	C6EIS3_ECOBD		Predicted		Capsid scaffolding (Putative capsid scaffolding protein)	GO:0019069	Complete proteome	250	Prophage
C6EJF4	nu1 ECBD_2874 ECD_10035	nu1		ECBD_2874 ECD_10035	C6EJF4_ECOBD		Predicted		DNA packaging Nu1 (DNA packaging protein)	GO:0000166	Complete proteome	181	Prophage
C6EIR6	ECBD_2756 ECD_00843			ECBD_2756 ECD_00843	C6EIR6_ECOBD		Predicted		Baseplate J family protein (Phage baseplate assembly protein)		Complete proteome	302	Prophage
C6EJ18	T ECBD_2861 ECD_10048	T		ECBD_2861 ECD_10048	C6EJ18_ECOBD		Predicted		Phage tail assembly protein T (Tail component)		Complete proteome	144	Prophage
C6EFN7	intR ECBD_2271 ECD_01322	intR		ECBD_2271 ECD_01322	C6EFN7_ECOBD		Predicted		Integrase (Integrase family protein)	"GO:0003677; GO:0015074; GO:0006310"	Complete proteome	411	Prophage
C6EFS8	pspA ECBD_2313 ECD_01281	pspA		ECBD_2313 ECD_01281	C6EFS8_ECOBD		Predicted		Phage shock protein A, PspA (Regulatory protein for phage-shock-protein operon)		Complete proteome	222	Prophage
C6EJX2	ECBD_1066 ECD_02509			ECBD_1066 ECD_02509	C6EJX2_ECOBD		Predicted		Fels-2 prophage protein (Integrase family protein)	"GO:0003677; GO:0015074; GO:0006310"	Complete proteome	409	Prophage
C6EJE9	D ECBD_2869 ECD_10040	D		ECBD_2869 ECD_10040	C6EJE9_ECOBD		Predicted		Head-DNA stabilization protein (Lambda head decoration protein D HDPD)	GO:0019028	Complete proteome	110	Prophage
C6EKT0	intD ECBD_3122 ECD_00486	intD		ECBD_3122 ECD_00486	C6EKT0_ECOBD		Predicted		Integrase family protein (Predicted integrase)	"GO:0003677; GO:0015074; GO:0006310"	Complete proteome	387	Prophage
C6EJG5	P ECBD_2885 ECD_10025	P		ECBD_2885 ECD_10025	C6EJG5_ECOBD		Predicted		DNA replication protein (Replication P family protein)	GO:0006270	Complete proteome	233	Prophage
C6EJ25	E ECBD_2868 ECD_10041	E		ECBD_2868 ECD_10041	C6EJ25_ECOBD		Predicted		Capsid component (Major capsid protein E)		Complete proteome	341	Prophage
C6EJH3	cIII ECBD_2893 ECD_10016	cIII		ECBD_2893 ECD_10016	C6EJH3_ECOBD		Predicted		Antitermination protein (Lambda phage regulatory protein CIII)	"GO:0006355; GO:0003713"	Complete proteome	54	Prophage
C6EJ15	L ECBD_2858 ECD_10051	L		ECBD_2858 ECD_10051	C6EJ15_ECOBD		Predicted		Phage minor tail protein L (Tail component)		Complete proteome	232	Prophage
C6EJ16	M ECBD_2859 ECD_10050	M		ECBD_2859 ECD_10050	C6EJ16_ECOBD		Predicted		Minor tail family protein (Tail component)		Complete proteome	109	Prophage
C6EJF1	B ECBD_2871 ECD_10038	B		ECBD_2871 ECD_10038	C6EJF1_ECOBD		Predicted		Capsid component (Phage portal protein, lambda family)	"GO:0003677; GO:0019028"	Complete proteome	533	Prophage
C6EJG1	S ECBD_2881 ECD_10029	S		ECBD_2881 ECD_10029	C6EJG1_ECOBD		Predicted		Cell lysis protein (Phage holin, lambda family)		Complete proteome	107	Prophage
C6EKE0	ybcQ ECBD_3105 ECD_00502	ybcQ		ECBD_3105 ECD_00502	C6EKE0_ECOBD		Predicted		Antitermination Q family protein (Predicted antitermination protein)	"GO:0003677; GO:0030401"	Complete proteome	127	Prophage
C6EJI5	1 ECBD_2906 ECD_10004	1		ECBD_2906 ECD_10004	C6EJI5_ECOBD		Predicted		DNA-directed RNA polymerase (EC 2.7.7.6) (T7 DNA-directed RNA polymerase)	"GO:0003677; GO:0003899; GO:0006350"	"Complete proteome; DNA-directed RNA polymerase; Nucleotidyltransferase; Transcription; Transferase"	883	Prophage
C6EJG7	cII ECBD_2887 ECD_10023	cII		ECBD_2887 ECD_10023	C6EJG7_ECOBD		Predicted		Antitermination protein (CII family protein)	"GO:0003677; GO:0030528"	Complete proteome	99	Prophage
C6EJG6	O ECBD_2886 ECD_10024	O		ECBD_2886 ECD_10024	C6EJG6_ECOBD		Predicted		DNA replication protein (Phage replication protein O)	GO:0006260	Complete proteome	299	Prophage
C6EIS4	ECBD_2764 ECD_00833			ECBD_2764 ECD_00833	C6EIS4_ECOBD		Predicted		Putative uncharacterized protein (Terminase, ATPase subunit)	"GO:0005524; GO:0019069"	Complete proteome	588	Prophage
C6EIR7	ECBD_2757 ECD_00842			ECBD_2757 ECD_00842	C6EIR7_ECOBD		Predicted		GPW/gp25 family protein (Phage baseplate assembly protein)	"GO:0009308; GO:0005507; GO:0055114; GO:0008131; GO:0048038"	Complete proteome	119	Prophage
C6ELH3	tsx ECBD_3250 ECD_00359	tsx		ECBD_3250 ECD_00359	C6ELH3_ECOBD		Predicted		Nucleoside channel, receptor of phage T6 and colicin K (Nucleoside-specific channel-forming protein Tsx)	"GO:0009279; GO:0005337; GO:0004872"	"Complete proteome; Receptor; Signal"	294	Prophage
C6EJF9	Rz ECBD_2879 ECD_10031	Rz		ECBD_2879 ECD_10031	C6EJF9_ECOBD		Predicted		Cell lysis protein (Lysis protein)	GO:0019835	"Complete proteome; Signal"	153	Prophage
C6ECH4	hflC ECBD_3859 ECD_04042	hflC		ECBD_3859 ECD_04042	C6ECH4_ECOBD		Predicted		HflC protein (Modulator for HflB protease specific for phage lambda cII repressor)	"GO:0016021; GO:0008233; GO:0005515"	"Complete proteome; Hydrolase; Protease; Signal"	334	Prophage
