Locus	Gene Symbol	Common Name	EC Number	5' End	3' End	DNA molecule	
b0001	thrL	thr operon leader Peptide	 	190	255	Chromosome Escherichia coli K12-MG1655	
b0005	 	orf, hypothetical protein	 	5234	5530	Chromosome Escherichia coli K12-MG1655	
b0011	 	putative oxidoreductase	 	11356	10643	Chromosome Escherichia coli K12-MG1655	
b0012	htgA	positive regulator for sigma 32 heat shock promoters	 	10725	11315	Chromosome Escherichia coli K12-MG1655	
b0015	dnaJ	chaperone with DnaK; heat shock protein	 	14168	15298	Chromosome Escherichia coli K12-MG1655	
b0019	nhaA	Na+/H antiporter, pH dependent	 	17489	18655	Chromosome Escherichia coli K12-MG1655	
b0047	kefC	K+ efflux antiporter, glutathione-regulated	 	47769	49631	Chromosome Escherichia coli K12-MG1655	
b0055	yabH	putative DNA binding protein	 	57364	58179	Chromosome Escherichia coli K12-MG1655	
b0057	yabQ	orf, hypothetical protein	 	59121	59279	Chromosome Escherichia coli K12-MG1655	
b0067	yabK	putative transport system permease protein	 	74521	72911	Chromosome Escherichia coli K12-MG1655	
b0083	ftsL	cell division protein; ingrowth of wall at septum	 	91032	91397	Chromosome Escherichia coli K12-MG1655	
b0089	ftsW	cell division; membrane protein involved in shape determination	 	98403	99647	Chromosome Escherichia coli K12-MG1655	
b0095	ftsZ	cell division; forms circumferential ring; tubulin-like GTP-binding protein and GTPase	 	105305	106456	Chromosome Escherichia coli K12-MG1655	
b0115	aceF	pyruvate dehydrogenase (dihydrolipoyltransacetylase component)	2.3.1.12	125695	127587	Chromosome Escherichia coli K12-MG1655	
b0117	yacH	putative membrane protein	 	131260	129407	Chromosome Escherichia coli K12-MG1655	
b0128	yadH	orf, hypothetical protein	 	143702	144472	Chromosome Escherichia coli K12-MG1655	
b0137	yadL	putative fimbrial protein	 	152231	151626	Chromosome Escherichia coli K12-MG1655	
b0149	mrcB	peptidoglycan synthetase; penicillin-binding protein 1B	 	164730	167264	Chromosome Escherichia coli K12-MG1655	
b0153	fhuB	hydroxamate-dependent iron uptake, cytoplasmic membrane component	 	171462	173444	Chromosome Escherichia coli K12-MG1655	
b0155	yadQ	putative channel transporter	 	175107	176528	Chromosome Escherichia coli K12-MG1655	
b0157	yadS	orf, hypothetical protein	 	177624	177001	Chromosome Escherichia coli K12-MG1655	
b0161	htrA	periplasmic serine protease Do; heat shock protein HtrA	3.4.21.-	180884	182308	Chromosome Escherichia coli K12-MG1655	
b0178	hlpA	histone-like protein, located in outer membrane or nucleoid	 	200482	200967	Chromosome Escherichia coli K12-MG1655	
b0185	accA	acetylCoA carboxylase, carboxytransferase component, alpha subunit	6.4.1.2	208621	209580	Chromosome Escherichia coli K12-MG1655	
b0187	yaeR	orf, hypothetical protein	 	211850	212266	Chromosome Escherichia coli K12-MG1655	
b0188	mesJ	cell cycle protein	 	212331	213629	Chromosome Escherichia coli K12-MG1655	
b0196	rcsF	regulator in colanic acid synthesis; interacts with RcsB	 	219995	219591	Chromosome Escherichia coli K12-MG1655	
b0198	yaeE	putative transport system permease protein	 	221621	220968	Chromosome Escherichia coli K12-MG1655	
b0218	yafU	orf, hypothetical protein	 	239084	238746	Chromosome Escherichia coli K12-MG1655	
b0240	crl	transcriptional regulator of cryptic csgA gene for curli surface fibers	 	257829	258230	Chromosome Escherichia coli K12-MG1655	
b0272	yagI	putative regulator	 	288386	287628	Chromosome Escherichia coli K12-MG1655	
b0280	yagN	orf, hypothetical protein	 	294803	294363	Chromosome Escherichia coli K12-MG1655	
b0353	mhpT	putative transport protein	 	374638	375894	Chromosome Escherichia coli K12-MG1655	
b0384	psiF	induced by phosphate starvation	 	402487	402825	Chromosome Escherichia coli K12-MG1655	
b0396	araJ	involved in either transport or processing of arabinose polymers	 	411705	410521	Chromosome Escherichia coli K12-MG1655	
b0397	sbcC	ATP-dependent dsDNA exonuclease	 	414977	411831	Chromosome Escherichia coli K12-MG1655	
b0402	proY	proline permease transport protein	 	420210	421583	Chromosome Escherichia coli K12-MG1655	
b0433	ampG	regulates beta-lactamase synthesis	 	452769	451294	Chromosome Escherichia coli K12-MG1655	
b0440	hupB	DNA-binding protein HU-beta, NS1 (HU-1)	 	460675	460947	Chromosome Escherichia coli K12-MG1655	
b0442	ybaV	orf, hypothetical protein	 	463161	463532	Chromosome Escherichia coli K12-MG1655	
b0451	amtB	probable ammonium transporter	 	472190	473476	Chromosome Escherichia coli K12-MG1655	
b0453	ybaY	glycoprotein/polysaccharide metabolism	 	474603	475175	Chromosome Escherichia coli K12-MG1655	
b0463	acrA	acridine efflux pump	 	484843	483650	Chromosome Escherichia coli K12-MG1655	
b0468	ybaN	putative gene 58	 	490106	490483	Chromosome Escherichia coli K12-MG1655	
b0471	ybaB	orf, hypothetical protein	 	493300	493629	Chromosome Escherichia coli K12-MG1655	
b0478	ybaL	putative transport protein	 	502462	500786	Chromosome Escherichia coli K12-MG1655	
b0479	fsr	fosmidomycin resistance protein	 	503920	502700	Chromosome Escherichia coli K12-MG1655	
b0486	ybaT	putative amino acid/amine transport protein	 	511800	513092	Chromosome Escherichia coli K12-MG1655	
b0488	ybbJ	orf, hypothetical protein	 	514080	513625	Chromosome Escherichia coli K12-MG1655	
b0496	ybbP	putative oxidoreductase	 	519640	522054	Chromosome Escherichia coli K12-MG1655	
b0498	ybbC	orf, hypothetical protein	 	526805	527173	Chromosome Escherichia coli K12-MG1655	
b0500	ybbD	orf, hypothetical protein	 	527864	528124	Chromosome Escherichia coli K12-MG1655	
b0510	ybbV	orf, hypothetical protein	 	536720	536998	Chromosome Escherichia coli K12-MG1655	
b0511	ybbW	putative transport protein	 	536998	538311	Chromosome Escherichia coli K12-MG1655	
b0523	purE	phosphoribosylaminoimidazole carboxylase = AIR carboxylase, catalytic subunit	 	552323	551814	Chromosome Escherichia coli K12-MG1655	
b0530	sfmA	putative fimbrial-like protein	 	557402	557977	Chromosome Escherichia coli K12-MG1655	
b0570	ybcZ	putative 2-component sensor protein	 	593993	592551	Chromosome Escherichia coli K12-MG1655	
b0583	entD	enterochelin synthetase, component D	 	609311	608682	Chromosome Escherichia coli K12-MG1655	
b0589	fepG	ferric enterobactin transport protein	 	620411	619419	Chromosome Escherichia coli K12-MG1655	
