K12 Accession	BL21(DE3) Accession	GOs	Description (Uniprot)	NG001	1DG010_flot	1DG011_flot (L1) wt	1DG011_IMVs (L3) wt
RS2_ECOLI	C6EAB6	A	30S ribosomal protein S2	+ 	+ 	+ 	+ 
RL20_ECOLI	C6ECP1	A	50S ribosomal protein L20	+ 	+ 	+ 	+ 
RPOC_ECOLI	C6EE31	A	DNA-directed RNA polymerase (EC 2.7.7.6)	+ 	+ 	+ 	+ 
RL10_ECOLI	C6EE34	A	50S ribosomal protein L10	+ 	+ 	+ 	+ 
RL1_ECOLI	C6EE35	A	50S ribosomal protein L1	+ 	+ 	+ 	+ 
RL11_ECOLI	C6EE36	A	50S ribosomal protein L11	+ 	+ 	+ 	+ 
RHLB_ECOLI	C6EG33	A	ATP-dependent RNA helicase (DEAD/DEAH box helicase domain protein)	+ 	+ 	+ 	+ 
RS7_ECOLI	C6EGC3	A	30S ribosomal protein S7	+ 	+ 	+ 	+ 
RL2_ECOLI	C6EGE9	A	50S ribosomal protein L2	+ 	+ 	+ 	+ 
RL22_ECOLI	C6EGF1	A	50S ribosomal protein L22	+ 	+ 	+ 	+ 
RS3_ECOLI	C6EGF2	A	30S ribosomal protein S3	+ 	+ 	+ 	+ 
RL14_ECOLI	C6EGF6	A	50S ribosomal protein L14	+ 	+ 	+ 	+ 
RL5_ECOLI	C6EGF8	A	50S ribosomal protein L5	+ 	+ 	+ 	+ 
RS14_ECOLI	C6EGF9	A	30S ribosomal protein S14 (Ribosomal protein S14)	+ 	+ 	+ 	+ 
RL18_ECOLI	C6EGG2	A	50S ribosomal protein L18	+ 	+ 	+ 	+ 
RS5_ECOLI	C6EGG3	A	30S ribosomal protein S5	+ 	+ 	+ 	+ 
RL15_ECOLI	C6EGG5	A	50S ribosomal protein L15	+ 	+ 	+ 	+ 
RS13_ECOLI	C6EGG8	A	30S ribosomal protein S13	+ 	+ 	+ 	+ 
RS11_ECOLI	C6EGG9	A	30S ribosomal protein S11	+ 	+ 	+ 	+ 
RS4_ECOLI	C6EGH0	A	30S ribosomal protein S4	+ 	+ 	+ 	+ 
RL17_ECOLI	C6EGH2	A	50S ribosomal protein L17	+ 	+ 	+ 	+ 
RL13_ECOLI	C6EH01	A	50S ribosomal protein L13	+ 	+ 	+ 	+ 
RS9_ECOLI	C6EH02	A	30S ribosomal protein S9	+ 	+ 	+ 	+ 
LACI_ECOLI	C6EJI7	A	"Transcriptional regulator, LacI family"	+ 	+ 	+ 	+ 
YBBO_ECOLI	C6EKX1	A	Short-chain dehydrogenase/reductase SDR	+ 	+ 	+ 	+ 
ADD_ECOLI	C6EDM4	A	Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase)	+ 	+ 	 	 
YGAU_ECOLI	C6EJW0	A	Peptidoglycan-binding LysM (Putative uncharacterized protein ygaU)	+ 	+ 	 	 
RS18_ECOLI	C6ECE7	A	30S ribosomal protein S18	+ 	 	+ 	+ 
RS17_ECOLI	C6EGF5	A	30S ribosomal protein S17	+ 	 	 	+ 
Null	C6EFS5	A	Peripheral inner membrane phage-shock protein (Phage shock protein PspD)	+ 	 	 	 
ACCD_ECOLI	C6ELD7	A	"Acetyl-CoA carboxylase subunit beta (EC 6.4.1.2) (Acetyl-CoA carboxylase, carboxyl transferase, beta subunit)"	 	+ 	+ 	+ 
FADJ_ECOLI	C6ELB3	A	Fatty acid oxidation complex subunit alpha	 	+ 	+ 	+ 
FADI_ECOLI	C6ELB2	A	3-ketoacyl-CoA thiolase (EC 2.3.1.16) (ACSs) (Acetyl-CoA acyltransferase) (Acyl-CoA ligase) (Beta-ketothiolase) (Fatty acid oxidation complex subunit beta)	 	+ 	+ 	+ 
TIG_ECOLI	C6EL29	A	Trigger factor (TF)	 	+ 	+ 	+ 
HEMH_ECOLI	C6EKY9	A	Ferrochelatase (EC 4.99.1.1) (Heme synthase) (Protoheme ferro-lyase)	 	+ 	+ 	+ 
ISPG_ECOLI	C6EKJ4	A	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (EC 1.17.7.1) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase)	 	+ 	+ 	+ 
