Entry Name	# Tryptic Peptide
P00448	4
P00452	4
P00490	5
P00509	3
P00562	6
P00579	1
P00582	7
P00722	3
P00864	4
P00887	2
P00888	6
P00892	4
P00894	2
P00903	6
P00934	6
P00935	4
P00936	4
P00946	6
P00954	4
P00956	4
P00957	6
P00959	5
P00960	6
P00961	4
P00962	5
P00963	5
P00968	5
P02358	2
P02359	3
P02413	0
P03007	6
P03018	5
P03023	4
P03024	5
P03030	6
P04036	7
P04079	8
P04152	4
P04335	6
P04425	7
P04693	7
P04805	6
P04993	3
P04994	5
P04995	6
P05020	6
P05041	8
P05042	4
P05055	4
P05194	5
P05791	5
P05793	4
P05827	5
P05852	3
P06610	6
P06612	1
P06710	3
P06715	5
P06720	5
P06722	5
P06846	4
P06983	5
P06986	6
P06987	5
P06988	3
P06989	5
P06992	5
P06999	6
P07004	5
P07012	3
P07023	4
P07026	5
P07118	4
P07363	5
P07395	2
P07604	6
P07639	8
P07648	6
P07813	4
P07862	4
P07913	5
P08142	6
P08178	5
P08179	5
P08192	7
P08244	5
P08312	3
P08390	5
P08394	3
P08622	3
P08660	6
P08956	5
P08957	6
P08997	6
P09030	3
P09053	5
P09126	4
P09151	4
P09153	5
P09155	5
P09372	4
P09373	4
P09377	6
P09424	7
P09831	4
P09832	7
P09980	7
P0A6A3	7
P0A6B7	4
P0A6C1	5
P0A6C5	3
P0A6C8	5
P0A6D0	4
P0A6D3	5
P0A6D7	2
P0A6E1	5
P0A6E4	6
P0A6F1	6
P0A6F3	6
P0A6F5	4
P0A6F9	0
P0A6G5	4
P0A6G7	6
P0A6H1	3
P0A6H5	1
P0A6I0	6
P0A6I6	6
P0A6J8	5
P0A6K1	5
P0A6K3	3
P0A6K6	6
P0A6L0	4
P0A6L2	6
P0A6L9	3
P0A6M8	5
P0A6N4	3
P0A6N8	2
P0A6P1	5
P0A6P5	3
P0A6P7	4
P0A6P9	4
P0A6Q3	0
P0A6R0	6
P0A6R3	1
P0A6S7	8
P0A6T1	5
P0A6T5	6
P0A6T9	1
P0A6U5	5
P0A6U8	6
P0A6W0	7
P0A6W5	1
P0A6W9	5
P0A6X1	7
P0A6X7	0
P0A6Y1	1
P0A6Y5	8
P0A6Z1	5
P0A705	1
P0A707	3
P0A715	5
P0A717	4
P0A720	3
P0A722	4
P0A725	4
P0A744	5
P0A749	4
P0A763	4
P0A780	1
P0A786	5
P0A796	7
P0A799	5
P0A7A5	4
P0A7A9	2
P0A7B5	5
P0A7B8	3
P0A7C2	3
P0A7D1	2
P0A7D4	6
P0A7D7	3
P0A7E3	4
P0A7E9	6
P0A7F3	2
P0A7G2	1
P0A7H0	5
P0A7I0	5
P0A7I4	4
P0A7I7	4
P0A7J3	2
P0A7J7	1
P0A7K2	2
P0A7K6	2
P0A7L0	3
P0A7L3	0
P0A7L8	0
P0A7M2	0
P0A7M6	2
P0A7M9	1
P0A7N4	0
P0A7N9	0
P0A7Q1	0
P0A7Q6	0
P0A7R1	1
P0A7R5	0
P0A7R9	2
P0A7S3	1
P0A7S9	0
P0A7T3	0
P0A7T7	0
P0A7U3	2
P0A7U7	0
P0A7V0	3
P0A7V3	4
P0A7V8	2
P0A7W1	4
