	DNA binding proteins																	Mean Abundance (molecules per cell)	emPAI	emPAI-derived copy no/cell	emPAI Value	Copy number per cell	mMol	molecules/cell (1molec/cell=10nM)	=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
	Transcription factors																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
	Chromosome maintenance/division/replication																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
	RNA polymerase																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
	DNA helicases																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
																									=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
	tRNA synthetases																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
																									=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
	RNA binding proteins																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
	Transcription termination																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
	RNA degradosome																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
	RNA helicases																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
																									=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
	Protein transport																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
																									=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
	Metabolic enzymes																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
	Cell surface glycolipids																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
	LPS biosynthesis																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
	Null		C6EB48	A	F1	This study	Putative glycosyltransferase WbbA (Putative uncharacterized protein)	248		Y				Putative glycosyltransferase WbbA involved in O-antigen biosynthesis											=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
	Null		C6EB49	A	F1	This study	Putative glycosyltransferase WbbB (Putative uncharacterized protein)	273		Y				Putative glycosyltransferase WbbB involved in O-antigen biosynthesis											=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
	Phosphoglyceride-linked enterobacterial common antigen																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
	Phospholipid biosynthesis																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
																									=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
	Haeme biosynthesis																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
	Oxidoreductases																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
P77748	YDIJ_ECOLI	P77748	C6ECR9	A	F1	This study	FAD linked oxidase domain protein (Predicted FAD-linked oxidoreductase)	1018	Y	Y				Contains 1 4Fe-4S ferredoxin-type domain, Contains 1 FAD-binding PCMH-type domain/oxiforeductase/electron carrier activity?				381					0,0038136	381,36	=HYPERLINK("http://www.uniprot.org/uniprot/?query=P77748&sort=score")
	ATPases																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
	Small molecule transport and metabolism																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
P0ADT2	YGIB_ECOLI	P0ADT2	C6EHV7	A	F1	This study	UPF0441 protein ygiB	223		Y				YgiB and the YgiC ATPase are encoded by genes expressed in the same operon as tolC. YgiBC may have parallel but independent functions from TolC.				23			0,47	22,71			=HYPERLINK("http://www.uniprot.org/uniprot/?query=P0ADT2&sort=score")
																									=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
	Chaperones																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
P75915	YCDY_ECOLI	P75915	C6EHH7	A	F1?	This study	Cytoplasmic chaperone TorD family protein (Putative uncharacterized protein ycdY)	184	Y									371	2,73E+00	5,18E+02	4,99	224,39			=HYPERLINK("http://www.uniprot.org/uniprot/?query=P75915&sort=score")
P31680	DJLA_ECOLI	P31680	C6EAZ8	B			Dna-J like membrane chaperone protein (Heat shock protein DnaJ domain protein)	271		Y		plasma membrane	protein folding					167	3,89E-01	1,67E+02					=HYPERLINK("http://www.uniprot.org/uniprot/?query=P31680&sort=score")
																									=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
	Proteases																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
																									=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
	Translation																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
																									=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
P0AG44	RL17_ECOLI	P0AG44	C6EGH2	A	F1	This study	50S ribosomal protein L17	127	Y	Y		ribosome	translation					59840	3,16E+04	1,19E+05	15,68	680,91			=HYPERLINK("http://www.uniprot.org/uniprot/?query=P0AG44&sort=score")
P0A7M2	RL28_ECOLI	P0A7M2	C6EDF4	A	F1	This study	50S ribosomal protein L28	78	Y	Y		ribosome	translation					23902	6,31E+03	4,67E+04	25,83	1104,73			=HYPERLINK("http://www.uniprot.org/uniprot/?query=P0A7M2&sort=score")
