Accession	Biological Process (EcoliWiki)
P09147	galactose metabolic process|colanic acid biosynthetic process|carbohydrate catabolic process
P0A944	N-terminal protein amino acid acetylation
P0A862	cellular response to oxidative stress
P0ABB4	ATP synthesis coupled proton transport
P0A796	glycolysis|glucose catabolic process
A5A605	drug transmembrane transport
P76656	response to methylglyoxal
P0ABG7	regulation of cell shape
P0AFC0	tetrahydrofolate biosynthetic process|folic acid biosynthetic process
P26616	gluconeogenesis
P0AC41	oxidation-reduction process|tricarboxylic acid cycle|aerobic respiration
P12998	biotin biosynthetic process
P23883	putrescine catabolic process
P0AGD7	protein targeting to membrane
P0CE60	enzyme-directed rRNA pseudouridine synthesis
P60757	histidine biosynthetic process
P37679	L-lyxose metabolic process
P67826	cellular copper ion homeostasis|response to copper ion
P28247	biofilm formation
P0AF36	cytokinesis by binary fission
P76034	posttranscriptional regulation of gene expression
P18843	de novo NAD biosynthetic process from aspartate|NAD salvage
P75855	cell adhesion involved in single-species biofilm formation
P0AAE5	arginine catabolic process|putrescine biosynthetic process
P0AEK4	enterobactin biosynthetic process
P33013	peptidoglycan biosynthetic process
P76103	transmembrane transport
P0A9J6	D-ribose catabolic process
P32166	menaquinone biosynthetic process
P0AF12	L-methionine biosynthetic process from S-adenosylmethionine|generation of a signal involved in cell-cell signaling
P18335	arginine biosynthetic process
P15006	peptidoglycan metabolic process
P22523	chromosome segregation|chromosome condensation|cell division
P33915	microcin transport
P0A9S3	galactitol catabolic process
P75960	chemotaxis|protein deacetylation
P0AFD6	anaerobic respiration|aerobic respiration
P0A7G2	maturation of SSU-rRNA
P0AFI7	pyridoxine biosynthetic process|pyridoxal 5'-phosphate salvage
P29680	uroporphyrinogen III biosynthetic process|protoporphyrinogen IX biosynthetic process from glutamate
Q46822	ubiquinone biosynthetic process
P0AEG1	dipeptide transport
P0CF28	double-strand break repair|DNA recombination
P0AAT4	cellular response to osmotic stress
P39263	response to hydrogen peroxide
P0C7L2	phenylacetate catabolic process
P75905	biofilm formation
P76350	isoleucine biosynthetic process|valine biosynthetic process
P0AET2	response to pH
P0AG90	protein transport
P41072	DNA topological change|response to drug|DNA-dependent DNA replication
P37018	cell adhesion
P13979	nitrite transport
P22106	glutamine metabolic process|cellular amino acid catabolic process|asparagine biosynthetic process
P0A8I8	rRNA base methylation|rRNA methylation
P76536	iron assimilation
P26458	aerobic electron transport chain
P02929	cobalamin transport
