3MG1_ECOLI	P05100	K12 Entry name (Uniprot)	Accession (Uniprot)	Comments/Annotation	Description (Uniprot)	Sub-cellular Location (This study)1	Sub-cellular Location (Uniprot)	Sub-cellular Location (EchoLOCATION)	1st Secretion System	2nd Secretion System	Uniprot Link	Pseudogene/Mobile Element Notes	Common Core2	SignalP SP HMM	Smax HMM	SignalP SP NN	D-score NN	LipoP S	Peptidase3	Score	TatP Signal	TatP D-score	TMHs Predicted	Mean Number of Expected # of AAs in TMHs	Mean Number of Expected # of AAs in TMHs amongst first 60 AAs	Phobius SP Cleavage Site	Phobius TMHs	Sequence
SDHL_ECOLI	P16095	SDHL_ECOLI	P16095		L-serine dehydratase 1 (SDH 1) (EC 4.3.1.17) (L-serine deaminase 1) (L-SD1)	A	1 very  weak TM prediction																					
UDG_ECOLI	P76373	UDG_ECOLI	P76373		UDP-glucose 6-dehydrogenase (UDP-Glc dehydrogenase) (UDP-GlcDH) (UDPGDH) (EC 1.1.1.22)	A	1 very  weak TM prediction																					
YCJZ_ECOLI	P77333	YCJZ_ECOLI	P77333		Uncharacterized HTH-type transcriptional regulator ycjZ	A																						
SBCC_ECOLI	P13458	SBCC_ECOLI	P13458		Nuclease sbcCD subunit C	F1																						
DMLR_ECOLI	P76250	DMLR_ECOLI	P76250		HTH-type transcriptional regulator DmlR (D-malate degradation protein R)	A																						
INSO2_ECOLI	Q47718	INSO2_ECOLI	Q47718		Putative transposase insO for insertion sequence element IS911B	A																						
YGCL_ECOLI	Q46901	YGCL_ECOLI	Q46901		Uncharacterized protein yncL	B	1 good TM prediction (0.7)																					
XNI_ECOLI	P38506	XNI_ECOLI	P38506		Protein Xni (Exonuclease IX) (ExoIX)	A																						
YJGR_ECOLI	P39342	YJGR_ECOLI	P39342		Uncharacterized protein yjgR	F1																						
INTA_ECOLI	P32053	INTA_ECOLI	P32053		Prophage CP4-57 integrase	B	Cell membrane |  Lipid-anchor. 																					
CDD_ECOLI	P0ABF6	CDD_ECOLI	P0ABF6		Cytidine deaminase (EC 3.5.4.5) (Cytidine aminohydrolase) (CDA)	A	1 very  weak TM prediction																					
YDJL_ECOLI	P77539	YDJL_ECOLI	P77539		Uncharacterized zinc-type alcohol dehydrogenase-like protein ydjL (EC 1.-.-.-)	A	1 weak TM prediction																					
GLXK2_ECOLI	P23524	GLXK2_ECOLI	P23524		Glycerate kinase 2 (EC 2.7.1.31)	A	1 weak TM prediction																					
YMGJ_ECOLI	A5A612	YMGJ_ECOLI	A5A612		Uncharacterized membrane protein ypdK	A	weak signal peptide prediction																					
YTFH_ECOLI	P0ACN2	YTFH_ECOLI	P0ACN2		Uncharacterized HTH-type transcriptional regulator ytfH	A																						
PRIM_ECOLI	P0ABS5	PRIM_ECOLI	P0ABS5		DNA primase (EC 2.7.7.-)	A																						
YHFS_ECOLI	P45545	YHFS_ECOLI	P45545		Uncharacterized protein yoaI	A																						
INTB_ECOLI	P39347	INTB_ECOLI	P39347		Putative prophage P4 integrase (Int(P4))	A																						
YAFC_ECOLI	P30864	YAFC_ECOLI	P30864		Uncharacterized HTH-type transcriptional regulator yafC	A																						
RSPB_ECOLI	P38105	RSPB_ECOLI	P38105		Starvation-sensing protein rspB (EC 1.1.1.-)	A																						
