Merge ID	Masuda2009_fin	Wang2007_fin	Wang2007_noglucose_fin	Oberto2009_fin	DetectedProtein	# Studies	DB_NoveV12 Duplicates	Normalized And Descr Itensity	0BS_C0LL	ABS_CALL	ABS_CALL	Merge ID	Masuda2009_fin	Taniguchi2010_fin_mmol	DetectedProtein	# Studies	DB_NoveV12 Duplicates	Copy number per cell	mMol	Merge ID
Q6BF86	0	0	0	0	0	0	B						0	0	0	0	B			
A5A616	0	0	0	0	0	0	B						0	0	0	0	B			
A5A619	0	0	0	0	0	0	B						0	0	0	0	B			
A5A628	0	0	0	0	0	0	B						0	0	0	0	B			
A5A630	0	0	0	0	0	0	B						0	0	0	0	B			
C1P5Z8	0	0	0	0	0	0	B						0	0	0	0	B			
C1P5Z9	0	0	0	0	0	0	B						0	0	0	0	B			
C1P614	0	0	0	0	0	0	B						0	0	0	0	B			
P0ACW2	0	0	0	0	0	0	I						0	0	0	0	I			
P24244	0	0	0	0	0	0	B						0	0	0	0	B			
P55914	0	0	0	0	0	0	B						0	0	0	0	B			
P56100	0	0	0	0	0	0	B						0	0	0	0	B			
P56976	0	0	0	0	0	0	B						0	0	0	0	B			
P58034	0	0	0	0	0	0	B						0	0	0	0	B			
P64646	0	0	0	0	0	0	B						0	0	0	0	B			
Q2EES1	0	0	0	0	0	0	B						0	0	0	0	B			
Q2EES6	0	0	0	0	0	0	B						0	0	0	0	B			
Q2M5U1	0	0	0	0	0	0	B						0	0	0	0	B			
Q47377	0	0	0	0	0	0	B						0	0	0	0	B			
Q6BEX5	0	0	0	0	1	1	G					Q6BEX5	0	0	1	1	G			Q6BEX5
Q6BF25	0	0	0	0	0	0	B						0	0	0	0	B			
Q6BF87	0	0	0	0	0	0	B						0	0	0	0	B			
C1P611	0	0	0	0	0	0	B						0	0	0	0	B			
C1P603	0	0	0	0	0	0	B						0	0	0	0	B			
A5A605	0	0	0	0	0	0	B						0	0	0	0	B			
A5A624	0	0	0	0	0	0	B						0	0	0	0	B			
P77494	0	0	0	0	0	0	B						0	0	0	0	B			
C1P616	0	0	0	0	0	0	B						0	0	0	0	B			
A5A615	0	0	0	0	0	0	B						0	0	0	0	B			
A5A618	0	0	0	0	0	0	B						0	0	0	0	B			
C1P602	0	0	0	0	0	0	B						0	0	0	0	B			
C1P609	0	0	0	0	0	0	B						0	0	0	0	B			
C1P610	0	0	0	0	0	0	B						0	0	0	0	B			
A5A617	0	0	0	0	0	0	B						0	0	0	0	B			
A5A612	0	0	0	0	0	0	B						0	0	0	0	B			
C1P601	0	0	0	0	0	0	E						0	0	0	0	E			
P36937	0	0	0	0	0	0	F1						0	0	0	0	F1			
C1P605	0	0	0	0	0	0	F1						0	0	0	0	F1			
P75901	0	0	0	0	1	1	B					P75901	0	0	1	1	B			P75901
P76356	0	0	0	0	0	0	H						0	0	0	0	H			
P77228	0	0	0	0	0	0	B						0	0	0	0	B			
Q9JMS3	0	0	0	0	0	0	H						0	0	0	0	H			
A5A627	0	0	0	0	0	0	B						0	0	0	0	B			
Q2EEQ8	0	0	0	0	0	0	B						0	0	0	0	B			
P52134	0	0	0	0	0	0	B						0	0	0	0	B			
P58041	0	0	0	0	0	0	I						0	0	0	0	I			
P58042	0	0	0	0	0	0	I						0	0	0	0	I			
P18032	0	0	0	0	0	0	B						0	0	0	0	B			
P62670	0	0	0	0	0	0	B						0	0	0	0	B			
P04737	0	0	0	0	0	0	B						0	0	0	0	B			
P13970	0	0	0	0	0	0	B						0	0	0	0	B			
P41067	0	0	0	0	0	0	B						0	0	0	0	B			
P18004	0	0	0	0	0	0	F1						0	0	0	0	F1			
P08322	0	0	0	0	0	0	B						0	0	0	0	B			
P14497	0	0	0	0	0	0	G						0	0	0	0	G			
P33790	0	0	0	0	0	0	B						0	0	0	0	B			
P15069	0	0	0	0	0	0	G						0	0	0	0	G			
P08321	0	0	0	0	0	0	B						0	0	0	0	B			
P24082	0	0	0	0	0	0	H						0	0	0	0	H			
P41068	0	0	0	0	0	0	B						0	0	0	0	B			
P18033	0	0	0	0	0	0	B						0	0	0	0	B			
P09129	0	0	0	0	0	0	B						0	0	0	0	B			
P13979	0	0	0	0	0	0	I						0	0	0	0	I			
P18471	0	0	0	0	0	0	G						0	0	0	0	G			
P41069	0	0	0	0	1	1	I					P41069	0	0	1	1	I			P41069
P18472	0	0	0	0	0	0	G						0	0	0	0	G			
P22709	0	0	0	0	0	0	B						0	0	0	0	B			
P18034	0	0	0	0	0	0	B						0	0	0	0	B			
P18035	0	0	0	0	0	0	G						0	0	0	0	G			
P18473	0	0	0	0	0	0	G						0	0	0	0	G			
Q05807	0	0	0	0	0	0	B						0	0	0	0	B			
P15068	0	0	0	0	0	0	B						0	0	0	0	B			
P18006	0	0	0	0	0	0	B						0	0	0	0	B			
P18353	0	0	0	0	0	0	B						0	0	0	0	B			
Q9JMT6	0	0	0	0	0	0	B						0	0	0	0	B			
Q9JMT5	0	0	0	0	0	0	E						0	0	0	0	E			
Q9JMS7	0	0	0	0	0	0	B						0	0	0	0	B			
Q9JMS4	0	0	0	0	0	0	B						0	0	0	0	B			
Q9S4W7	0	0	0	0	0	0	B						0	0	0	0	B			
