Genea	GI	Product
thrAb	1786183	fused aspartokinase I and homoserine dehydrogenase I
thrB	1786184	homoserine kinase
thrC	1786185	threonine synthase
yaaXc	1786186	predicted protein
yaaA	1786187	conserved protein
talB	1786189	transaldolase B
mog	1786190	predicted molybdochelatase
yaaH	1786191	conserved inner membrane protein associated with acetate transport
yaaW	1786193	conserved protein
dnaK	1786196	chaperone Hsp70, co-chaperone with DnaJ
dnaJ	1786197	chaperone Hsp40, co-chaperone with DnaK
mokC	1786200	regulatory protein for HokC, overlaps CDS of hokC
hokC	48994874	toxic membrane protein, small
nhaA	1786201	sodium-proton antiporter
nhaR	1786202	DNA-binding transcriptional activator
ribF	1786208	bifunctional riboflavin kinase/FAD synthetase
lspA	1786210	prolipoprotein signal peptidase (signal peptidase II)
fkpB	1786211	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)
ispH	1786212	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase, 4Fe-4S protein
rihC	1786213	ribonucleoside hydrolase 3
dapB	1786214	dihydrodipicolinate reductase
carA	1786215	carbamoyl phosphate synthetase small subunit, glutamine amidotransferase
carB	1786216	carbamoyl-phosphate synthase large subunit
fixC	1786227	predicted oxidoreductase with FAD/NAD(P)-binding domain
fixX	1786228	predicted 4Fe-4S ferredoxin-type protein
yaaU	1786229	predicted transporter
kefF	1786231	flavoprotein subunit for the KefC potassium efflux system
kefC	1786232	potassium:proton antiporter
folA	1786233	dihydrofolate reductase
apaH	1786234	diadenosine tetraphosphatase
apaG	1786235	protein associated with Co2+ and Mg2+ efflux
rsmA	1786236	S-adenosylmethionine-6-N',N'-adenosyl (rRNA) dimethyltransferase
pdxA	1786237	4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent
surA	1786238	peptidyl-prolyl cis-trans isomerase (PPIase)
djlA	1786241	DnaJ-like protein, membrane anchored
rluA	1786244	pseudouridine synthase for 23S rRNA (position 746) and tRNAphe(position 32)
hepA	1786245	RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor)
araD	1786247	L-ribulose-5-phosphate 4-epimerase
araA	1786248	L-arabinose isomerase
araB	1786249	L-ribulokinase
araC	1786251	DNA-binding transcriptional dual regulator
yabI	1786252	conserved inner membrane protein
thiQ	1786253	thiamin transporter subunit
thiP	1786254	fused thiamin transporter subunits of ABC superfamily: membrane components
thiB	1786255	thiamin transporter subunit
sgrR	1786256	DNA-binding transcriptional regulator
leuD	1786258	3-isopropylmalate isomerase subunit
leuC	1786259	3-isopropylmalate isomerase subunit, dehydratase component
leuB	87081683	3-isopropylmalate dehydrogenase
leuA	1786261	2-isopropylmalate synthase
leuL	1786263	leu operon leader peptide
ilvI	87081685	acetolactate synthase III, large subunit
ilvH	1786266	acetolactate synthase III, thiamin-dependent, small subunit
fruR	1786268	DNA-binding transcriptional dual regulator
mraZ	1786269	conserved protein
mraW	1786270	S-adenosyl-dependent methyltransferase activity on membrane-located substrates
ftsL	1786271	membrane bound cell division protein at septum containing leucine zipper motif
murE	1786273	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso- diaminopimelate ligase
murF	1786274	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D- alanine ligase
mraY	1786275	phospho-N-acetylmuramoyl-pentapeptide transferase
murD	1786276	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase
ftsW	1786277	integral membrane protein involved in stabilizing FstZ ring during cell division
murG	1786278	N-acetylglucosaminyl transferase
murC	1786279	UDP-N-acetylmuramate:L-alanine ligase
ddlB	1786280	D-alanine:D-alanine ligase
ftsQ	1786281	membrane anchored protein involved in growth of wall at septum
secM	87081686	regulator of secA translation
mutT	1786288	nucleoside triphosphate pyrophosphohydrolase, marked preference for dGTP
yacG	1786290	DNA gyrase inhibitor
yacF	1786291	conserved protein
coaE	1786292	dephospho-CoA kinase
guaC	1786293	GMP reductase
hofB	1786296	conserved protein with nucleoside triphosphate hydrolase domain
nadC	1786299	quinolinate phosphoribosyltransferase
ampD	1786300	N-acetyl-anhydromuranmyl-L-alanine amidase
aroP	1786302	aromatic amino acid transporter
pdhR	1786303	DNA-binding transcriptional dual regulator
aceF	1786305	pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2
lpd	1786307	lipoamide dehydrogenase, E3 component is part of three enzyme complexes
yacH	1786308	predicted protein
acnB	2367097	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase
speD	1786311	S-adenosylmethionine decarboxylase
speE	1786312	spermidine synthase (putrescine aminopropyltransferase)
yacC	87081688	predicted protein
cueO	1786314	multicopper oxidase (laccase)
hpt	87081689	hypoxanthine phosphoribosyltransferase
yadG	1786319	predicted transporter subunit: ATP-binding component of ABC superfamily
yadH	1786320	predicted transporter subunit: membrane component of ABC superfamily
yadI	1786321	predicted PTS Enzyme IIA
yadE	1786322	predicted polysaccharide deacetylase lipoprotein
panD	1786323	aspartate 1-decarboxylase
yadD	1786324	predicted transposase
panC	1786325	pantothenate synthetase
panB	1786326	3-methyl-2-oxobutanoate hydroxymethyltransferase
folK	1786335	2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase
pcnB	87081691	poly(A) polymerase I
yadB	145693092	glutamyl-Q tRNA(Asp) synthetase
dksA	1786338	DNA-binding transcriptional regulator of rRNA transcription, DnaK suppressor protein
sfsA	1786340	predicted DNA-binding transcriptional regulator
ligT	87081692	2'-5' RNA ligase
hrpB	87081693	predicted ATP-dependent helicase
mrcB	1786343	fused glycosyl transferase and transpeptidase
fhuA	1786344	ferrichrome outer membrane transporter
fhuC	1786345	iron-hydroxamate transporter subunit
fhuD	1786346	iron-hydroxamate transporter subunit
fhuB	1786347	fused iron-hydroxamate transporter subunits of ABC superfamily: membrane components
hemL	1786349	glutamate-1-semialdehyde aminotransferase (aminomutase)
clcA	1786350	chloride channel, voltage-gated
erpA	1786351	conserved protein
yadS	1786352	conserved inner membrane protein
btuF	1786353	vitamin B12 transporter subunit: periplasmic-binding component of ABC superfamily
mtn	1786354	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
degP	1786356	serine endoprotease (protease Do), membrane-associated
cdaR	87081694	DNA-binding transcriptional activator
yaeH	1786359	conserved protein
dapD	1786362	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase
glnD	1786363	uridylyltransferase
map	1786364	methionine aminopeptidase
rpsB	1786365	30S ribosomal subunit protein S2
tsf	1786366	protein chain elongation factor EF-Ts
pyrH	1786367	uridylate kinase
frr	1786368	ribosome recycling factor
dxr	1786369	1-deoxy-D-xylulose 5-phosphate reductoisomerase
ispU	1786371	undecaprenyl pyrophosphate synthase
cdsA	87081696	CDP-diglyceride synthase
skp	1786375	periplasmic chaperone
lpxD	1786376	UDP-3-O-(3-hydroxymyristoyl)-glucosamine N-acyltransferase
fabZ	1786377	(3R)-hydroxymyristol acyl carrier protein dehydratase
lpxA	1786378	UDP-N-acetylglucosamine acetyltransferase
lpxB	1786379	tetraacyldisaccharide-1-P synthase
rnhB	1786380	ribonuclease HII, degrades RNA of DNA-RNA hybrids
dnaE	1786381	DNA polymerase III alpha subunit
accA	1786382	acetyl-CoA carboxylase, carboxytransferase, alpha subunit
ldcC	1786384	lysine decarboxylase 2, constitutive
yaeR	87081697	predicted lyase
tilS	1786386	tRNA(Ile)-lysidine synthetase
rof	87081698	modulator of Rho-dependent transcription termination
yaeP	48994876	conserved protein
yaeQ	1786388	conserved protein
yaeJ	1786389	conserved protein
nlpE	1786390	lipoprotein involved with copper homeostasis and adhesion
yaeF	87081699	predicted lipoprotein
proS	1786392	prolyl-tRNA synthetase
yaeB	1786393	conserved protein
rcsF	1786394	predicted outer membrane protein, signal
metQ	1786396	DL-methionine transporter subunit
metI	1786397	DL-methionine transporter subunit
metN	1786398	DL-methionine transporter subunit
dkgB	1786400	2,5-diketo-D-gluconate reductase B
yafC	1786401	predicted DNA-binding transcriptional regulator
yafD	1786403	conserved protein
yafE	1786404	predicted S-adenosyl-L-methionine-dependent methyltransferase
