From	To	To
CP001396	C4ZPW3	CAIC_ECOBW
CP001396	C4ZWA2	CITG_ECOBW
CP001396	C4ZY53	CLPS_ECOBW
CP001396	C4ZQF8	CUTC_ECOBW
CP001396	C4ZT63	DEOC_ECOBW
CP001396	C4ZZT2	ENO_ECOBW
CP001396	C4ZUX7	FOLD_ECOBW
CP001396	C4ZU03	GCH1_ECOBW
CP001396	C4ZRJ8	GUAC_ECOBW
CP001396	C4ZXL1	HLDD_ECOBW
CP001396	C5A0G1	IDI_ECOBW
CP001396	C4ZUA6	MENH_ECOBW
CP001396	C4ZS93	MINC_ECOBW
CP001396	C4ZXV5	MOAC_ECOBW
CP001396	C5A0S3	RL11_ECOBW
CP001396	C4ZUH2	RL2_ECOBW
CP001396	C4ZQ93	RLMI_ECOBW
CP001396	C4ZRJ2	SECM_ECOBW
CP001396	C4ZWK2	SUCC_ECOBW
CP001396	C4ZWC9	SYL_ECOBW
CP001396	C4ZV92	TTCA_ECOBW
CP001396	C4ZZ74	XERC_ECOBW
CP001396	C4ZRT2	YAEP_ECOBW
CP001396	C4ZUS5	YBAB_ECOBW
CP001396	C4ZQ24	YCAD_ECOBW
CP001396	C4ZVI4	YFBR_ECOBW
CP001396	C4ZUW1	ALLB_ECOBW
CP001396	C4ZQX3	CCA_ECOBW
CP001396	C4ZZ71	CYAY_ECOBW
CP001396	C4ZZR6	CYSH_ECOBW
CP001396	C5A055	DTD_ECOBW
CP001396	C4ZU52	ECOT_ECOBW
CP001396	C4ZRX4	GHRA_ECOBW
CP001396	C5A093	GLPK_ECOBW
CP001396	C4ZUQ6	HSLO_ECOBW
CP001396	C4ZSQ9	IF2_ECOBW
CP001396	C4ZVM1	MEPA_ECOBW
CP001396	C4ZZD4	MSRB_ECOBW
CP001396	C4ZSS8	MURA_ECOBW
CP001396	C4ZT99	PROB_ECOBW
CP001396	C4ZS02	PYRC_ECOBW
CP001396	C5A0S4	RL1_ECOBW
CP001396	C4ZYH9	RL35_ECOBW
CP001396	C4ZWC3	RLMH_ECOBW
CP001396	C4ZQ33	SERC_ECOBW
CP001396	C4ZQX4	UPPP_ECOBW
CP001396	C4ZW41	USPB_ECOBW
CP001396	C4ZPT9	YAAI_ECOBW
CP001396	C4ZTE6	YAII_ECOBW
CP001396	C4ZVI7	YFBU_ECOBW
CP001396	C4ZT46	YJJB_ECOBW
CP001396	C4ZSM1	YOHJ_ECOBW
CP001396	C4ZZA3	ASTA_ECOBW
CP001396	C4ZZ12	ATPA_ECOBW
CP001396	C4ZV25	CAAL_ECOBW
CP001396	C4ZPW6	CAIT_ECOBW
CP001396	C4ZS20	FLGI_ECOBW
CP001396	C4ZR49	HFQ_ECOBW
CP001396	C5A099	HSLV_ECOBW
CP001396	C4ZPZ4	LEUD_ECOBW
CP001396	C4ZXJ7	LLDD_ECOBW
CP001396	C4ZZY8	LPLT_ECOBW
CP001396	C5A0N2	MLTC_ECOBW
CP001396	C4ZQP5	MTFA_ECOBW
CP001396	C4ZQY5	MUG_ECOBW
CP001396	C4ZZ26	RBSD_ECOBW
CP001396	C4ZYX7	RECF_ECOBW
CP001396	C5A0A3	RL31_ECOBW
CP001396	C4ZUG3	RL5_ECOBW
CP001396	C4ZY95	RNFE_ECOBW
CP001396	C4ZUH6	RS10_ECOBW
CP001396	C4ZRR1	RS2_ECOBW
CP001396	C4ZPX7	RSMA_ECOBW
CP001396	C4ZYA5	SLYA_ECOBW
CP001396	C4ZW66	TREF_ECOBW
CP001396	C4ZR69	ULAG_ECOBW
CP001396	C4ZU32	YEJL_ECOBW
CP001396	C4ZR24	YHAM_ECOBW
CP001396	C4ZXN0	YICR_ECOBW
CP001396	C4ZRA8	YJGA_ECOBW
CP001396	C5A0H2	YQFB_ECOBW
CP001396	C4ZSX9	AAEA_ECOBW
CP001396	C4ZTG1	ACPH_ECOBW
CP001396	C4ZWH2	ATKC_ECOBW
CP001396	C4ZSH9	GATZ_ECOBW
CP001396	C4ZXC6	GLYA_ECOBW
CP001396	C4ZXA2	HSCB_ECOBW
CP001396	C4ZPS8	LPT_ECOBW
CP001396	C4ZZ19	MNMG_ECOBW
CP001396	C4ZVV9	MURQ_ECOBW
CP001396	C4ZSW4	NANR_ECOBW
CP001396	C4ZYS6	NRDI_ECOBW
CP001396	C4ZVU9	PDXK_ECOBW
CP001396	C5A0E6	PHYDA_ECOBW
CP001396	C4ZX51	PUR7_ECOBW
CP001396	C4ZR54	PURA_ECOBW
CP001396	C4ZQ71	PYRD_ECOBW
CP001396	C4ZT56	RF3_ECOBW
CP001396	C4ZQV9	RIBB_ECOBW
CP001396	C4ZUG9	RS3_ECOBW
CP001396	C4ZVX1	RTCA_ECOBW
CP001396	C4ZRJ3	SECA_ECOBW
CP001396	C4ZR74	ULAE_ECOBW
CP001396	C4ZYG5	YDIA_ECOBW
CP001396	C4ZZH7	YEBN_ECOBW
CP001396	C5A0I1	YGFB_ECOBW
CP001396	C4ZZH6	YOBD_ECOBW
CP001396	C4ZX47	YPFN_ECOBW
CP001396	C5A095	ZAPB_ECOBW
CP001396	C4ZSR2	ASSY_ECOBW
CP001396	C4ZWH4	ATKA_ECOBW
CP001396	C4ZQF4	CMOA_ECOBW
CP001396	C4ZQF5	CMOB_ECOBW
CP001396	C4ZZR7	CYSI_ECOBW
CP001396	C4ZPV7	DAPB_ECOBW
CP001396	C4ZZ73	DAPF_ECOBW
CP001396	C4ZXG6	DLGD_ECOBW
CP001396	C4ZYI9	ERA_ECOBW
CP001396	C4ZX13	EUTC_ECOBW
CP001396	C4ZVN3	FADI_ECOBW
CP001396	C5A0H6	GCSH_ECOBW
CP001396	C4ZU83	GLPB_ECOBW
CP001396	C4ZSB4	HIS6_ECOBW
CP001396	C5A098	HSLU_ECOBW
CP001396	C4ZQ50	MUKB_ECOBW
CP001396	C4ZVW3	NFUA_ECOBW
CP001396	C4ZUD0	NUOB_ECOBW
CP001396	C4ZRM7	PANB_ECOBW
CP001396	C4ZSZ5	PRMA_ECOBW
CP001396	C4ZYH8	RL20_ECOBW
CP001396	C4ZUG4	RL24_ECOBW
CP001396	C4ZZY2	RPPH_ECOBW
CP001396	C4ZQE4	RUVB_ECOBW
CP001396	C4ZYE2	SUFS_ECOBW
CP001396	C4ZRT7	SYP_ECOBW
CP001396	C4ZTG3	TGT_ECOBW
CP001396	C5A0T5	THIC_ECOBW
CP001396	C5A011	UBIB_ECOBW
CP001396	C4ZXV1	UVRB_ECOBW
CP001396	C4ZRJ6	YACF_ECOBW
CP001396	C4ZS07	YCEH_ECOBW
CP001396	C4ZYW2	YIDE_ECOBW
CP001396	C4ZYY9	YIDZ_ECOBW
CP001396	C4ZUP4	AROB_ECOBW
CP001396	C4ZPW1	CAIE_ECOBW
CP001396	C4ZTK3	COF_ECOBW
CP001396	C4ZX86	DER_ECOBW
CP001396	C4ZRQ3	DGTP_ECOBW
CP001396	C4ZYX9	DNAA_ECOBW
CP001396	C4ZRP9	ERPA_ECOBW
CP001396	C4ZX84	EX7L_ECOBW
CP001396	C5A059	FDHE_ECOBW
CP001396	C4ZQX0	GLNE_ECOBW
CP001396	C4ZQ11	LFTR_ECOBW
CP001396	C5A0V0	META_ECOBW
