Total Length (aa)	
332	YCJW_ECOLI
332	YCJW_ECOLI
313	RIBF_ECOLI
313	RIBF_ECOLI
419	RHAA_ECOLI
419	RHAA_ECOLI
444	SRMB_ECOLI
297	YNFL_ECOLI
297	YNFL_ECOLI
297	YNFL_ECOLI
297	YNFL_ECOLI
297	YNFL_ECOLI
297	YNFL_ECOLI
222	YNIC_ECOLI
222	YNIC_ECOLI
322	HCR_ECOLI
322	HCR_ECOLI
322	HCR_ECOLI
322	HCR_ECOLI
436	ABGA_ECOLI
436	ABGA_ECOLI
436	ABGA_ECOLI
436	ABGA_ECOLI
436	ABGA_ECOLI
436	ABGA_ECOLI
436	ABGA_ECOLI
285	YDAU_ECOLI
285	YDAU_ECOLI
285	YDAU_ECOLI
84	YFAE_ECOLI
376	YKFC_ECOLI
376	YKFC_ECOLI
376	YKFC_ECOLI
376	YKFC_ECOLI
100	INSN2_ECOLI
528	PRPR_ECOLI
528	PRPR_ECOLI
528	PRPR_ECOLI
528	PRPR_ECOLI
528	PRPR_ECOLI
528	PRPR_ECOLI
528	PRPR_ECOLI
87	YFJM_ECOLI
813	RNR_ECOLI
813	RNR_ECOLI
813	RNR_ECOLI
813	RNR_ECOLI
362	YAHA_ECOLI
362	YAHA_ECOLI
362	YAHA_ECOLI
362	YAHA_ECOLI
362	YAHA_ECOLI
362	YAHA_ECOLI
172	YHBO_ECOLI
538	YFJL_ECOLI
538	YFJL_ECOLI
715	FDHF_ECOLI
715	FDHF_ECOLI
715	FDHF_ECOLI
715	FDHF_ECOLI
715	FDHF_ECOLI
715	FDHF_ECOLI
294	YGHA_ECOLI
294	YGHA_ECOLI
294	YGHA_ECOLI
294	YGHA_ECOLI
294	YGHA_ECOLI
294	YGHA_ECOLI
363	YGCJ_ECOLI
205	KITH_ECOLI
205	KITH_ECOLI
262	PAAG_ECOLI
262	PAAG_ECOLI
262	PAAG_ECOLI
262	PAAG_ECOLI
262	PAAG_ECOLI
55	YHFG_ECOLI
259	YGCR_ECOLI
259	YGCR_ECOLI
259	YGCR_ECOLI
388	YGBK_ECOLI
388	YGBK_ECOLI
388	YGBK_ECOLI
388	YGBK_ECOLI
388	YGBK_ECOLI
217	NFNB_ECOLI
217	NFNB_ECOLI
217	NFNB_ECOLI
113	SYME_ECOLI
385	INTQ_ECOLI
385	INTQ_ECOLI
385	INTQ_ECOLI
385	INTQ_ECOLI
661	GMR_ECOLI
661	GMR_ECOLI
661	GMR_ECOLI
661	GMR_ECOLI
661	GMR_ECOLI
661	GMR_ECOLI
661	GMR_ECOLI
290	RLUF_ECOLI
333	ADD_ECOLI
333	ADD_ECOLI
373	TYRA_ECOLI
373	TYRA_ECOLI
373	TYRA_ECOLI
373	TYRA_ECOLI
313	PSUK_ECOLI
313	PSUK_ECOLI
313	PSUK_ECOLI
313	PSUK_ECOLI
313	PSUK_ECOLI
313	PSUK_ECOLI
317	METR_ECOLI
317	METR_ECOLI
259	DEOC_ECOLI
259	DEOC_ECOLI
282	QUEF_ECOLI
209	SXY_ECOLI
209	SXY_ECOLI
209	SXY_ECOLI
185	RMLC_ECOLI
185	RMLC_ECOLI
185	RMLC_ECOLI
